sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
Such codes will assuredly blur crucial distinctions between emotionally hurtful speech and genuine violence .,Such/JJ codes/NNS will/MD assuredly/RB blur/VB crucial/JJ distinctions/NNS between/IN emotionally/RB hurtful/JJ speech/NN and/CC genuine/JJ violence/NN ./.,"amod(codes-2, Such-1) nsubj(blur-5, codes-2) aux(blur-5, will-3) advmod(blur-5, assuredly-4) root(ROOT-0, blur-5) amod(distinctions-7, crucial-6) dobj(blur-5, distinctions-7) case(speech-11, between-8) advmod(hurtful-10, emotionally-9) amod(speech-11, hurtful-10) nmod:between(distinctions-7, speech-11) cc(speech-11, and-12) amod(violence-14, genuine-13) nmod:between(distinctions-7, violence-14) conj:and(speech-11, violence-14)  ",violence,14,"amod(violence-14, genuine-13) nmod:between(distinctions-7, violence-14) conj:and(speech-11, violence-14) ",emotionally hurtful speech and genuine violence .,NN,[],,,,,,,,,"[('between', 'distinctions')]",['between'],['distinctions'],[],[],,"[('and', 'speech')]",['and'],['speech'],[],['genuine'],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Jackson , where blacks are concerned , is depicted as a place of irrationality and violence , or of religious ecstasies that could only be witnessed , almost as an anthropologist might . ""","Jackson/NNP ,/, where/WRB blacks/NNS are/VBP concerned/JJ ,/, is/VBZ depicted/VBN as/IN a/DT place/NN of/IN irrationality/NN and/CC violence/NN ,/, or/CC of/IN religious/JJ ecstasies/NNS that/WDT could/MD only/RB be/VB witnessed/VBN ,/, almost/RB as/IN an/DT anthropologist/NN might/MD ./. ''/''","nsubjpass(depicted-9, Jackson-1) nsubjpass(depicted-9', Jackson-1) advmod(concerned-6, where-3) nsubj(concerned-6, blacks-4) cop(concerned-6, are-5) acl:relcl(Jackson-1, concerned-6) auxpass(depicted-9, is-8) root(ROOT-0, depicted-9) conj:or(depicted-9, depicted-9') case(place-12, as-10) det(place-12, a-11) nmod:as(depicted-9, place-12) case(irrationality-14, of-13) nmod:of(place-12, irrationality-14) cc(irrationality-14, and-15) nmod:of(place-12, violence-16) conj:and(irrationality-14, violence-16) cc(depicted-9, or-18) case(ecstasies-21, of-19) amod(ecstasies-21, religious-20) nmod:of(depicted-9', ecstasies-21) nsubjpass(witnessed-26, ecstasies-21) ref(ecstasies-21, that-22) aux(witnessed-26, could-23) advmod(witnessed-26, only-24) auxpass(witnessed-26, be-25) acl:relcl(ecstasies-21, witnessed-26) advmod(might-32, almost-28) mark(might-32, as-29) det(anthropologist-31, an-30) nsubj(might-32, anthropologist-31) advcl(witnessed-26, might-32)  ",violence,16,"nmod:of(place-12, violence-16) conj:and(irrationality-14, violence-16) ","a place of irrationality and violence , or of religious ecstasies",NN,[],,,,,,,,,"[('of', 'place')]",['of'],['place'],[],[],,"[('and', 'irrationality')]",['and'],['irrationality'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"The hurt was rather more specific , in the ever-present campaign of humiliation and demoralization and threats of violence aimed at Indians that he would have encountered as a youth in the capital , Port of Spain , in the late 1940S .","The/DT hurt/NN was/VBD rather/RB more/RBR specific/JJ ,/, in/IN the/DT ever-present/JJ campaign/NN of/IN humiliation/NN and/CC demoralization/NN and/CC threats/NNS of/IN violence/NN aimed/VBN at/IN Indians/NNPS that/IN he/PRP would/MD have/VB encountered/VBN as/IN a/DT youth/NN in/IN the/DT capital/NN ,/, Port/NNP of/IN Spain/NNP ,/, in/IN the/DT late/JJ 1940S/CD ./.","det(hurt-2, The-1) nsubj(specific-6, hurt-2) cop(specific-6, was-3) advmod(specific-6, rather-4) advmod(specific-6, more-5) root(ROOT-0, specific-6) case(campaign-11, in-8) det(campaign-11, the-9) amod(campaign-11, ever-present-10) nmod:in(specific-6, campaign-11) case(humiliation-13, of-12) nmod:of(campaign-11, humiliation-13) cc(humiliation-13, and-14) nmod:of(campaign-11, demoralization-15) conj:and(humiliation-13, demoralization-15) cc(campaign-11, and-16) nmod:in(specific-6, threats-17) conj:and(campaign-11, threats-17) case(violence-19, of-18) nmod:of(threats-17, violence-19) acl(violence-19, aimed-20) case(Indians-22, at-21) nmod:at(aimed-20, Indians-22) mark(encountered-27, that-23) nsubj(encountered-27, he-24) aux(encountered-27, would-25) aux(encountered-27, have-26) ccomp(aimed-20, encountered-27) case(youth-30, as-28) det(youth-30, a-29) nmod:as(encountered-27, youth-30) case(capital-33, in-31) det(capital-33, the-32) nmod:in(youth-30, capital-33) appos(capital-33, Port-35) case(Spain-37, of-36) nmod:of(Port-35, Spain-37) case(1940S-42, in-39) det(1940S-42, the-40) amod(1940S-42, late-41) nmod:in(encountered-27, 1940S-42)  ",violence,19,"case(violence-19, of-18) acl(violence-19, aimed-20) nmod:of(threats-17, violence-19) ",and demoralization and threats of violence aimed at Indians that he,NN,[],,,,,,,,,"[('of', 'threats')]",['of'],['threats'],[],[],,[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"However , it is no more possible to understand Naipaul 's mind and art without reference to racism , violence , and intolerance in Trinidad than to understand Richard Wright without reference to the same factors in the South .","However/RB ,/, it/PRP is/VBZ no/RB more/RBR possible/JJ to/TO understand/VB Naipaul/NNP 's/POS mind/NN and/CC art/NN without/IN reference/NN to/TO racism/NN ,/, violence/NN ,/, and/CC intolerance/NN in/IN Trinidad/NNP than/IN to/TO understand/VB Richard/NNP Wright/NNP without/IN reference/NN to/TO the/DT same/JJ factors/NNS in/IN the/DT South/NNP ./.","advmod(possible-7, However-1) nsubj(possible-7, it-3) nsubj(understand-9, it-3) cop(possible-7, is-4) neg(more-6, no-5) advmod(possible-7, more-6) root(ROOT-0, possible-7) mark(understand-9, to-8) xcomp(possible-7, understand-9) nmod:poss(mind-12, Naipaul-10) case(Naipaul-10, 's-11) dobj(understand-9, mind-12) cc(mind-12, and-13) dobj(understand-9, art-14) conj:and(mind-12, art-14) case(reference-16, without-15) nmod:without(possible-7, reference-16) case(racism-18, to-17) nmod:to(possible-7, racism-18) nmod:to(possible-7, violence-20) conj:and(racism-18, violence-20) cc(racism-18, and-22) nmod:to(possible-7, intolerance-23) conj:and(racism-18, intolerance-23) case(Trinidad-25, in-24) nmod:in(racism-18, Trinidad-25) mark(understand-28, than-26) mark(understand-28, to-27) ccomp(possible-7, understand-28) compound(Wright-30, Richard-29) dobj(understand-28, Wright-30) case(reference-32, without-31) nmod:without(Wright-30, reference-32) case(factors-36, to-33) det(factors-36, the-34) amod(factors-36, same-35) nmod:to(understand-28, factors-36) case(South-39, in-37) det(South-39, the-38) nmod:in(factors-36, South-39)  ",violence,20,"nmod:to(possible-7, violence-20) conj:and(racism-18, violence-20) ","without reference to racism , violence , and intolerance in Trinidad",NN,[],,,,,,,,,"[('to', 'possible')]",['to'],['possible'],[],[],,"[('and', 'racism')]",['and'],['racism'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"We find that even the commercially built housing of New York City , that would appear on the face of it much less desirable than the Sunderland cottages , also had virtues that new housing could not provide .","We/PRP find/VBP that/IN even/RB the/DT commercially/RB built/VBN housing/NN of/IN New/NNP York/NNP City/NNP ,/, that/WDT would/MD appear/VB on/IN the/DT face/NN of/IN it/PRP much/RB less/RBR desirable/JJ than/IN the/DT Sunderland/NNP cottages/NNS ,/, also/RB had/VBD virtues/NNS that/IN new/JJ housing/NN could/MD not/RB provide/VB ./.","nsubj(find-2, We-1) root(ROOT-0, find-2) mark(had-31, that-3) advmod(housing-8, even-4) det(housing-8, the-5) advmod(built-7, commercially-6) amod(housing-8, built-7) nsubj(appear-16, housing-8) nsubj(had-31, housing-8) case(City-12, of-9) compound(City-12, New-10) compound(City-12, York-11) nmod:of(housing-8, City-12) ref(housing-8, that-14) aux(appear-16, would-15) acl:relcl(housing-8, appear-16) case(face-19, on-17) det(face-19, the-18) nmod:on(appear-16, face-19) case(it-21, of-20) nmod:of(face-19, it-21) advmod(desirable-24, much-22) advmod(desirable-24, less-23) xcomp(appear-16, desirable-24) case(cottages-28, than-25) det(cottages-28, the-26) compound(cottages-28, Sunderland-27) nmod:than(desirable-24, cottages-28) advmod(had-31, also-30) ccomp(find-2, had-31) dobj(had-31, virtues-32) mark(provide-38, that-33) amod(housing-35, new-34) nsubj(provide-38, housing-35) aux(provide-38, could-36) neg(provide-38, not-37) ccomp(had-31, provide-38)  ",virtues,32,"dobj(had-31, virtues-32) ","Sunderland cottages , also had virtues that new housing could not",NNS,[],had,VBD,object,,,had,have,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,ambiguous,[],unknown,unknown
"Perhaps the most invidious implication of particularism is that racial and ethnic minorities are not and should not try to be part of American culture ; it implies that American culture belongs only to those who are white and European ; it implies that those who are neither white nor European are alienated from American culture by virtue of their race or ethnicity ; it implies that the only culture they do belong to or can ever belong to is the culture of their ancestors , even if their families have lived in this country for generations .","Perhaps/RB the/DT most/JJS invidious/JJ implication/NN of/IN particularism/NN is/VBZ that/IN racial/JJ and/CC ethnic/JJ minorities/NNS are/VBP not/RB and/CC should/MD not/RB try/VB to/TO be/VB part/NN of/IN American/JJ culture/NN ;/: it/PRP implies/VBZ that/IN American/JJ culture/NN belongs/VBZ only/RB to/TO those/DT who/WP are/VBP white/JJ and/CC European/JJ ;/: it/PRP implies/VBZ that/IN those/DT who/WP are/VBP neither/DT white/JJ nor/CC European/JJ are/VBP alienated/VBN from/IN American/JJ culture/NN by/IN virtue/NN of/IN their/PRP$ race/NN or/CC ethnicity/NN ;/: it/PRP implies/VBZ that/IN the/DT only/JJ culture/NN they/PRP do/VBP belong/VB to/TO or/CC can/MD ever/RB belong/VB to/TO is/VBZ the/DT culture/NN of/IN their/PRP$ ancestors/NNS ,/, even/RB if/IN their/PRP$ families/NNS have/VBP lived/VBN in/IN this/DT country/NN for/IN generations/NNS ./.","advmod(implication-5, Perhaps-1) det(implication-5, the-2) amod(implication-5, most-3) amod(implication-5, invidious-4) nsubj(is-8, implication-5) case(particularism-7, of-6) nmod:of(implication-5, particularism-7) root(ROOT-0, is-8) mark(are-14, that-9) amod(minorities-13, racial-10) cc(racial-10, and-11) conj:and(racial-10, ethnic-12) amod(minorities-13, ethnic-12) nsubj(are-14, minorities-13) nsubj(try-19, minorities-13) nsubj(part-22, minorities-13) ccomp(is-8, are-14) neg(are-14, not-15) cc(are-14, and-16) aux(try-19, should-17) neg(try-19, not-18) ccomp(is-8, try-19) conj:and(are-14, try-19) mark(part-22, to-20) cop(part-22, be-21) xcomp(try-19, part-22) case(culture-25, of-23) amod(culture-25, American-24) nmod:of(part-22, culture-25) nsubj(implies-28, it-27) parataxis(is-8, implies-28) mark(belongs-32, that-29) amod(culture-31, American-30) nsubj(belongs-32, culture-31) ccomp(implies-28, belongs-32) advmod(belongs-32, only-33) case(those-35, to-34) nmod:to(belongs-32, those-35) nsubj(white-38, those-35) nsubj(European-40, those-35) ref(those-35, who-36) cop(white-38, are-37) acl:relcl(those-35, white-38) cc(white-38, and-39) acl:relcl(those-35, European-40) conj:and(white-38, European-40) nsubj(implies-43, it-42) parataxis(is-8, implies-43) mark(alienated-53, that-44) nsubj(white-49, those-45) nsubj(European-51, those-45) nsubjpass(alienated-53, those-45) ref(those-45, who-46) cop(white-49, are-47) cc:preconj(white-49, neither-48) acl:relcl(those-45, white-49) cc(white-49, nor-50) acl:relcl(those-45, European-51) conj:nor(white-49, European-51) auxpass(alienated-53, are-52) ccomp(implies-43, alienated-53) case(culture-56, from-54) amod(culture-56, American-55) nmod:from(alienated-53, culture-56) case(virtue-58, by-57) nmod:by(alienated-53, virtue-58) case(race-61, of-59) nmod:poss(race-61, their-60) nmod:of(virtue-58, race-61) cc(race-61, or-62) nmod:of(virtue-58, ethnicity-63) conj:or(race-61, ethnicity-63) nsubj(implies-66, it-65) parataxis(is-8, implies-66) mark(culture-82, that-67) det(culture-70, the-68) amod(culture-70, only-69) nsubj(culture-82, culture-70) nsubj(belong-73, they-71) nsubj(belong-78, they-71) aux(belong-73, do-72) acl:relcl(culture-70, belong-73) nmod(belong-73, to-74) cc(belong-73, or-75) aux(belong-78, can-76) advmod(belong-78, ever-77) acl:relcl(culture-70, belong-78) conj:or(belong-73, belong-78) nmod(belong-78, to-79) cop(culture-82, is-80) det(culture-82, the-81) ccomp(implies-66, culture-82) case(ancestors-85, of-83) nmod:poss(ancestors-85, their-84) nmod:of(culture-82, ancestors-85) advmod(lived-92, even-87) mark(lived-92, if-88) nmod:poss(families-90, their-89) nsubj(lived-92, families-90) aux(lived-92, have-91) dep(is-8, lived-92) case(country-95, in-93) det(country-95, this-94) nmod:in(lived-92, country-95) case(generations-97, for-96) nmod:for(country-95, generations-97)  ",virtue,58,"case(virtue-58, by-57) nmod:of(virtue-58, race-61) nmod:of(virtue-58, ethnicity-63) nmod:by(alienated-53, virtue-58) ",alienated from American culture by virtue of their race or ethnicity,NN,[],,,,,,,,,"[('of', 'race'), ('of', 'ethnicity'), ('by', 'alienated')]","['of', 'of', 'by']",['alienated'],"['race', 'ethnicity']",[],,[],[],[],[],[],[],[],[],['by'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
No race has a monopoly on virtue .,No/DT race/NN has/VBZ a/DT monopoly/NN on/IN virtue/NN ./.,"neg(race-2, No-1) nsubj(has-3, race-2) root(ROOT-0, has-3) det(monopoly-5, a-4) dobj(has-3, monopoly-5) case(virtue-7, on-6) nmod:on(monopoly-5, virtue-7)  ",virtue,7,"case(virtue-7, on-6) nmod:on(monopoly-5, virtue-7) ",race has a monopoly on virtue .,NN,[],,,,,,,,,"[('on', 'monopoly')]",['on'],['monopoly'],[],[],,[],[],[],[],[],[],[],[],['on'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Or as a passport to heaven , a record of good works and virtues , perhaps to offset some palpably bad works and vices .","Or/CC as/IN a/DT passport/NN to/TO heaven/NN ,/, a/DT record/NN of/IN good/JJ works/NNS and/CC virtues/NNS ,/, perhaps/RB to/TO offset/VB some/DT palpably/JJ bad/JJ works/NNS and/CC vices/NNS ./.","cc(perhaps-16, Or-1) mark(perhaps-16, as-2) det(passport-4, a-3) nsubj(perhaps-16, passport-4) nsubj(offset-18, passport-4) case(heaven-6, to-5) nmod:to(passport-4, heaven-6) det(record-9, a-8) appos(passport-4, record-9) case(works-12, of-10) amod(works-12, good-11) nmod:of(record-9, works-12) cc(works-12, and-13) nmod:of(record-9, virtues-14) conj:and(works-12, virtues-14) root(ROOT-0, perhaps-16) mark(offset-18, to-17) xcomp(perhaps-16, offset-18) det(works-22, some-19) amod(works-22, palpably-20) amod(works-22, bad-21) dobj(offset-18, works-22) cc(works-22, and-23) dobj(offset-18, vices-24) conj:and(works-22, vices-24)  ",virtues,14,"nmod:of(record-9, virtues-14) conj:and(works-12, virtues-14) ","record of good works and virtues , perhaps to offset some",NNS,[],,,,,,,,,"[('of', 'record')]",['of'],['record'],[],[],,"[('and', 'works')]",['and'],['works'],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
"In professing to help the poor-in encouraging the virtues and habits of sobriety , thrift , prudence , diligence , cleanliness , orderliness , self-discipline , self-reliance-the philanthropists , it is said , were imposing upon the poor "" values "" that were alien to them and inimical to them .","In/IN professing/VBG to/TO help/VB the/DT poor-in/NN encouraging/VBG the/DT virtues/NNS and/CC habits/NNS of/IN sobriety/NN ,/, thrift/NN ,/, prudence/NN ,/, diligence/NN ,/, cleanliness/NN ,/, orderliness/NN ,/, self-discipline/JJ ,/, self-reliance-the/JJ philanthropists/NN ,/, it/PRP is/VBZ said/VBN ,/, were/VBD imposing/VBG upon/IN the/DT poor/JJ ''/'' values/NNS ''/'' that/WDT were/VBD alien/JJ to/TO them/PRP and/CC inimical/VBP to/TO them/PRP ./.","mark(professing-2, In-1) advcl(said-32, professing-2) mark(help-4, to-3) xcomp(professing-2, help-4) det(poor-in-6, the-5) dobj(help-4, poor-in-6) acl(poor-in-6, encouraging-7) det(virtues-9, the-8) dobj(encouraging-7, virtues-9) cc(virtues-9, and-10) dobj(encouraging-7, habits-11) conj:and(virtues-9, habits-11) case(philanthropists-28, of-12) compound(philanthropists-28, sobriety-13) dep(philanthropists-28, thrift-15) dep(philanthropists-28, prudence-17) dep(philanthropists-28, diligence-19) dep(philanthropists-28, cleanliness-21) dep(philanthropists-28, orderliness-23) amod(philanthropists-28, self-discipline-25) amod(philanthropists-28, self-reliance-the-27) nmod:of(virtues-9, philanthropists-28) nsubjpass(said-32, it-30) nsubjpass(imposing-35, it-30) nsubj(inimical-48, it-30) auxpass(said-32, is-31) root(ROOT-0, said-32) aux(imposing-35, were-34) conj:and(said-32, imposing-35) case(values-40, upon-36) det(values-40, the-37) amod(values-40, poor-38) nmod:upon(imposing-35, values-40) nsubj(alien-44, values-40) ref(values-40, that-42) cop(alien-44, were-43) acl:relcl(values-40, alien-44) case(them-46, to-45) nmod:to(alien-44, them-46) cc(said-32, and-47) conj:and(said-32, inimical-48) case(them-50, to-49) nmod:to(inimical-48, them-50)  ",virtues,9,"det(virtues-9, the-8) cc(virtues-9, and-10) conj:and(virtues-9, habits-11) nmod:of(virtues-9, philanthropists-28) dobj(encouraging-7, virtues-9) ","help the poor-in encouraging the virtues and habits of sobriety ,",NNS,[],encouraging,VBG,object,,,encouraging,encourage,[],"[('of', 'philanthropists')]",['of'],[],['philanthropists'],['the'],definite article,"[('and', 'habits')]",['and'],['habits'],[],[],[],[],[],[],[],[],[],[],[],[],,,plural,linked,ambiguous,[],unknown,unknown
This is not to say that they were paragons of virtue or sensibility .,This/DT is/VBZ not/RB to/TO say/VB that/IN they/PRP were/VBD paragons/NNS of/IN virtue/NN or/CC sensibility/NN ./.,"nsubj(is-2, This-1) nsubj(say-5, This-1) root(ROOT-0, is-2) neg(is-2, not-3) mark(say-5, to-4) xcomp(is-2, say-5) mark(paragons-9, that-6) nsubj(paragons-9, they-7) cop(paragons-9, were-8) ccomp(say-5, paragons-9) case(virtue-11, of-10) nmod:of(paragons-9, virtue-11) cc(virtue-11, or-12) nmod:of(paragons-9, sensibility-13) conj:or(virtue-11, sensibility-13)  ",virtue,11,"case(virtue-11, of-10) cc(virtue-11, or-12) conj:or(virtue-11, sensibility-13) nmod:of(paragons-9, virtue-11) ",that they were paragons of virtue or sensibility .,NN,[],,,,,,,,,"[('of', 'paragons')]",['of'],['paragons'],[],[],,"[('or', 'sensibility')]",['or'],['sensibility'],[],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"In my time , self-advertisement was viewed with something like disdain , and we graduate students joked that the classic departmental recommendation was the one-sentence statement that a given candidate was "" not without redeeming virtue . ""","In/IN my/PRP$ time/NN ,/, self-advertisement/NN was/VBD viewed/VBN with/IN something/NN like/IN disdain/NN ,/, and/CC we/PRP graduate/VB students/NNS joked/VBN that/IN the/DT classic/JJ departmental/JJ recommendation/NN was/VBD the/DT one-sentence/JJ statement/NN that/IN a/DT given/VBN candidate/NN was/VBD ''/'' not/RB without/IN redeeming/VBG virtue/NN ./. ''/''","case(time-3, In-1) nmod:poss(time-3, my-2) nmod:in(viewed-7, time-3) nsubjpass(viewed-7, self-advertisement-5) auxpass(viewed-7, was-6) root(ROOT-0, viewed-7) case(something-9, with-8) nmod:with(viewed-7, something-9) case(disdain-11, like-10) nmod:like(something-9, disdain-11) cc(viewed-7, and-13) nsubj(graduate-15, we-14) conj:and(viewed-7, graduate-15) dobj(graduate-15, students-16) acl(students-16, joked-17) mark(statement-26, that-18) det(recommendation-22, the-19) amod(recommendation-22, classic-20) amod(recommendation-22, departmental-21) nsubj(statement-26, recommendation-22) cop(statement-26, was-23) det(statement-26, the-24) amod(statement-26, one-sentence-25) ccomp(joked-17, statement-26) mark(was-31, that-27) det(candidate-30, a-28) amod(candidate-30, given-29) nsubj(was-31, candidate-30) ccomp(statement-26, was-31) neg(redeeming-35, not-33) mark(redeeming-35, without-34) advcl(joked-17, redeeming-35) dobj(redeeming-35, virtue-36)  ",virtue,36,"dobj(redeeming-35, virtue-36) ","was "" not without redeeming virtue . """,NN,[],redeeming,VBG,object,,,redeeming,redeem,['not'],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,verdical
"Another item noted a ( predictably ) "" successful "" Association of Departments of English meeting held at Duke having "" virtues other than statistical "" and featuring papers "" exhibiting gratifying qualifies of mutual admiration . """,Another/DT item/NN noted/VBD a/DT -LRB-/-LRB- predictably/NN -RRB-/-RRB- ''/'' successful/VBG ''/'' Association/NNP of/IN Departments/NNP of/IN English/JJ meeting/NN held/VBN at/IN Duke/NNP having/VBG ''/'' virtues/NNP other/JJ than/IN statistical/NNP ''/'' and/CC featuring/VBZ papers/NNS ''/'' exhibiting/VBG gratifying/VBG qualifies/NNS of/IN mutual/JJ admiration/NN ./. ''/'',"det(item-2, Another-1) nsubj(noted-3, item-2) root(ROOT-0, noted-3) det(predictably-6, a-4) dobj(noted-3, predictably-6) acl:relcl(predictably-6, successful-9) dobj(successful-9, Association-11) case(Departments-13, of-12) nmod:of(Association-11, Departments-13) case(meeting-16, of-14) amod(meeting-16, English-15) nmod:of(Departments-13, meeting-16) acl(meeting-16, held-17) case(Duke-19, at-18) nmod:at(held-17, Duke-19) xcomp(held-17, having-20) ccomp(having-20, virtues-22) advmod(statistical-25, other-23) case(statistical-25, than-24) nmod:than(virtues-22, statistical-25) cc(virtues-22, and-27) ccomp(having-20, featuring-28) conj:and(virtues-22, featuring-28) dobj(featuring-28, papers-29) advcl(successful-9, exhibiting-31) amod(qualifies-33, gratifying-32) dobj(exhibiting-31, qualifies-33) case(admiration-36, of-34) amod(admiration-36, mutual-35) nmod:of(qualifies-33, admiration-36)  ",virtues,22,"nmod:than(virtues-22, statistical-25) cc(virtues-22, and-27) conj:and(virtues-22, featuring-28) ccomp(having-20, virtues-22) ","held at Duke having "" virtues other than statistical "" and",NNP,[],having,VBG,object,,,having,have,[],"[('than', 'statistical')]",['than'],[],['statistical'],[],,"[('and', 'featuring')]",['and'],['featuring'],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
<p> A related omission also detracts further from the virtues of chapter 2 .,<p>/NN A/DT related/JJ omission/NN also/RB detracts/VBZ further/RBR from/IN the/DT virtues/NNS of/IN chapter/NN 2/CD ./.,"nsubj(detracts-6, <p>-1) det(omission-4, A-2) amod(omission-4, related-3) dep(<p>-1, omission-4) advmod(detracts-6, also-5) root(ROOT-0, detracts-6) advmod(detracts-6, further-7) case(virtues-10, from-8) det(virtues-10, the-9) nmod:from(detracts-6, virtues-10) case(chapter-12, of-11) nmod:of(virtues-10, chapter-12) nummod(chapter-12, 2-13)  ",virtues,10,"case(virtues-10, from-8) det(virtues-10, the-9) nmod:of(virtues-10, chapter-12) nmod:from(detracts-6, virtues-10) ",also detracts further from the virtues of chapter 2 .,NNS,[],,,,,,,,,"[('of', 'chapter'), ('from', 'detracts')]","['of', 'from']",['detracts'],['chapter'],['the'],definite article,[],[],[],[],[],[],[],[],['from'],[],[],[],[],[],[],,,plural,linked,,[],unknown,unknown
"Humanist Marxists , socialist communitarians , teachers of republican virtue , and even , though secretly I think , the overtly unedifying literary critics are all engaged in the task .","Humanist/NNP Marxists/NNP ,/, socialist/JJ communitarians/NNS ,/, teachers/NNS of/IN republican/NN virtue/NN ,/, and/CC even/RB ,/, though/IN secretly/RB I/PRP think/VBP ,/, the/DT overtly/RB unedifying/JJ literary/JJ critics/NNS are/VBP all/RB engaged/VBN in/IN the/DT task/NN ./.","compound(Marxists-2, Humanist-1) nsubjpass(engaged-27, Marxists-2) amod(communitarians-5, socialist-4) appos(Marxists-2, communitarians-5) appos(Marxists-2, teachers-7) case(virtue-10, of-8) compound(virtue-10, republican-9) nmod:of(teachers-7, virtue-10) cc(Marxists-2, and-12) conj:and(Marxists-2, even-13) nsubjpass(engaged-27, even-13) mark(think-18, though-15) advmod(think-18, secretly-16) nsubj(think-18, I-17) advcl(engaged-27, think-18) det(critics-24, the-20) advmod(unedifying-22, overtly-21) amod(critics-24, unedifying-22) amod(critics-24, literary-23) nsubjpass(engaged-27, critics-24) auxpass(engaged-27, are-25) advmod(engaged-27, all-26) root(ROOT-0, engaged-27) case(task-30, in-28) det(task-30, the-29) nmod:in(engaged-27, task-30)  ",virtue,10,"case(virtue-10, of-8) compound(virtue-10, republican-9) nmod:of(teachers-7, virtue-10) ","communitarians , teachers of republican virtue , and even , though",NN,[],,,,,,,,,"[('of', 'teachers')]",['of'],['teachers'],[],[],,[],[],[],['republican'],[],[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
And how often have we contrasted them -- to their disadvantage -- with gleaming visions of great towers ?,And/CC how/WRB often/RB have/VBP we/PRP contrasted/VBN them/PRP --/: to/TO their/PRP$ disadvantage/NN --/: with/IN gleaming/VBG visions/NNS of/IN great/JJ towers/NNS ?/.,"cc(contrasted-6, And-1) advmod(often-3, how-2) advmod(contrasted-6, often-3) aux(contrasted-6, have-4) nsubj(contrasted-6, we-5) root(ROOT-0, contrasted-6) dobj(contrasted-6, them-7) case(disadvantage-11, to-9) nmod:poss(disadvantage-11, their-10) nmod:to(them-7, disadvantage-11) case(visions-15, with-13) amod(visions-15, gleaming-14) nmod:with(contrasted-6, visions-15) case(towers-18, of-16) amod(towers-18, great-17) nmod:of(visions-15, towers-18)  ",visions,15,"case(visions-15, with-13) amod(visions-15, gleaming-14) nmod:of(visions-15, towers-18) nmod:with(contrasted-6, visions-15) ",their disadvantage -- with gleaming visions of great towers ?,NNS,[],,,,,,,,,"[('of', 'towers'), ('with', 'contrasted')]","['of', 'with']",['contrasted'],['towers'],[],,[],[],[],[],['gleaming'],[],[],[],['with'],[],[],[],[],[],[],,,plural,bare plural,,[],unknown,unknown
