sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"They tell of commonplace , ordinary events in an agrarian society- farming , cooking , shepherding , losing money , mending , throwing dinner parties , family conflicts , squabbles over labor and wages , even assault and robbery .","They/PRP tell/VBP of/IN commonplace/JJ ,/, ordinary/JJ events/NNS in/IN an/DT agrarian/NN society/NN -/: farming/VBG ,/, cooking/VBG ,/, shepherding/VBG ,/, losing/VBG money/NN ,/, mending/VBG ,/, throwing/VBG dinner/NN parties/NNS ,/, family/NN conflicts/NNS ,/, squabbles/NNS over/IN labor/NN and/CC wages/NNS ,/, even/RB assault/NN and/CC robbery/NN ./."," nsubj(tell-2, They-1) root(ROOT-0, tell-2) case(events-7, of-3) amod(events-7, commonplace-4) amod(events-7, ordinary-6) nmod:of(tell-2, events-7) case(society-11, in-8) det(society-11, an-9) compound(society-11, agrarian-10) nmod:in(tell-2, society-11) ccomp(tell-2, farming-13) dep(farming-13, cooking-15) dep(farming-13, shepherding-17) dep(farming-13, losing-19) dobj(losing-19, money-20) dep(farming-13, mending-22) dep(farming-13, throwing-24) compound(parties-26, dinner-25) dobj(throwing-24, parties-26) compound(conflicts-29, family-28) dobj(farming-13, conflicts-29) dobj(farming-13, squabbles-31) conj:and(conflicts-29, squabbles-31) case(labor-33, over-32) nmod:over(squabbles-31, labor-33) cc(conflicts-29, and-34) dobj(farming-13, wages-35) conj:and(conflicts-29, wages-35) advmod(assault-38, even-37) appos(wages-35, assault-38) cc(assault-38, and-39) appos(wages-35, robbery-40) conj:and(assault-38, robbery-40)  ",robbery,40,"appos(wages-35, robbery-40) conj:and(assault-38, robbery-40) ",", even assault and robbery .",NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'assault')]",['and'],['assault'],[],[],[],[],[],[],[],"['modifier', 'wages']",['wages'],[],[],[],,,singular,,[],unknown,unknown
"And according to a 1991 survey , juveniles between the ages of 12 and 18 were responsible for approximately 28 percent of all personal crimes such as rape , personal robbery , aggravated and simple assault , and theft from a person ( Snyder and Sickmund 1995 : 47 ) .","And/CC according/VBG to/TO a/DT 1991/CD survey/NN ,/, juveniles/NNS between/IN the/DT ages/NNS of/IN 12/CD and/CC 18/CD were/VBD responsible/JJ for/IN approximately/RB 28/CD percent/NN of/IN all/DT personal/JJ crimes/NNS such/JJ as/IN rape/NN ,/, personal/JJ robbery/NN ,/, aggravated/JJ and/CC simple/JJ assault/NN ,/, and/CC theft/NN from/IN a/DT person/NN -LRB-/-LRB- Snyder/NNP and/CC Sickmund/NNP 1995/CD :/: 47/CD -RRB-/-RRB- ./."," cc(responsible-17, And-1) case(survey-6, according-2) mwe(according-2, to-3) det(survey-6, a-4) nummod(survey-6, 1991-5) nmod:according_to(responsible-17, survey-6) nsubj(responsible-17, juveniles-8) case(ages-11, between-9) det(ages-11, the-10) nmod:between(juveniles-8, ages-11) case(12-13, of-12) nmod:of(ages-11, 12-13) cc(12-13, and-14) nmod:of(ages-11, 18-15) conj:and(12-13, 18-15) cop(responsible-17, were-16) root(ROOT-0, responsible-17) case(percent-21, for-18) advmod(28-20, approximately-19) nummod(percent-21, 28-20) nmod:for(responsible-17, percent-21) case(crimes-25, of-22) det(crimes-25, all-23) amod(crimes-25, personal-24) nmod:of(percent-21, crimes-25) case(rape-28, such-26) mwe(such-26, as-27) nmod:such_as(crimes-25, rape-28) amod(robbery-31, personal-30) nmod:such_as(crimes-25, robbery-31) conj:and(rape-28, robbery-31) amod(assault-36, aggravated-33) cc(aggravated-33, and-34) conj:and(aggravated-33, simple-35) amod(assault-36, simple-35) nmod:such_as(crimes-25, assault-36) conj:and(rape-28, assault-36) cc(rape-28, and-38) nmod:such_as(crimes-25, theft-39) conj:and(rape-28, theft-39) case(person-42, from-40) det(person-42, a-41) nmod:from(responsible-17, person-42) dep(person-42, Snyder-44) cc(Snyder-44, and-45) dep(person-42, Sickmund-46) conj:and(Snyder-44, Sickmund-46) dep(Snyder-44, 1995-47) dep(1995-47, 47-49)  ",robbery,31,"amod(robbery-31, personal-30) nmod:such_as(crimes-25, robbery-31) conj:and(rape-28, robbery-31) ","such as rape , personal robbery , aggravated and simple assault",NN,[],,,,,,,,,"[('such_as', 'crimes')]",['such_as'],['crimes'],[],[],"[('and', 'rape')]",['and'],['rape'],[],['personal'],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
It was not a tale of simple robbery for money .,It/PRP was/VBD not/RB a/DT tale/NN of/IN simple/JJ robbery/NN for/IN money/NN ./.," nsubj(tale-5, It-1) cop(tale-5, was-2) neg(tale-5, not-3) det(tale-5, a-4) root(ROOT-0, tale-5) case(robbery-8, of-6) amod(robbery-8, simple-7) nmod:of(tale-5, robbery-8) case(money-10, for-9) nmod:for(robbery-8, money-10)  ",robbery,8,"case(robbery-8, of-6) amod(robbery-8, simple-7) nmod:for(robbery-8, money-10) nmod:of(tale-5, robbery-8) ",not a tale of simple robbery for money .,NN,[],,,,,,,,,"[('for', 'money'), ('of', 'tale')]","['for', 'of']",['tale'],['money'],[],[],[],[],[],['simple'],[],[],[],['of'],[],[],[],[],[],[],,,singular,,[],unknown,unknown
<p> Edmondson is charged in Louisiana with armed robbery and attempted murder .,<p>/NNP Edmondson/NNP is/VBZ charged/VBN in/IN Louisiana/NNP with/IN armed/VBN robbery/NN and/CC attempted/VBN murder/NN ./.," compound(Edmondson-2, <p>-1) nsubjpass(charged-4, Edmondson-2) auxpass(charged-4, is-3) root(ROOT-0, charged-4) case(Louisiana-6, in-5) nmod:in(charged-4, Louisiana-6) case(robbery-9, with-7) amod(robbery-9, armed-8) nmod:with(charged-4, robbery-9) cc(robbery-9, and-10) amod(murder-12, attempted-11) nmod:with(charged-4, murder-12) conj:and(robbery-9, murder-12)  ",robbery,9,"case(robbery-9, with-7) amod(robbery-9, armed-8) cc(robbery-9, and-10) conj:and(robbery-9, murder-12) nmod:with(charged-4, robbery-9) ",charged in Louisiana with armed robbery and attempted murder .,NN,[],,,,,,,,,"[('with', 'charged')]",['with'],['charged'],[],[],"[('and', 'murder')]",['and'],['murder'],[],['armed'],[],[],[],['with'],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"Instances of male brutality against other men , against women , against animals , and against the novel 's protagonist Skord , who represents the Other in Swedish society , define the novel 's plot and begin to weigh heavily on the reader as they inexorably accumulate : rapes , imprisonment , war , robbery , murder , torture , exploitation , and disfigurement .","Instances/NNS of/IN male/JJ brutality/NN against/IN other/JJ men/NNS ,/, against/IN women/NNS ,/, against/IN animals/NNS ,/, and/CC against/IN the/DT novel/NN 's/POS protagonist/NN Skord/NN ,/, who/WP represents/VBZ the/DT Other/JJ in/IN Swedish/JJ society/NN ,/, define/VB the/DT novel/NN 's/POS plot/NN and/CC begin/VB to/TO weigh/VB heavily/RB on/IN the/DT reader/NN as/IN they/PRP inexorably/RB accumulate/VBP :/: rapes/NNS ,/, imprisonment/NN ,/, war/NN ,/, robbery/NN ,/, murder/NN ,/, torture/NN ,/, exploitation/NN ,/, and/CC disfigurement/NN ./."," root(ROOT-0, Instances-1) case(brutality-4, of-2) amod(brutality-4, male-3) nmod:of(Instances-1, brutality-4) case(men-7, against-5) amod(men-7, other-6) nmod:against(brutality-4, men-7) case(women-10, against-9) nmod:against(brutality-4, women-10) nmod:against(brutality-4, women-10') conj:and(women-10, women-10') case(animals-13, against-12) nmod:against(women-10, animals-13) cc(women-10, and-15) case(Skord-21, against-16) det(novel-18, the-17) nmod:poss(Skord-21, novel-18) case(novel-18, 's-19) compound(Skord-21, protagonist-20) nmod:against(women-10', Skord-21) nsubj(represents-24, Skord-21) ref(Skord-21, who-23) acl:relcl(Skord-21, represents-24) det(Other-26, the-25) dobj(represents-24, Other-26) case(society-29, in-27) amod(society-29, Swedish-28) nmod:in(represents-24, society-29) dep(represents-24, define-31) det(novel-33, the-32) nmod:poss(plot-35, novel-33) case(novel-33, 's-34) dobj(define-31, plot-35) cc(define-31, and-36) dep(represents-24, begin-37) conj:and(define-31, begin-37) mark(weigh-39, to-38) xcomp(begin-37, weigh-39) advmod(weigh-39, heavily-40) case(reader-43, on-41) det(reader-43, the-42) nmod:on(weigh-39, reader-43) mark(accumulate-47, as-44) nsubj(accumulate-47, they-45) advmod(accumulate-47, inexorably-46) advcl(weigh-39, accumulate-47) dep(Instances-1, rapes-49) appos(rapes-49, imprisonment-51) appos(rapes-49, war-53) conj:and(imprisonment-51, war-53) appos(rapes-49, robbery-55) conj:and(imprisonment-51, robbery-55) appos(rapes-49, murder-57) conj:and(imprisonment-51, murder-57) appos(rapes-49, torture-59) conj:and(imprisonment-51, torture-59) appos(rapes-49, exploitation-61) conj:and(imprisonment-51, exploitation-61) cc(imprisonment-51, and-63) appos(rapes-49, disfigurement-64) conj:and(imprisonment-51, disfigurement-64)  ",robbery,55,"appos(rapes-49, robbery-55) conj:and(imprisonment-51, robbery-55) ",", imprisonment , war , robbery , murder , torture ,",NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'imprisonment')]",['and'],['imprisonment'],[],[],[],[],[],[],[],"['modifier', 'rapes']",['rapes'],[],[],[],,,singular,,[],unknown,unknown
"In a 1982 study of legal consciousness , it was perceived as equal in seriousness to bank robbery ( cited by Norstrom 105-6 ) .","In/IN a/DT 1982/CD study/NN of/IN legal/JJ consciousness/NN ,/, it/PRP was/VBD perceived/VBN as/RB equal/JJ in/IN seriousness/NN to/TO bank/NN robbery/NN -LRB-/-LRB- cited/VBN by/IN Norstrom/NNP 105-6/CD -RRB-/-RRB- ./."," case(study-4, In-1) det(study-4, a-2) nummod(study-4, 1982-3) nmod:in(perceived-11, study-4) case(consciousness-7, of-5) amod(consciousness-7, legal-6) nmod:of(study-4, consciousness-7) nsubjpass(perceived-11, it-9) auxpass(perceived-11, was-10) root(ROOT-0, perceived-11) advmod(equal-13, as-12) xcomp(perceived-11, equal-13) case(seriousness-15, in-14) nmod:in(equal-13, seriousness-15) case(robbery-18, to-16) compound(robbery-18, bank-17) nmod:to(perceived-11, robbery-18) dep(robbery-18, cited-20) case(Norstrom-22, by-21) nmod:by(cited-20, Norstrom-22) nummod(Norstrom-22, 105-6-23)  ",robbery,18,"case(robbery-18, to-16) compound(robbery-18, bank-17) dep(robbery-18, cited-20) nmod:to(perceived-11, robbery-18) ",equal in seriousness to bank robbery ( cited by Norstrom 105-6,NN,[],,,,,,,,,"[('to', 'perceived')]",['to'],['perceived'],[],[],[],[],[],['bank'],[],[],[],[],['to'],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"One Mexican government source estimates that the ratio of aid money to criminal money ( from drug trafficking , kidnapping , and robbery ) flowing into EZLN coffers has shifted from 4:1 in 1994 to 3:2 in 1998 , and could reverse to 2:3 by 2001 .","One/CD Mexican/JJ government/NN source/NN estimates/VBZ that/IN the/DT ratio/NN of/IN aid/NN money/NN to/TO criminal/JJ money/NN -LRB-/-LRB- from/IN drug/NN trafficking/NN ,/, kidnapping/NN ,/, and/CC robbery/NN -RRB-/-RRB- flowing/VBG into/IN EZLN/NNP coffers/NNS has/VBZ shifted/VBN from/IN 4:1/CD in/IN 1994/CD to/TO 3:2/CD in/IN 1998/CD ,/, and/CC could/MD reverse/VB to/TO 2:3/CD by/IN 2001/CD ./."," nummod(source-4, One-1) amod(source-4, Mexican-2) compound(source-4, government-3) nsubj(estimates-5, source-4) root(ROOT-0, estimates-5) mark(shifted-30, that-6) det(ratio-8, the-7) nsubj(shifted-30, ratio-8) nsubj(reverse-42, ratio-8) case(money-11, of-9) compound(money-11, aid-10) nmod:of(ratio-8, money-11) case(money-14, to-12) amod(money-14, criminal-13) nmod:to(money-11, money-14) case(trafficking-18, from-16) compound(trafficking-18, drug-17) nmod:from(money-14, trafficking-18) nmod:from(money-14, kidnapping-20) conj:and(trafficking-18, kidnapping-20) cc(trafficking-18, and-22) nmod:from(money-14, robbery-23) conj:and(trafficking-18, robbery-23) acl(money-14, flowing-25) case(coffers-28, into-26) compound(coffers-28, EZLN-27) nmod:into(flowing-25, coffers-28) aux(shifted-30, has-29) ccomp(estimates-5, shifted-30) case(4:1-32, from-31) nmod:from(shifted-30, 4:1-32) case(3:2-36, in-33) nummod(3:2-36, 1994-34) dep(3:2-36, to-35) nmod:in(shifted-30, 3:2-36) case(1998-38, in-37) nmod:in(3:2-36, 1998-38) cc(shifted-30, and-40) aux(reverse-42, could-41) ccomp(estimates-5, reverse-42) conj:and(shifted-30, reverse-42) case(2:3-44, to-43) nmod:to(reverse-42, 2:3-44) case(2001-46, by-45) nmod:by(reverse-42, 2001-46)  ",robbery,23,"nmod:from(money-14, robbery-23) conj:and(trafficking-18, robbery-23) ","trafficking , kidnapping , and robbery ) flowing into EZLN coffers",NN,[],,,,,,,,,"[('from', 'money')]",['from'],['money'],[],[],"[('and', 'trafficking')]",['and'],['trafficking'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"Unlike , say , a bank robbery , white-collar crimes frequently unfold over a longer period of time .","Unlike/IN ,/, say/UH ,/, a/DT bank/NN robbery/NN ,/, white-collar/JJ crimes/NNS frequently/RB unfold/VB over/RP a/DT longer/JJR period/NN of/IN time/NN ./."," case(say-3, Unlike-1) advcl:unlike(unfold-12, say-3) det(crimes-10, a-5) compound(crimes-10, bank-6) compound(crimes-10, robbery-7) amod(crimes-10, white-collar-9) nsubj(unfold-12, crimes-10) advmod(unfold-12, frequently-11) root(ROOT-0, unfold-12) compound:prt(unfold-12, over-13) det(period-16, a-14) amod(period-16, longer-15) dobj(unfold-12, period-16) case(time-18, of-17) nmod:of(period-16, time-18)  ",robbery,7,"compound(crimes-10, robbery-7) ",", say , a bank robbery , white-collar crimes frequently unfold",NN,[],unfold,VB,subject,unfold,unfold,,,[],[],[],[],[],[],[],[],[],['crimes'],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,[],unknown,unknown
"Granbard ( 1973 ) found out that the type of offence differs sharply between the sexes , boys being more often convicted of violent offences like rape , robbery , and vandalism while girls are more often convicted of sex-related crimes or running away from home .","Granbard/NNP -LRB-/-LRB- 1973/CD -RRB-/-RRB- found/VBD out/RP that/IN the/DT type/NN of/IN offence/NN differs/VBZ sharply/RB between/IN the/DT sexes/NNS ,/, boys/NNS being/VBG more/RBR often/RB convicted/VBN of/IN violent/JJ offences/NNS like/IN rape/NN ,/, robbery/NN ,/, and/CC vandalism/NN while/IN girls/NNS are/VBP more/RBR often/RB convicted/VBN of/IN sex-related/JJ crimes/NNS or/CC running/VBG away/RP from/IN home/NN ./."," nsubj(found-5, Granbard-1) appos(Granbard-1, 1973-3) root(ROOT-0, found-5) compound:prt(found-5, out-6) mark(differs-12, that-7) det(type-9, the-8) nsubj(differs-12, type-9) case(offence-11, of-10) nmod:of(type-9, offence-11) ccomp(found-5, differs-12) advmod(differs-12, sharply-13) case(sexes-16, between-14) det(sexes-16, the-15) nmod:between(differs-12, sexes-16) appos(sexes-16, boys-18) auxpass(convicted-22, being-19) advmod(often-21, more-20) advmod(convicted-22, often-21) dep(boys-18, convicted-22) case(offences-25, of-23) amod(offences-25, violent-24) nmod:of(convicted-22, offences-25) case(rape-27, like-26) nmod:like(convicted-22, rape-27) nmod:like(convicted-22, robbery-29) conj:and(rape-27, robbery-29) cc(rape-27, and-31) nmod:like(convicted-22, vandalism-32) conj:and(rape-27, vandalism-32) mark(convicted-38, while-33) nsubjpass(convicted-38, girls-34) auxpass(convicted-38, are-35) advmod(often-37, more-36) advmod(convicted-38, often-37) dep(rape-27, convicted-38) case(crimes-41, of-39) amod(crimes-41, sex-related-40) nmod:of(convicted-38, crimes-41) cc(convicted-22, or-42) dep(boys-18, running-43) conj:or(convicted-22, running-43) compound:prt(running-43, away-44) case(home-46, from-45) nmod:from(running-43, home-46)  ",robbery,29,"nmod:like(convicted-22, robbery-29) conj:and(rape-27, robbery-29) ","violent offences like rape , robbery , and vandalism while girls",NN,[],,,,,,,,,"[('like', 'convicted')]",['like'],['convicted'],[],[],"[('and', 'rape')]",['and'],['rape'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"The list of the crimes included rape , smoking , , robbery , theft , drugs , murder , dangerous fighting , truancy , prostitution and wandering .","The/DT list/NN of/IN the/DT crimes/NNS included/VBD rape/NN ,/, smoking/NN ,/, ,/, robbery/NN ,/, theft/NN ,/, drugs/NNS ,/, murder/NN ,/, dangerous/JJ fighting/NN ,/, truancy/JJ ,/, prostitution/JJ and/CC wandering/JJ ./."," det(list-2, The-1) nsubj(included-6, list-2) case(crimes-5, of-3) det(crimes-5, the-4) nmod:of(list-2, crimes-5) root(ROOT-0, included-6) nsubj(truancy-23, rape-7) nsubj(prostitution-25, rape-7) nsubj(wandering-27, rape-7) appos(rape-7, smoking-9) compound(fighting-21, robbery-12) dep(fighting-21, theft-14) dep(fighting-21, drugs-16) dep(fighting-21, murder-18) amod(fighting-21, dangerous-20) appos(rape-7, fighting-21) xcomp(included-6, truancy-23) xcomp(included-6, prostitution-25) conj:and(truancy-23, prostitution-25) cc(truancy-23, and-26) xcomp(included-6, wandering-27) conj:and(truancy-23, wandering-27)  ",robbery,12,"compound(fighting-21, robbery-12) ","rape , smoking , , robbery , theft , drugs ,",NN,[],,,,,,,,,[],[],[],[],[],[],[],[],['fighting'],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"The U.S. Department of Justice , in the Violent Crime Index , categorizes four specific types of violent crime : ( a ) murder and nonnegligent manslaughter , ( b ) forcible rape , ( c ) robbery , and ( d ) aggravated assault ( i.e.","The/DT U.S./NNP Department/NNP of/IN Justice/NNP ,/, in/IN the/DT Violent/NNP Crime/NNP Index/NNP ,/, categorizes/VBZ four/CD specific/JJ types/NNS of/IN violent/JJ crime/NN :/: -LRB-/-LRB- a/DT -RRB-/-RRB- murder/NN and/CC nonnegligent/NN manslaughter/NN ,/, -LRB-/-LRB- b/SYM -RRB-/-RRB- forcible/JJ rape/NN ,/, -LRB-/-LRB- c/SYM -RRB-/-RRB- robbery/NN ,/, and/CC -LRB-/-LRB- d/NNP -RRB-/-RRB- aggravated/VBN assault/NNP -LRB-/-LRB- i.e./NNP"," det(Department-3, The-1) compound(Department-3, U.S.-2) nsubj(categorizes-13, Department-3) case(Justice-5, of-4) nmod:of(Department-3, Justice-5) case(Index-11, in-7) det(Index-11, the-8) compound(Index-11, Violent-9) compound(Index-11, Crime-10) nmod:in(Department-3, Index-11) root(ROOT-0, categorizes-13) nummod(types-16, four-14) amod(types-16, specific-15) dobj(categorizes-13, types-16) case(crime-19, of-17) amod(crime-19, violent-18) nmod:of(types-16, crime-19) dep(murder-24, a-22) dep(crime-19, murder-24) cc(murder-24, and-25) dep(crime-19, nonnegligent-26) conj:and(murder-24, nonnegligent-26) nmod(murder-24, manslaughter-27) dep(rape-33, b-30) amod(rape-33, forcible-32) appos(manslaughter-27, rape-33) dep(manslaughter-27, c-36) dep(manslaughter-27, robbery-38) cc(robbery-38, and-40) dep(manslaughter-27, d-42) conj:and(robbery-38, d-42) acl(d-42, aggravated-44) compound(i.e.-47, assault-45) dep(types-16, i.e.-47)  ",robbery,38,"cc(robbery-38, and-40) conj:and(robbery-38, d-42) dep(manslaughter-27, robbery-38) ","rape , ( c ) robbery , and ( d )",NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'd')]",['and'],['d'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
", murder , rape , and robbery ) .",",/, murder/NN ,/, rape/VBZ ,/, and/CC robbery/NN -RRB-/-RRB- ./."," nsubj(rape-4, murder-2) root(ROOT-0, rape-4) case(robbery-7, and-6) nmod:and(rape-4, robbery-7)  ",robbery,7,"case(robbery-7, and-6) nmod:and(rape-4, robbery-7) ","murder , rape , and robbery ) .",NN,[],,,,,,,,,"[('and', 'rape')]",['and'],['rape'],[],[],[],[],[],[],[],[],[],[],['and'],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"These six groups were minor theft , felony theft , minor assault , felony assault , vandalism , and robbery .","These/DT six/CD groups/NNS were/VBD minor/JJ theft/NN ,/, felony/NN theft/NN ,/, minor/JJ assault/NN ,/, felony/NN assault/NN ,/, vandalism/NN ,/, and/CC robbery/NN ./."," det(groups-3, These-1) nummod(groups-3, six-2) nsubj(theft-6, groups-3) cop(theft-6, were-4) amod(theft-6, minor-5) root(ROOT-0, theft-6) compound(theft-9, felony-8) conj:and(theft-6, theft-9) amod(assault-12, minor-11) conj:and(theft-6, assault-12) compound(assault-15, felony-14) conj:and(theft-6, assault-15) conj:and(theft-6, vandalism-17) cc(theft-6, and-19) conj:and(theft-6, robbery-20)  ",robbery,20,"conj:and(theft-6, robbery-20) ","assault , vandalism , and robbery .",NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'theft')]",['and'],['theft'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"Results were nonsignificant , with the exception of robbery , chi 2 ( 1 , N = 518 ) = 3.92 , p < .05 , where participants with complete data reported a higher rate of involvement in this offense .","Results/NNS were/VBD nonsignificant/JJ ,/, with/IN the/DT exception/NN of/IN robbery/NN ,/, chi/CD 2/CD -LRB-/-LRB- 1/CD ,/, N/NNP =/NNP 518/NNP -RRB-/-RRB- =/SYM 3.92/NNS ,/, p/VBP </NNP .05/CD ,/, where/WRB participants/NNS with/IN complete/JJ data/NNS reported/VBD a/DT higher/JJR rate/NN of/IN involvement/NN in/IN this/DT offense/NN ./."," nsubj(nonsignificant-3, Results-1) cop(nonsignificant-3, were-2) ccomp(p-23, nonsignificant-3) mark(3.92-21, with-5) det(exception-7, the-6) nsubj(3.92-21, exception-7) case(robbery-9, of-8) nmod:of(exception-7, robbery-9) compound(2-12, chi-11) appos(robbery-9, 2-12) dep(2-12, 1-14) compound(518-18, N-16) compound(518-18, =-17) appos(1-14, 518-18) dep(3.92-21, =-20) advcl(nonsignificant-3, 3.92-21) root(ROOT-0, p-23) nsubj(p-23, <-24) nummod(<-24, .05-25) advmod(reported-32, where-27) nsubj(reported-32, participants-28) case(data-31, with-29) amod(data-31, complete-30) nmod:with(participants-28, data-31) acl:relcl(<-24, reported-32) det(rate-35, a-33) amod(rate-35, higher-34) dobj(reported-32, rate-35) case(involvement-37, of-36) nmod:of(rate-35, involvement-37) case(offense-40, in-38) det(offense-40, this-39) nmod:in(reported-32, offense-40)  ",robbery,9,"case(robbery-9, of-8) appos(robbery-9, 2-12) nmod:of(exception-7, robbery-9) ",", with the exception of robbery , chi 2 ( 1",NN,[],,,,,,,,,"[('of', 'exception')]",['of'],['exception'],[],[],[],[],[],[],[],[],[],[],['of'],[],"['modified', '2']",[],['2'],[],[],,,singular,,[],unknown,unknown
"For boys , aggression significantly predicted a wide range of serious and nonserious offenses , including minor assault , felony assault , felony theft , vandalism , and robbery ; peer rejection was a significant predictor of felony assault and minor theft .","For/IN boys/NNS ,/, aggression/NN significantly/RB predicted/VBD a/DT wide/JJ range/NN of/IN serious/JJ and/CC nonserious/JJ offenses/NNS ,/, including/VBG minor/JJ assault/NN ,/, felony/NN assault/NN ,/, felony/NN theft/NN ,/, vandalism/NN ,/, and/CC robbery/NN ;/: peer/NN rejection/NN was/VBD a/DT significant/JJ predictor/NN of/IN felony/NN assault/NN and/CC minor/JJ theft/NN ./."," case(boys-2, For-1) nmod:for(predicted-6, boys-2) nsubj(predicted-6, aggression-4) advmod(predicted-6, significantly-5) root(ROOT-0, predicted-6) det(range-9, a-7) amod(range-9, wide-8) dobj(predicted-6, range-9) case(offenses-14, of-10) amod(offenses-14, serious-11) cc(serious-11, and-12) conj:and(serious-11, nonserious-13) amod(offenses-14, nonserious-13) nmod:of(range-9, offenses-14) case(assault-18, including-16) amod(assault-18, minor-17) nmod:including(predicted-6, assault-18) compound(assault-21, felony-20) nmod:including(predicted-6, assault-21) conj:and(assault-18, assault-21) compound(theft-24, felony-23) nmod:including(predicted-6, theft-24) conj:and(assault-18, theft-24) nmod:including(predicted-6, vandalism-26) conj:and(assault-18, vandalism-26) cc(assault-18, and-28) nmod:including(predicted-6, robbery-29) conj:and(assault-18, robbery-29) compound(rejection-32, peer-31) nsubj(predictor-36, rejection-32) cop(predictor-36, was-33) det(predictor-36, a-34) amod(predictor-36, significant-35) parataxis(predicted-6, predictor-36) case(assault-39, of-37) compound(assault-39, felony-38) nmod:of(predictor-36, assault-39) cc(assault-39, and-40) amod(theft-42, minor-41) nmod:of(predictor-36, theft-42) conj:and(assault-39, theft-42)  ",robbery,29,"nmod:including(predicted-6, robbery-29) conj:and(assault-18, robbery-29) ","theft , vandalism , and robbery ; peer rejection was a",NN,[],,,,,,,,,"[('including', 'predicted')]",['including'],['predicted'],[],[],"[('and', 'assault')]",['and'],['assault'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
"Effects for peer rejection and minor theft and for aggression and robbery were in an unanticipated direction , with higher levels of rejection or aggression associated with lower offending levels , as indicated by an odds ratio less than 1.0 .","Effects/NNPS for/IN peer/NN rejection/NN and/CC minor/JJ theft/NN and/CC for/IN aggression/NN and/CC robbery/NN were/VBD in/IN an/DT unanticipated/JJ direction/NN ,/, with/IN higher/JJR levels/NNS of/IN rejection/NN or/CC aggression/NN associated/VBN with/IN lower/JJR offending/NN levels/NNS ,/, as/IN indicated/VBD by/IN an/DT odds/NNS ratio/NN less/JJR than/IN 1.0/CD ./."," conj:and(Effects-1, Effects-1') conj:and(Effects-1, Effects-1'') nsubj(direction-17, Effects-1) nsubj(direction-17, Effects-1') nsubj(direction-17, Effects-1'') case(rejection-4, for-2) compound(rejection-4, peer-3) nmod:for(Effects-1, rejection-4) cc(Effects-1, and-5) amod(theft-7, minor-6) conj(rejection-4, theft-7) cc(Effects-1, and-8) case(aggression-10, for-9) nmod:for(Effects-1', aggression-10) cc(aggression-10, and-11) nmod:for(Effects-1', robbery-12) conj:and(aggression-10, robbery-12) cop(direction-17, were-13) case(direction-17, in-14) det(direction-17, an-15) amod(direction-17, unanticipated-16) root(ROOT-0, direction-17) case(levels-21, with-19) amod(levels-21, higher-20) nmod:with(direction-17, levels-21) case(rejection-23, of-22) nmod:of(levels-21, rejection-23) cc(rejection-23, or-24) nmod:of(levels-21, aggression-25) conj:or(rejection-23, aggression-25) acl(levels-21, associated-26) case(levels-30, with-27) amod(levels-30, lower-28) compound(levels-30, offending-29) nmod:with(associated-26, levels-30) mark(indicated-33, as-32) dep(levels-30, indicated-33) case(ratio-37, by-34) det(ratio-37, an-35) compound(ratio-37, odds-36) nmod:by(indicated-33, ratio-37) advmod(1.0-40, less-38) mwe(less-38, than-39) dep(ratio-37, 1.0-40)  ",robbery,12,"conj:and(aggression-10, robbery-12) ",theft and for aggression and robbery were in an unanticipated direction,NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'aggression')]",['and'],['aggression'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],unknown,unknown
