sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"The Attorney-General , Rogelio Cruz , has not been active in seeking indictments against those Noriega associates who were either involved in crimes against individuals or in the many cases of illegal arrests , tortures , and murder that took place during his regime .","The/DT Attorney-General/NN ,/, Rogelio/NNP Cruz/NNP ,/, has/VBZ not/RB been/VBN active/JJ in/IN seeking/VBG indictments/NNS against/IN those/DT Noriega/NNP associates/NNS who/WP were/VBD either/RB involved/VBN in/IN crimes/NNS against/IN individuals/NNS or/CC in/IN the/DT many/JJ cases/NNS of/IN illegal/JJ arrests/NNS ,/, tortures/NNS ,/, and/CC murder/NN that/WDT took/VBD place/NN during/IN his/PRP$ regime/NN ./."," det(Attorney-General-2, The-1) nsubj(active-10, Attorney-General-2) compound(Cruz-5, Rogelio-4) appos(Attorney-General-2, Cruz-5) aux(active-10, has-7) neg(active-10, not-8) cop(active-10, been-9) root(ROOT-0, active-10) mark(seeking-12, in-11) advcl(active-10, seeking-12) advcl(active-10, seeking-12') conj:or(seeking-12, seeking-12') dobj(seeking-12, indictments-13) case(associates-17, against-14) det(associates-17, those-15) compound(associates-17, Noriega-16) nmod:against(seeking-12, associates-17) nsubjpass(involved-21, associates-17) ref(associates-17, who-18) auxpass(involved-21, were-19) advmod(involved-21, either-20) acl:relcl(associates-17, involved-21) case(crimes-23, in-22) nmod:in(involved-21, crimes-23) case(individuals-25, against-24) nmod:against(crimes-23, individuals-25) cc(seeking-12, or-26) case(cases-30, in-27) det(cases-30, the-28) amod(cases-30, many-29) nmod:in(seeking-12', cases-30) nsubj(took-40, cases-30) case(arrests-33, of-31) amod(arrests-33, illegal-32) nmod:of(cases-30, arrests-33) nmod:of(cases-30, tortures-35) conj:and(arrests-33, tortures-35) cc(arrests-33, and-37) nmod:of(cases-30, murder-38) conj:and(arrests-33, murder-38) ref(cases-30, that-39) acl:relcl(cases-30, took-40) dobj(took-40, place-41) case(regime-44, during-42) nmod:poss(regime-44, his-43) nmod:during(took-40, regime-44)  ",crimes,23,"case(crimes-23, in-22) nmod:against(crimes-23, individuals-25) nmod:in(involved-21, crimes-23) ",who were either involved in crimes against individuals or in the,NNS,[],,,,,,,,,"[('against', 'individuals'), ('in', 'involved')]","['against', 'in']",['involved'],['individuals'],[],[],[],[],[],[],[],[],[],['in'],[],[],[],[],[],[],,,plural,,[],countable,unknown
Crime and Violence <p> A third area in which the Endara government has failed to make progress or exert control is one that affects the security of every citizen : the spiralling violence and crime that plague Panamanian society today .,Crime/NNP and/CC Violence/NNP <p>/VBP A/DT third/JJ area/NN in/IN which/WDT the/DT Endara/NNP government/NN has/VBZ failed/VBN to/TO make/VB progress/NN or/CC exert/NN control/NN is/VBZ one/CD that/WDT affects/VBZ the/DT security/NN of/IN every/DT citizen/NN :/: the/DT spiralling/JJ violence/NN and/CC crime/NN that/WDT plague/VBD Panamanian/JJ society/NN today/NN ./.," nsubj(<p>-4, Crime-1) cc(Crime-1, and-2) conj:and(Crime-1, Violence-3) nsubj(<p>-4, Violence-3) root(ROOT-0, <p>-4) det(area-7, A-5) amod(area-7, third-6) nmod:in(failed-14, area-7) nsubj(one-22, area-7) case(which-9, in-8) ref(area-7, which-9) det(government-12, the-10) compound(government-12, Endara-11) nsubj(failed-14, government-12) nsubj(make-16, government-12) aux(failed-14, has-13) acl:relcl(area-7, failed-14) mark(make-16, to-15) xcomp(failed-14, make-16) compound(control-20, progress-17) cc(progress-17, or-18) conj:or(progress-17, exert-19) compound(control-20, exert-19) dobj(make-16, control-20) cop(one-22, is-21) ccomp(<p>-4, one-22) nsubj(affects-24, one-22) ref(one-22, that-23) acl:relcl(one-22, affects-24) det(security-26, the-25) dobj(affects-24, security-26) case(citizen-29, of-27) det(citizen-29, every-28) nmod:of(security-26, citizen-29) det(violence-33, the-31) amod(violence-33, spiralling-32) dep(one-22, violence-33) nsubj(plague-37, violence-33) cc(violence-33, and-34) dep(one-22, crime-35) conj:and(violence-33, crime-35) nsubj(plague-37, crime-35) ref(violence-33, that-36) acl:relcl(violence-33, plague-37) amod(society-39, Panamanian-38) dobj(plague-37, society-39) nmod:tmod(plague-37, today-40)  ",crime,35,"dep(one-22, crime-35) conj:and(violence-33, crime-35) nsubj(plague-37, crime-35) ",: the spiralling violence and crime that plague Panamanian society today,NN,[],plague,VBD,subject,plague,plague,,,[],[],[],[],[],[],"[('and', 'violence')]",['and'],['violence'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,[],countable,unknown
"In October 1990 , few Panamanians considered corruption , crime , and violence to be major social problems .","In/IN October/NNP 1990/CD ,/, few/JJ Panamanians/NNPS considered/VBD corruption/NN ,/, crime/NN ,/, and/CC violence/NN to/TO be/VB major/JJ social/JJ problems/NNS ./."," case(October-2, In-1) nmod:in(considered-7, October-2) nummod(October-2, 1990-3) amod(Panamanians-6, few-5) nsubj(considered-7, Panamanians-6) root(ROOT-0, considered-7) dobj(considered-7, corruption-8) dobj(considered-7, crime-10) conj:and(corruption-8, crime-10) cc(corruption-8, and-12) dobj(considered-7, violence-13) conj:and(corruption-8, violence-13) mark(problems-18, to-14) cop(problems-18, be-15) amod(problems-18, major-16) amod(problems-18, social-17) advcl(considered-7, problems-18)  ",crime,10,"dobj(considered-7, crime-10) conj:and(corruption-8, crime-10) ","few Panamanians considered corruption , crime , and violence to be",NN,[],considered,VBD,object,,,considered,consider,[],[],[],[],[],[],"[('and', 'corruption')]",['and'],['corruption'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,[],countable,unknown
"As mentioned above , by mid-l992 , corruption in government was second only to unemployment while crime , and an increasing level of violence , ran a close third .","As/IN mentioned/VBN above/RB ,/, by/IN mid-l992/JJ ,/, corruption/NN in/IN government/NN was/VBD second/RB only/JJ to/TO unemployment/NN while/IN crime/NN ,/, and/CC an/DT increasing/VBG level/NN of/IN violence/NN ,/, ran/VBD a/DT close/JJ third/NN ./."," mark(mentioned-2, As-1) advcl(only-13, mentioned-2) advmod(mentioned-2, above-3) case(mid-l992-6, by-5) advcl:by(mentioned-2, mid-l992-6) nsubj(only-13, corruption-8) case(government-10, in-9) nmod:in(corruption-8, government-10) cop(only-13, was-11) advmod(only-13, second-12) root(ROOT-0, only-13) case(unemployment-15, to-14) nmod:to(only-13, unemployment-15) mark(ran-26, while-16) nsubj(ran-26, crime-17) cc(crime-17, and-19) det(level-22, an-20) amod(level-22, increasing-21) conj:and(crime-17, level-22) nsubj(ran-26, level-22) case(violence-24, of-23) nmod:of(level-22, violence-24) advcl(only-13, ran-26) advmod(third-29, a-27) advmod(third-29, close-28) dobj(ran-26, third-29)  ",crime,17,"cc(crime-17, and-19) conj:and(crime-17, level-22) nsubj(ran-26, crime-17) ","second only to unemployment while crime , and an increasing level",NN,[],ran,VBD,subject,ran,run,,,[],[],[],[],[],[],"[('and', 'level')]",['and'],['level'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,ambiguous,[],countable,unknown
"In the meantime , there is evidence that the forces of organized crime have stepped up their activity , while the use of , and traffic in , drugs is now even more extensive than during the Noriega administration .","In/IN the/DT meantime/NN ,/, there/EX is/VBZ evidence/NN that/IN the/DT forces/NNS of/IN organized/VBN crime/NN have/VBP stepped/VBN up/RP their/PRP$ activity/NN ,/, while/IN the/DT use/NN of/IN ,/, and/CC traffic/FW in/FW ,/, drugs/NNS is/VBZ now/RB even/RB more/RBR extensive/JJ than/IN during/IN the/DT Noriega/NNP administration/NN ./."," case(meantime-3, In-1) det(meantime-3, the-2) nmod:in(is-6, meantime-3) expl(is-6, there-5) root(ROOT-0, is-6) nsubj(is-6, evidence-7) mark(stepped-15, that-8) det(forces-10, the-9) nsubj(stepped-15, forces-10) case(crime-13, of-11) amod(crime-13, organized-12) nmod:of(forces-10, crime-13) aux(stepped-15, have-14) ccomp(is-6, stepped-15) compound:prt(stepped-15, up-16) nmod:poss(activity-18, their-17) dobj(stepped-15, activity-18) mark(extensive-34, while-20) det(use-22, the-21) nsubj(extensive-34, use-22) case(drugs-29, of-23) cc(in-27, and-25) compound(in-27, traffic-26) dep(drugs-29, in-27) nmod:of(use-22, drugs-29) cop(extensive-34, is-30) advmod(extensive-34, now-31) advmod(extensive-34, even-32) advmod(extensive-34, more-33) advcl(stepped-15, extensive-34) case(administration-39, than-35) case(administration-39, during-36) det(administration-39, the-37) compound(administration-39, Noriega-38) nmod:during(extensive-34, administration-39)  ",crime,13,"case(crime-13, of-11) amod(crime-13, organized-12) nmod:of(forces-10, crime-13) ",that the forces of organized crime have stepped up their activity,NN,[],,,,,,,,,"[('of', 'forces')]",['of'],['forces'],[],[],[],[],[],[],['organized'],[],[],[],['of'],[],[],[],[],[],[],,,singular,,[],countable,unknown
<p> It is evident to even the most casual observer that people feel not only that crime is on the rise but that their own persons are less secure than formerly .,<p>/RB It/PRP is/VBZ evident/JJ to/TO even/RB the/DT most/JJS casual/JJ observer/NN that/IN people/NNS feel/VBP not/RB only/RB that/IN crime/NN is/VBZ on/IN the/DT rise/NN but/CC that/IN their/PRP$ own/JJ persons/NNS are/VBP less/RBR secure/JJ than/IN formerly/RB ./.," advmod(evident-4, <p>-1) nsubj(evident-4, It-2) cop(evident-4, is-3) root(ROOT-0, evident-4) case(observer-10, to-5) advmod(observer-10, even-6) det(observer-10, the-7) amod(observer-10, most-8) amod(observer-10, casual-9) nmod:to(evident-4, observer-10) mark(feel-13, that-11) nsubj(feel-13, people-12) dep(observer-10, feel-13) dep(rise-21, not-14) advmod(rise-21, only-15) mark(rise-21, that-16) nsubj(rise-21, crime-17) cop(rise-21, is-18) case(rise-21, on-19) det(rise-21, the-20) ccomp(feel-13, rise-21) cc(feel-13, but-22) mark(secure-29, that-23) nmod:poss(persons-26, their-24) amod(persons-26, own-25) nsubj(secure-29, persons-26) cop(secure-29, are-27) advmod(secure-29, less-28) dep(observer-10, secure-29) conj:but(feel-13, secure-29) case(formerly-31, than-30) advcl:than(secure-29, formerly-31)  ",crime,17,"nsubj(rise-21, crime-17) ",people feel not only that crime is on the rise but,NN,[],is,VBZ,subject,is,be,,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,singular,[],countable,unknown
"However , on the whole , this body of law is obsolete and there is no relation between the punishment and the crime from the standpoint of the kind and/or magnitude of damage done .","However/RB ,/, on/IN the/DT whole/NN ,/, this/DT body/NN of/IN law/NN is/VBZ obsolete/JJ and/CC there/EX is/VBZ no/DT relation/NN between/IN the/DT punishment/NN and/CC the/DT crime/NN from/IN the/DT standpoint/NN of/IN the/DT kind/NN and/or/NN magnitude/NN of/IN damage/NN done/VBN ./."," advmod(obsolete-12, However-1) case(whole-5, on-3) det(whole-5, the-4) nmod:on(obsolete-12, whole-5) det(body-8, this-7) nsubj(obsolete-12, body-8) case(law-10, of-9) nmod:of(body-8, law-10) cop(obsolete-12, is-11) root(ROOT-0, obsolete-12) cc(obsolete-12, and-13) expl(is-15, there-14) conj:and(obsolete-12, is-15) neg(relation-17, no-16) nsubj(is-15, relation-17) case(punishment-20, between-18) det(punishment-20, the-19) nmod:between(relation-17, punishment-20) cc(punishment-20, and-21) det(crime-23, the-22) nmod:between(relation-17, crime-23) conj:and(punishment-20, crime-23) case(standpoint-26, from-24) det(standpoint-26, the-25) nmod:from(crime-23, standpoint-26) case(magnitude-31, of-27) det(magnitude-31, the-28) compound(magnitude-31, kind-29) compound(magnitude-31, and/or-30) nmod:of(standpoint-26, magnitude-31) case(damage-33, of-32) nmod:of(magnitude-31, damage-33) acl(damage-33, done-34)  ",crime,23,"det(crime-23, the-22) nmod:from(crime-23, standpoint-26) nmod:between(relation-17, crime-23) conj:and(punishment-20, crime-23) ",between the punishment and the crime from the standpoint of the,NN,[],,,,,,,,,"[('from', 'standpoint'), ('between', 'relation')]","['from', 'between']",['relation'],['standpoint'],['the'],"[('and', 'punishment')]",['and'],['punishment'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],countable,unknown
"In that connection , and in addition to common crime and the illegal drug traffic , Panama has experienced an increasing number of terrorist incidents since 1991 .","In/IN that/DT connection/NN ,/, and/CC in/IN addition/NN to/TO common/JJ crime/NN and/CC the/DT illegal/JJ drug/NN traffic/NN ,/, Panama/NNP has/VBZ experienced/VBN an/DT increasing/VBG number/NN of/IN terrorist/JJ incidents/NNS since/IN 1991/CD ./."," case(connection-3, In-1) det(connection-3, that-2) nmod:in(experienced-19, connection-3) cc(experienced-19, and-5) case(crime-10, in-6) mwe(in-6, addition-7) mwe(in-6, to-8) amod(crime-10, common-9) nmod:in_addition_to(experienced-19', crime-10) cc(crime-10, and-11) det(traffic-15, the-12) amod(traffic-15, illegal-13) compound(traffic-15, drug-14) conj:and(crime-10, traffic-15) nmod:in_addition_to(experienced-19', traffic-15) nsubj(experienced-19, Panama-17) nsubj(experienced-19', Panama-17) aux(experienced-19, has-18) root(ROOT-0, experienced-19) conj:and(experienced-19, experienced-19') det(number-22, an-20) amod(number-22, increasing-21) dobj(experienced-19, number-22) case(incidents-25, of-23) amod(incidents-25, terrorist-24) nmod:of(number-22, incidents-25) case(1991-27, since-26) nmod:since(incidents-25, 1991-27)  ",crime,10,"case(crime-10, in-6) amod(crime-10, common-9) cc(crime-10, and-11) conj:and(crime-10, traffic-15) ",and in addition to common crime and the illegal drug traffic,NN,[],,,,,,,,,[],[],[],[],[],"[('and', 'traffic')]",['and'],['traffic'],[],['common'],[],[],[],['in'],[],[],[],[],[],[],,,singular,,[],countable,unknown
"( n12 ) The historians ' concern with the break-up of the medieval Reich was explicitly linked with the politics of German unification and expansion ; and , rightly or wrongly , Habermas and allied critical theorists fear that recent attempts to relativize National Socialist crimes or to reinterpret the meaning of the Third Reich in modern German history may signal a return to this tradition .","-LRB-/-LRB- n12/CD -RRB-/-RRB- The/DT historians/NNS '/POS concern/NN with/IN the/DT break-up/NN of/IN the/DT medieval/JJ Reich/NNP was/VBD explicitly/RB linked/VBN with/IN the/DT politics/NNS of/IN German/JJ unification/NN and/CC expansion/NN ;/: and/CC ,/, rightly/RB or/CC wrongly/RB ,/, Habermas/NNP and/CC allied/VBD critical/JJ theorists/NNS fear/VBP that/IN recent/JJ attempts/NNS to/TO relativize/VB National/NNP Socialist/NNP crimes/NNS or/CC to/TO reinterpret/VB the/DT meaning/NN of/IN the/DT Third/NNP Reich/NNP in/IN modern/JJ German/JJ history/NN may/MD signal/VB a/DT return/NN to/TO this/DT tradition/NN ./."," dep(linked-17, n12-2) det(historians-5, The-4) nmod:poss(concern-7, historians-5) case(historians-5, '-6) nsubjpass(linked-17, concern-7) nsubjpass(allied-35, concern-7) case(break-up-10, with-8) det(break-up-10, the-9) nmod:with(concern-7, break-up-10) case(Reich-14, of-11) det(Reich-14, the-12) amod(Reich-14, medieval-13) nmod:of(break-up-10, Reich-14) auxpass(linked-17, was-15) advmod(linked-17, explicitly-16) csubj(signal-61, linked-17) case(politics-20, with-18) det(politics-20, the-19) nmod:with(linked-17, politics-20) case(unification-23, of-21) amod(unification-23, German-22) nmod:of(politics-20, unification-23) cc(unification-23, and-24) nmod:of(politics-20, expansion-25) conj:and(unification-23, expansion-25) cc(politics-20, and-27) dep(politics-20, rightly-29) cc(rightly-29, or-30) dep(politics-20, wrongly-31) conj:or(rightly-29, wrongly-31) nmod:with(linked-17, Habermas-33) conj:and(politics-20, Habermas-33) cc(linked-17, and-34) conj:and(linked-17, allied-35) csubj(signal-61, allied-35) amod(theorists-37, critical-36) nsubj(fear-38, theorists-37) ccomp(allied-35, fear-38) mark(relativize-43, that-39) amod(attempts-41, recent-40) nsubj(relativize-43, attempts-41) nsubj(reinterpret-49, attempts-41) mark(relativize-43, to-42) ccomp(fear-38, relativize-43) compound(crimes-46, National-44) compound(crimes-46, Socialist-45) dobj(relativize-43, crimes-46) cc(relativize-43, or-47) mark(reinterpret-49, to-48) ccomp(fear-38, reinterpret-49) conj:or(relativize-43, reinterpret-49) det(meaning-51, the-50) dobj(reinterpret-49, meaning-51) case(Reich-55, of-52) det(Reich-55, the-53) compound(Reich-55, Third-54) nmod:of(meaning-51, Reich-55) case(history-59, in-56) amod(history-59, modern-57) amod(history-59, German-58) nmod:in(reinterpret-49, history-59) aux(signal-61, may-60) root(ROOT-0, signal-61) det(return-63, a-62) dobj(signal-61, return-63) case(tradition-66, to-64) det(tradition-66, this-65) nmod:to(signal-61, tradition-66)  ",crimes,46,"compound(crimes-46, National-44) compound(crimes-46, Socialist-45) dobj(relativize-43, crimes-46) ",attempts to relativize National Socialist crimes or to reinterpret the meaning,NNS,[],relativize,VB,object,,,relativize,relativize,[],[],[],[],[],[],[],[],[],"['National', 'Socialist']",[],[],[],[],[],[],[],[],[],[],[],,,plural,ambiguous,[],countable,unknown
This implies that the rich 's selfishness causes division not only between rich and poor but among the poor themselves ; santaneros are understandably more concerned about crime among the poor than about crime against the rich .,This/DT implies/VBZ that/IN the/DT rich/JJ 's/POS selfishness/NNS causes/VBZ division/NN not/RB only/JJ between/IN rich/JJ and/CC poor/JJ but/CC among/IN the/DT poor/JJ themselves/PRP ;/: santaneros/NNS are/VBP understandably/RB more/RBR concerned/JJ about/IN crime/NN among/IN the/DT poor/JJ than/IN about/RB crime/NN against/IN the/DT rich/JJ ./.," nsubj(implies-2, This-1) root(ROOT-0, implies-2) mark(causes-8, that-3) det(rich-5, the-4) nmod:poss(selfishness-7, rich-5) case(rich-5, 's-6) nsubj(causes-8, selfishness-7) nsubj(causes-8', selfishness-7) nsubj(causes-8'', selfishness-7) ccomp(implies-2, causes-8) ccomp(implies-2, causes-8') ccomp(implies-2, causes-8'') conj:and(causes-8, causes-8'') conj:but(causes-8, causes-8') dobj(causes-8, division-9) neg(only-11, not-10) cc:preconj(rich-13, only-11) case(rich-13, between-12) nmod:between(causes-8, rich-13) cc(causes-8, and-14) conj(rich-13, poor-15) cc(causes-8, but-16) case(poor-19, among-17) det(poor-19, the-18) nmod:among(causes-8', poor-19) advmod(poor-19, themselves-20) nsubj(concerned-26, santaneros-22) cop(concerned-26, are-23) advmod(concerned-26, understandably-24) advmod(concerned-26, more-25) parataxis(implies-2, concerned-26) case(crime-28, about-27) nmod:about(concerned-26, crime-28) case(poor-31, among-29) det(poor-31, the-30) nmod:among(crime-28, poor-31) case(crime-34, than-32) advmod(crime-34, about-33) nmod:than(concerned-26, crime-34) case(rich-37, against-35) det(rich-37, the-36) nmod:against(crime-34, rich-37)  ",crime,28,"case(crime-28, about-27) nmod:among(crime-28, poor-31) nmod:about(concerned-26, crime-28) ",are understandably more concerned about crime among the poor than about,NN,[],,,,,,,,,"[('among', 'poor'), ('about', 'concerned')]","['among', 'about']",['concerned'],['poor'],[],[],[],[],[],[],[],[],[],['about'],[],[],[],[],[],[],,,singular,,[],countable,unknown
This implies that the rich 's selfishness causes division not only between rich and poor but among the poor themselves ; santaneros are understandably more concerned about crime among the poor than about crime against the rich .,This/DT implies/VBZ that/IN the/DT rich/JJ 's/POS selfishness/NNS causes/VBZ division/NN not/RB only/JJ between/IN rich/JJ and/CC poor/JJ but/CC among/IN the/DT poor/JJ themselves/PRP ;/: santaneros/NNS are/VBP understandably/RB more/RBR concerned/JJ about/IN crime/NN among/IN the/DT poor/JJ than/IN about/RB crime/NN against/IN the/DT rich/JJ ./.," nsubj(implies-2, This-1) root(ROOT-0, implies-2) mark(causes-8, that-3) det(rich-5, the-4) nmod:poss(selfishness-7, rich-5) case(rich-5, 's-6) nsubj(causes-8, selfishness-7) nsubj(causes-8', selfishness-7) nsubj(causes-8'', selfishness-7) ccomp(implies-2, causes-8) ccomp(implies-2, causes-8') ccomp(implies-2, causes-8'') conj:and(causes-8, causes-8'') conj:but(causes-8, causes-8') dobj(causes-8, division-9) neg(only-11, not-10) cc:preconj(rich-13, only-11) case(rich-13, between-12) nmod:between(causes-8, rich-13) cc(causes-8, and-14) conj(rich-13, poor-15) cc(causes-8, but-16) case(poor-19, among-17) det(poor-19, the-18) nmod:among(causes-8', poor-19) advmod(poor-19, themselves-20) nsubj(concerned-26, santaneros-22) cop(concerned-26, are-23) advmod(concerned-26, understandably-24) advmod(concerned-26, more-25) parataxis(implies-2, concerned-26) case(crime-28, about-27) nmod:about(concerned-26, crime-28) case(poor-31, among-29) det(poor-31, the-30) nmod:among(crime-28, poor-31) case(crime-34, than-32) advmod(crime-34, about-33) nmod:than(concerned-26, crime-34) case(rich-37, against-35) det(rich-37, the-36) nmod:against(crime-34, rich-37)  ",crime,34,"case(crime-34, than-32) advmod(crime-34, about-33) nmod:against(crime-34, rich-37) nmod:than(concerned-26, crime-34) ",among the poor than about crime against the rich .,NN,[],,,,,,,,,"[('against', 'rich'), ('than', 'concerned')]","['against', 'than']",['concerned'],['rich'],[],[],[],[],[],[],[],[],[],['than'],['about'],[],[],[],[],[],,,singular,,[],countable,unknown
"Overtly they have refused to permit the installation of successors to the descent group headship , made accusations of serious crimes , real or imagined , and used the colonial administration in Bamenda as an instrument of this policy .","Overtly/RB they/PRP have/VBP refused/VBN to/TO permit/VB the/DT installation/NN of/IN successors/NNS to/TO the/DT descent/NN group/NN headship/NN ,/, made/VBN accusations/NNS of/IN serious/JJ crimes/NNS ,/, real/JJ or/CC imagined/JJ ,/, and/CC used/VBN the/DT colonial/JJ administration/NN in/IN Bamenda/NNP as/IN an/DT instrument/NN of/IN this/DT policy/NN ./."," advmod(refused-4, Overtly-1) nsubj(refused-4, they-2) nsubj(permit-6, they-2) nsubj(made-17, they-2) nsubj(used-28, they-2) aux(refused-4, have-3) root(ROOT-0, refused-4) mark(permit-6, to-5) xcomp(refused-4, permit-6) det(installation-8, the-7) dobj(permit-6, installation-8) case(successors-10, of-9) nmod:of(installation-8, successors-10) case(headship-15, to-11) det(headship-15, the-12) compound(headship-15, descent-13) compound(headship-15, group-14) nmod:to(permit-6, headship-15) conj:and(refused-4, made-17) dobj(made-17, accusations-18) case(crimes-21, of-19) amod(crimes-21, serious-20) nmod:of(accusations-18, crimes-21) amod(accusations-18, real-23) cc(real-23, or-24) amod(accusations-18, imagined-25) conj:or(real-23, imagined-25) cc(refused-4, and-27) conj:and(refused-4, used-28) det(administration-31, the-29) amod(administration-31, colonial-30) dobj(used-28, administration-31) case(Bamenda-33, in-32) nmod:in(administration-31, Bamenda-33) case(instrument-36, as-34) det(instrument-36, an-35) nmod:as(used-28, instrument-36) case(policy-39, of-37) det(policy-39, this-38) nmod:of(instrument-36, policy-39)  ",crimes,21,"case(crimes-21, of-19) amod(crimes-21, serious-20) nmod:of(accusations-18, crimes-21) ",", made accusations of serious crimes , real or imagined ,",NNS,[],,,,,,,,,"[('of', 'accusations')]",['of'],['accusations'],[],[],[],[],[],[],['serious'],[],[],[],['of'],[],[],[],[],[],[],,,plural,,[],countable,unknown
<p> State v. Wyant is the kind of case that ought to be carefully considered by proponents of hate crime legislation .,<p>/NNP State/NNP v./CC Wyant/NNP is/VBZ the/DT kind/NN of/IN case/NN that/WDT ought/MD to/TO be/VB carefully/RB considered/VBN by/IN proponents/NNS of/IN hate/NN crime/NN legislation/NN ./.," compound(State-2, <p>-1) nsubj(kind-7, State-2) cc(State-2, v.-3) conj:v.(State-2, Wyant-4) nsubj(kind-7, Wyant-4) cop(kind-7, is-5) det(kind-7, the-6) root(ROOT-0, kind-7) nsubj(ought-11, kind-7) nsubjpass(considered-15, kind-7) case(case-9, of-8) nmod:of(kind-7, case-9) ref(kind-7, that-10) acl:relcl(kind-7, ought-11) mark(considered-15, to-12) auxpass(considered-15, be-13) advmod(considered-15, carefully-14) xcomp(ought-11, considered-15) case(proponents-17, by-16) nmod:by(considered-15, proponents-17) case(legislation-21, of-18) compound(legislation-21, hate-19) compound(legislation-21, crime-20) nmod:of(proponents-17, legislation-21)  ",crime,20,"compound(legislation-21, crime-20) ",considered by proponents of hate crime legislation .,NN,[],,,,,,,,,[],[],[],[],[],[],[],[],['legislation'],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],countable,unknown
"This kind of prejudice certainly needs attention , but not the kind of attention that is provided by elevating an occasional low-level , harassment-type crime into a serious offense .","This/DT kind/NN of/IN prejudice/NN certainly/RB needs/VBZ attention/NN ,/, but/CC not/RB the/DT kind/NN of/IN attention/NN that/WDT is/VBZ provided/VBN by/IN elevating/VBG an/DT occasional/JJ low-level/JJ ,/, harassment-type/JJ crime/NN into/IN a/DT serious/JJ offense/NN ./."," det(kind-2, This-1) nsubj(needs-6, kind-2) case(prejudice-4, of-3) nmod:of(kind-2, prejudice-4) advmod(needs-6, certainly-5) root(ROOT-0, needs-6) dobj(needs-6, attention-7) cc(not-10, but-9) cc(attention-7, not-10) det(kind-12, the-11) dobj(needs-6, kind-12) conj:negcc(attention-7, kind-12) nsubjpass(provided-17, kind-12) case(attention-14, of-13) nmod:of(kind-12, attention-14) ref(kind-12, that-15) auxpass(provided-17, is-16) acl:relcl(kind-12, provided-17) mark(elevating-19, by-18) advcl(provided-17, elevating-19) det(crime-25, an-20) amod(crime-25, occasional-21) amod(crime-25, low-level-22) amod(crime-25, harassment-type-24) dobj(elevating-19, crime-25) case(offense-29, into-26) det(offense-29, a-27) amod(offense-29, serious-28) nmod:into(elevating-19, offense-29)  ",crime,25,"det(crime-25, an-20) amod(crime-25, occasional-21) amod(crime-25, low-level-22) amod(crime-25, harassment-type-24) dobj(elevating-19, crime-25) ","an occasional low-level , harassment-type crime into a serious offense .",NN,[],elevating,VBG,object,,,elevating,elevate,[],[],[],[],[],['an'],[],[],[],[],['occasional'],[],[],[],[],[],[],[],[],[],[],an,unit,singular,ambiguous,['A+N'],countable,unknown
The problem of motive <p> Wyant also reveals a more serious flaw in hate crime legislation .,The/DT problem/NN of/IN motive/NN <p>/NNP Wyant/NNP also/RB reveals/VBZ a/DT more/RBR serious/JJ flaw/NN in/IN hate/NN crime/NN legislation/NN ./.," det(problem-2, The-1) nsubj(reveals-8, problem-2) case(Wyant-6, of-3) compound(Wyant-6, motive-4) compound(Wyant-6, <p>-5) nmod:of(problem-2, Wyant-6) advmod(reveals-8, also-7) root(ROOT-0, reveals-8) det(flaw-12, a-9) advmod(serious-11, more-10) amod(flaw-12, serious-11) dobj(reveals-8, flaw-12) case(legislation-16, in-13) compound(legislation-16, hate-14) compound(legislation-16, crime-15) nmod:in(flaw-12, legislation-16)  ",crime,15,"compound(legislation-16, crime-15) ",more serious flaw in hate crime legislation .,NN,[],,,,,,,,,[],[],[],[],[],[],[],[],['legislation'],[],[],[],[],[],[],[],[],[],[],[],,,singular,,[],countable,unknown
