sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Adjective Types,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
The one with a lot of cattle will have a high prestige in the village .,The/DT one/NN with/IN a/DT lot/NN of/IN cattle/NNS will/MD have/VB a/DT high/JJ prestige/NN in/IN the/DT village/NN ./.,"det(one-2, The-1) nsubj(have-9, one-2) case(lot-5, with-3) det(lot-5, a-4) nmod:with(one-2, lot-5) case(cattle-7, of-6) nmod:of(lot-5, cattle-7) aux(have-9, will-8) root(ROOT-0, have-9) det(prestige-12, a-10) amod(prestige-12, high-11) dobj(have-9, prestige-12) case(village-15, in-13) det(village-15, the-14) nmod:in(prestige-12, village-15)  ",cattle,7,"case(cattle-7, of-6) nmod:of(lot-5, cattle-7) ",one with a lot of cattle will have a high prestige,NNS,[],,,,,,,,,"[('of', 'lot')]",['of'],['lot'],[],[],,[],[],[],[],[],[],[],[],[],['of'],[],[],[],[],[],[],,,ambiguous,linked,,[],unknown,unknown
He can also sell his cattle to obtain money which he could use for other things .,He/PRP can/MD also/RB sell/VB his/PRP$ cattle/NNS to/TO obtain/VB money/NN which/WDT he/PRP could/MD use/VB for/IN other/JJ things/NNS ./.,"nsubj(sell-4, He-1) aux(sell-4, can-2) advmod(sell-4, also-3) root(ROOT-0, sell-4) nmod:poss(cattle-6, his-5) dobj(sell-4, cattle-6) mark(obtain-8, to-7) advcl(sell-4, obtain-8) dobj(obtain-8, money-9) dobj(use-13, money-9) ref(money-9, which-10) nsubj(use-13, he-11) aux(use-13, could-12) acl:relcl(money-9, use-13) case(things-16, for-14) amod(things-16, other-15) nmod:for(use-13, things-16)  ",cattle,6,"nmod:poss(cattle-6, his-5) dobj(sell-4, cattle-6) ",He can also sell his cattle to obtain money which he,NNS,[],sell,VB,object,,,sell,sell,[],[],[],[],[],[],,[],[],[],[],[],[],[],['his'],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"Passion fruit , peanuts , pyrethrum , cattle , chickens , goats , pig breeding , fish are said to be Kondom 's introductions .","Passion/NN fruit/NN ,/, peanuts/NNS ,/, pyrethrum/NN ,/, cattle/NNS ,/, chickens/NNS ,/, goats/NNS ,/, pig/NN breeding/NN ,/, fish/NN are/VBP said/VBN to/TO be/VB Kondom/NNP 's/POS introductions/NNS ./.","compound(fruit-2, Passion-1) nsubjpass(said-19, fruit-2) nsubj(introductions-24, fruit-2) appos(fruit-2, peanuts-4) appos(fruit-2, pyrethrum-6) appos(fruit-2, cattle-8) appos(fruit-2, chickens-10) appos(fruit-2, goats-12) compound(breeding-15, pig-14) appos(fruit-2, breeding-15) appos(fruit-2, fish-17) auxpass(said-19, are-18) root(ROOT-0, said-19) mark(introductions-24, to-20) cop(introductions-24, be-21) nmod:poss(introductions-24, Kondom-22) case(Kondom-22, 's-23) xcomp(said-19, introductions-24)  ",cattle,8,"appos(fruit-2, cattle-8) ",", peanuts , pyrethrum , cattle , chickens , goats ,",NNS,[],,,,,,,,,[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],"['modifier', 'fruit']",['fruit'],[],[],[],,,ambiguous,linked,,[],unknown,unknown
One such boundary condition is the willingness of farmers to slaughter cattle at the time of Stalin 's collectivization efforts .,One/CD such/JJ boundary/NN condition/NN is/VBZ the/DT willingness/NN of/IN farmers/NNS to/TO slaughter/NN cattle/NNS at/IN the/DT time/NN of/IN Stalin/NNP 's/POS collectivization/NN efforts/NNS ./.,"nummod(condition-4, One-1) amod(condition-4, such-2) compound(condition-4, boundary-3) nsubj(willingness-7, condition-4) cop(willingness-7, is-5) det(willingness-7, the-6) root(ROOT-0, willingness-7) case(farmers-9, of-8) nmod:of(willingness-7, farmers-9) case(cattle-12, to-10) compound(cattle-12, slaughter-11) nmod:to(farmers-9, cattle-12) case(time-15, at-13) det(time-15, the-14) nmod:at(cattle-12, time-15) case(efforts-20, of-16) nmod:poss(efforts-20, Stalin-17) case(Stalin-17, 's-18) compound(efforts-20, collectivization-19) nmod:of(time-15, efforts-20)  ",cattle,12,"case(cattle-12, to-10) compound(cattle-12, slaughter-11) nmod:at(cattle-12, time-15) nmod:to(farmers-9, cattle-12) ",willingness of farmers to slaughter cattle at the time of Stalin,NNS,[],,,,,,,,,"[('at', 'time'), ('to', 'farmers')]","['at', 'to']",['farmers'],['time'],[],,[],[],[],['slaughter'],[],[],[],[],[],['to'],[],[],[],[],[],[],,,ambiguous,linked,,[],unknown,unknown
"<p> Agriculture-oriented research involves a host of activities that include developing superior small grains , determining ways to successfully preserve cattle embryos through freezing , conducting genetic engineering relevant to plants and animals , investigating the influences of the composition of nitrates and sulfates and the acidity of precipitation , and developing effective means for a more rapid identification of food pathogens .","<p>/JJ Agriculture-oriented/JJ research/NN involves/VBZ a/DT host/NN of/IN activities/NNS that/WDT include/VBP developing/VBG superior/JJ small/JJ grains/NNS ,/, determining/VBG ways/NNS to/TO successfully/RB preserve/VB cattle/NNS embryos/NNS through/IN freezing/NN ,/, conducting/VBG genetic/JJ engineering/NN relevant/JJ to/TO plants/NNS and/CC animals/NNS ,/, investigating/VBG the/DT influences/NNS of/IN the/DT composition/NN of/IN nitrates/NNS and/CC sulfates/NNS and/CC the/DT acidity/NN of/IN precipitation/NN ,/, and/CC developing/VBG effective/JJ means/NNS for/IN a/DT more/RBR rapid/JJ identification/NN of/IN food/NN pathogens/NNS ./.","amod(research-3, <p>-1) amod(research-3, Agriculture-oriented-2) nsubj(involves-4, research-3) root(ROOT-0, involves-4) det(host-6, a-5) dobj(involves-4, host-6) case(activities-8, of-7) nmod:of(host-6, activities-8) nsubj(include-10, activities-8) ref(activities-8, that-9) acl:relcl(activities-8, include-10) ccomp(include-10, developing-11) amod(grains-14, superior-12) amod(grains-14, small-13) dobj(developing-11, grains-14) ccomp(include-10, determining-16) conj:and(developing-11, determining-16) dobj(determining-16, ways-17) mark(preserve-20, to-18) advmod(preserve-20, successfully-19) advcl(determining-16, preserve-20) compound(embryos-22, cattle-21) dobj(preserve-20, embryos-22) case(freezing-24, through-23) nmod:through(preserve-20, freezing-24) ccomp(include-10, conducting-26) conj:and(developing-11, conducting-26) amod(engineering-28, genetic-27) dobj(conducting-26, engineering-28) amod(engineering-28, relevant-29) case(plants-31, to-30) nmod:to(relevant-29, plants-31) cc(plants-31, and-32) nmod:to(relevant-29, animals-33) conj:and(plants-31, animals-33) ccomp(include-10, investigating-35) conj:and(developing-11, investigating-35) det(influences-37, the-36) dobj(investigating-35, influences-37) case(composition-40, of-38) det(composition-40, the-39) nmod:of(influences-37, composition-40) case(nitrates-42, of-41) nmod:of(composition-40, nitrates-42) cc(nitrates-42, and-43) nmod:of(composition-40, sulfates-44) conj:and(nitrates-42, sulfates-44) cc(composition-40, and-45) det(acidity-47, the-46) nmod:of(influences-37, acidity-47) conj:and(composition-40, acidity-47) case(precipitation-49, of-48) nmod:of(acidity-47, precipitation-49) cc(developing-11, and-51) ccomp(include-10, developing-52) conj:and(developing-11, developing-52) amod(means-54, effective-53) dobj(developing-52, means-54) case(identification-59, for-55) det(identification-59, a-56) advmod(rapid-58, more-57) amod(identification-59, rapid-58) nmod:for(developing-52, identification-59) case(pathogens-62, of-60) compound(pathogens-62, food-61) nmod:of(identification-59, pathogens-62)  ",cattle,21,"compound(embryos-22, cattle-21) ","determining ways to successfully preserve cattle embryos through freezing , conducting",NNS,[],preserve,VB,object,,,preserve,preserve,[],[],[],[],[],[],,[],[],[],['embryos'],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"But by 1886 , cattle overgrazed the grasslands , summers were drier , winters were more severe , and commodity prices were disastrously low for ranchers .","But/CC by/IN 1886/CD ,/, cattle/NNS overgrazed/VBD the/DT grasslands/NNS ,/, summers/NNS were/VBD drier/JJ ,/, winters/NNS were/VBD more/RBR severe/JJ ,/, and/CC commodity/NN prices/NNS were/VBD disastrously/RB low/JJ for/IN ranchers/NNS ./.","cc(overgrazed-6, But-1) case(1886-3, by-2) nmod:by(overgrazed-6, 1886-3) nsubj(overgrazed-6, cattle-5) root(ROOT-0, overgrazed-6) det(grasslands-8, the-7) dobj(overgrazed-6, grasslands-8) nsubj(drier-12, summers-10) cop(drier-12, were-11) ccomp(overgrazed-6, drier-12) nsubj(severe-17, winters-14) cop(severe-17, were-15) advmod(severe-17, more-16) ccomp(overgrazed-6, severe-17) cc(overgrazed-6, and-19) compound(prices-21, commodity-20) nsubj(low-24, prices-21) cop(low-24, were-22) advmod(low-24, disastrously-23) conj:and(overgrazed-6, low-24) case(ranchers-26, for-25) nmod:for(low-24, ranchers-26)  ",cattle,5,"nsubj(overgrazed-6, cattle-5) ","But by 1886 , cattle overgrazed the grasslands , summers",NNS,[],overgrazed,VBD,subject,overgrazed,overgrazed,,,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"<p> Biologists have paid much less attention to the desert southwest region of Madagascar , yet here the land-use pressures are just as intense as in the tropical rain forests , although perhaps not as visibly dramatic , with people and cattle competing for water and grassland -- land that may have been the original habitat of Grandidier 's mongoose .","<p>/NNP Biologists/NNP have/VBP paid/VBN much/RB less/JJR attention/NN to/TO the/DT desert/NN southwest/NN region/NN of/IN Madagascar/NNP ,/, yet/CC here/RB the/DT land-use/NN pressures/NNS are/VBP just/RB as/RB intense/JJ as/RB in/IN the/DT tropical/JJ rain/NN forests/NNS ,/, although/IN perhaps/RB not/RB as/IN visibly/RB dramatic/JJ ,/, with/IN people/NNS and/CC cattle/NNS competing/VBG for/IN water/NN and/CC grassland/NN --/: land/NN that/WDT may/MD have/VB been/VBN the/DT original/JJ habitat/NN of/IN Grandidier/NNP 's/POS mongoose/NN ./.","compound(Biologists-2, <p>-1) nsubj(paid-4, Biologists-2) aux(paid-4, have-3) root(ROOT-0, paid-4) advmod(less-6, much-5) amod(attention-7, less-6) dobj(paid-4, attention-7) case(region-12, to-8) det(region-12, the-9) compound(region-12, desert-10) compound(region-12, southwest-11) nmod:to(paid-4, region-12) case(Madagascar-14, of-13) nmod:of(region-12, Madagascar-14) cc(paid-4, yet-16) advmod(intense-24, here-17) det(pressures-20, the-18) compound(pressures-20, land-use-19) nsubj(intense-24, pressures-20) cop(intense-24, are-21) advmod(intense-24, just-22) advmod(intense-24, as-23) conj:yet(paid-4, intense-24) advmod(forests-30, as-25) case(forests-30, in-26) det(forests-30, the-27) amod(forests-30, tropical-28) compound(forests-30, rain-29) nmod:in(intense-24, forests-30) mark(not-34, although-32) dep(not-34, perhaps-33) dep(forests-30, not-34) dep(intense-24, as-35) advmod(dramatic-37, visibly-36) dep(intense-24, dramatic-37) case(people-40, with-39) nmod:with(intense-24, people-40) cc(people-40, and-41) nmod:with(intense-24, cattle-42) conj:and(people-40, cattle-42) acl(people-40, competing-43) case(water-45, for-44) nmod:for(competing-43, water-45) cc(water-45, and-46) nmod:for(competing-43, grassland-47) conj:and(water-45, grassland-47) dep(people-40, land-49) nsubj(habitat-56, land-49) ref(land-49, that-50) aux(habitat-56, may-51) aux(habitat-56, have-52) cop(habitat-56, been-53) det(habitat-56, the-54) amod(habitat-56, original-55) acl:relcl(land-49, habitat-56) case(mongoose-60, of-57) nmod:poss(mongoose-60, Grandidier-58) case(Grandidier-58, 's-59) nmod:of(habitat-56, mongoose-60)  ",cattle,42,"nmod:with(intense-24, cattle-42) conj:and(people-40, cattle-42) ","dramatic , with people and cattle competing for water and grassland",NNS,[],,,,,,,,,"[('with', 'intense')]",['with'],['intense'],[],[],,"[('and', 'people')]",['and'],['people'],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,,[],unknown,unknown
"We trapped in two areas : one well within the reserve , a pristine environment ; and a second , a short distance from the reserve boundary , where local herdsmen occasionally took their zebu cattle .","We/PRP trapped/VBN in/IN two/CD areas/NNS :/: one/CD well/RB within/IN the/DT reserve/NN ,/, a/DT pristine/JJ environment/NN ;/: and/CC a/DT second/NN ,/, a/DT short/JJ distance/NN from/IN the/DT reserve/NN boundary/NN ,/, where/WRB local/JJ herdsmen/NN occasionally/RB took/VBD their/PRP$ zebu/JJ cattle/NNS ./.","nsubj(trapped-2, We-1) root(ROOT-0, trapped-2) case(areas-5, in-3) nummod(areas-5, two-4) nmod:in(trapped-2, areas-5) nmod:npmod(well-8, one-7) advmod(areas-5, well-8) case(reserve-11, within-9) det(reserve-11, the-10) nmod:within(well-8, reserve-11) det(environment-15, a-13) amod(environment-15, pristine-14) appos(reserve-11, environment-15) cc(reserve-11, and-17) det(second-19, a-18) nmod:within(well-8, second-19) conj:and(reserve-11, second-19) det(distance-23, a-21) amod(distance-23, short-22) dep(areas-5, distance-23) case(boundary-27, from-24) det(boundary-27, the-25) compound(boundary-27, reserve-26) nmod:from(trapped-2, boundary-27) advmod(took-33, where-29) amod(herdsmen-31, local-30) nsubj(took-33, herdsmen-31) advmod(took-33, occasionally-32) advcl(trapped-2, took-33) nmod:poss(cattle-36, their-34) amod(cattle-36, zebu-35) dobj(took-33, cattle-36)  ",cattle,36,"nmod:poss(cattle-36, their-34) amod(cattle-36, zebu-35) dobj(took-33, cattle-36) ",herdsmen occasionally took their zebu cattle .,NNS,[],took,VBD,object,,,took,take,[],[],[],[],[],[],,[],[],[],[],['zebu'],[],[],['their'],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
Our trapping success was appreciably lower where cattle were found .,Our/PRP$ trapping/JJ success/NN was/VBD appreciably/RB lower/JJR where/WRB cattle/NNS were/VBD found/VBN ./.,"nmod:poss(success-3, Our-1) amod(success-3, trapping-2) nsubj(lower-6, success-3) cop(lower-6, was-4) advmod(lower-6, appreciably-5) root(ROOT-0, lower-6) advmod(found-10, where-7) nsubjpass(found-10, cattle-8) auxpass(found-10, were-9) advcl(lower-6, found-10)  ",cattle,8,"nsubjpass(found-10, cattle-8) ",success was appreciably lower where cattle were found .,NNS,[],found,VBN,subject,found,find,,,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"In Nicaragua two decades of back-to-back Sandinista and Contra wars and almost a decade of resistance by the indigenous peoples in eastern Nicaragua , known as the Yapti Tasba , have sharply reduced hunting , logging , cattle ranching with its attendant forest-to-pasture conversion , and exploitation of coastal and sea resources .","In/IN Nicaragua/NNP two/CD decades/NNS of/IN back-to-back/JJ Sandinista/NNP and/CC Contra/NNP wars/NNS and/CC almost/RB a/DT decade/NN of/IN resistance/NN by/IN the/DT indigenous/JJ peoples/NNS in/IN eastern/JJ Nicaragua/NNP ,/, known/VBN as/IN the/DT Yapti/NNP Tasba/NNP ,/, have/VBP sharply/RB reduced/VBN hunting/NN ,/, logging/VBG ,/, cattle/NNS ranching/VBG with/IN its/PRP$ attendant/JJ forest-to-pasture/JJ conversion/NN ,/, and/CC exploitation/NN of/IN coastal/JJ and/CC sea/NN resources/NNS ./.","case(Nicaragua-2, In-1) nmod:in(reduced-33, Nicaragua-2) nummod(decades-4, two-3) nsubj(reduced-33, decades-4) case(Sandinista-7, of-5) amod(Sandinista-7, back-to-back-6) nmod:of(decades-4, Sandinista-7) cc(Sandinista-7, and-8) compound(wars-10, Contra-9) nmod:of(decades-4, wars-10) conj:and(Sandinista-7, wars-10) cc(decades-4, and-11) advmod(decade-14, almost-12) det(decade-14, a-13) conj:and(decades-4, decade-14) nsubj(reduced-33, decade-14) case(resistance-16, of-15) nmod:of(decade-14, resistance-16) case(peoples-20, by-17) det(peoples-20, the-18) amod(peoples-20, indigenous-19) nmod:by(resistance-16, peoples-20) case(Nicaragua-23, in-21) amod(Nicaragua-23, eastern-22) nmod:in(peoples-20, Nicaragua-23) acl(decades-4, known-25) case(Tasba-29, as-26) det(Tasba-29, the-27) compound(Tasba-29, Yapti-28) nmod:as(known-25, Tasba-29) aux(reduced-33, have-31) advmod(reduced-33, sharply-32) root(ROOT-0, reduced-33) dobj(reduced-33, hunting-34) appos(hunting-34, logging-36) dobj(reduced-33, cattle-38) conj:and(hunting-34, cattle-38) acl(cattle-38, ranching-39) case(conversion-44, with-40) nmod:poss(conversion-44, its-41) amod(conversion-44, attendant-42) amod(conversion-44, forest-to-pasture-43) nmod:with(ranching-39, conversion-44) cc(hunting-34, and-46) dobj(reduced-33, exploitation-47) conj:and(hunting-34, exploitation-47) case(resources-52, of-48) amod(resources-52, coastal-49) cc(coastal-49, and-50) conj:and(coastal-49, sea-51) amod(resources-52, sea-51) nmod:of(exploitation-47, resources-52)  ",cattle,38,"acl(cattle-38, ranching-39) dobj(reduced-33, cattle-38) conj:and(hunting-34, cattle-38) ","reduced hunting , logging , cattle ranching with its attendant forest-to-pasture",NNS,[],reduced,VBN,object,,,reduced,reduce,[],[],[],[],[],[],,"[('and', 'hunting')]",['and'],['hunting'],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"Forests and grasses grew over the many plantations , state farms , and ranches that had produced bananas , coffee , cotton , and cattle .","Forests/NNS and/CC grasses/NNS grew/VBD over/RP the/DT many/JJ plantations/NNS ,/, state/NN farms/NNS ,/, and/CC ranches/NNS that/WDT had/VBD produced/VBN bananas/NNS ,/, coffee/NN ,/, cotton/NN ,/, and/CC cattle/NNS ./.","nsubj(grew-4, Forests-1) cc(Forests-1, and-2) conj:and(Forests-1, grasses-3) nsubj(grew-4, grasses-3) root(ROOT-0, grew-4) compound:prt(grew-4, over-5) det(plantations-8, the-6) amod(plantations-8, many-7) dobj(grew-4, plantations-8) compound(farms-11, state-10) dobj(grew-4, farms-11) conj:and(plantations-8, farms-11) cc(plantations-8, and-13) dobj(grew-4, ranches-14) conj:and(plantations-8, ranches-14) nsubj(produced-17, ranches-14) ref(ranches-14, that-15) aux(produced-17, had-16) acl:relcl(ranches-14, produced-17) dobj(produced-17, bananas-18) dobj(produced-17, coffee-20) conj:and(bananas-18, coffee-20) dobj(produced-17, cotton-22) conj:and(bananas-18, cotton-22) cc(bananas-18, and-24) dobj(produced-17, cattle-25) conj:and(bananas-18, cattle-25)  ",cattle,25,"dobj(produced-17, cattle-25) conj:and(bananas-18, cattle-25) ","coffee , cotton , and cattle .",NNS,[],produced,VBN,object,,,produced,produce,[],[],[],[],[],[],,"[('and', 'bananas')]",['and'],['bananas'],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"<p> The amount of tropical forest being destroyed for cattle pasture shrank as cattle ranchers , especially in central Nicaragua , reduced and moved herds for fear they would be confiscated by the Sandinista government .","<p>/RB The/DT amount/NN of/IN tropical/JJ forest/NN being/VBG destroyed/VBN for/IN cattle/NNS pasture/NN shrank/VBD as/IN cattle/NNS ranchers/NNS ,/, especially/RB in/IN central/JJ Nicaragua/NNP ,/, reduced/VBD and/CC moved/VBD herds/NNS for/IN fear/NN they/PRP would/MD be/VB confiscated/VBN by/IN the/DT Sandinista/JJ government/NN ./.","advmod(shrank-12, <p>-1) det(amount-3, The-2) nsubj(shrank-12, amount-3) case(forest-6, of-4) amod(forest-6, tropical-5) nmod:of(amount-3, forest-6) auxpass(destroyed-8, being-7) acl(forest-6, destroyed-8) case(pasture-11, for-9) compound(pasture-11, cattle-10) nmod:for(destroyed-8, pasture-11) root(ROOT-0, shrank-12) mark(reduced-22, as-13) compound(ranchers-15, cattle-14) nsubj(reduced-22, ranchers-15) nsubj(moved-24, ranchers-15) amod(ranchers-15, especially-17) case(Nicaragua-20, in-18) amod(Nicaragua-20, central-19) nmod:in(especially-17, Nicaragua-20) advcl(shrank-12, reduced-22) cc(reduced-22, and-23) advcl(shrank-12, moved-24) conj:and(reduced-22, moved-24) dobj(reduced-22, herds-25) case(fear-27, for-26) nmod:for(herds-25, fear-27) nsubjpass(confiscated-31, they-28) aux(confiscated-31, would-29) auxpass(confiscated-31, be-30) acl:relcl(herds-25, confiscated-31) case(government-35, by-32) det(government-35, the-33) amod(government-35, Sandinista-34) nmod:by(confiscated-31, government-35)  ",cattle,10,"compound(pasture-11, cattle-10) ",tropical forest being destroyed for cattle pasture shrank as cattle ranchers,NNS,[],,,,,,,,,[],[],[],[],[],,[],[],[],['pasture'],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,,[],unknown,unknown
"<p> The amount of tropical forest being destroyed for cattle pasture shrank as cattle ranchers , especially in central Nicaragua , reduced and moved herds for fear they would be confiscated by the Sandinista government .","<p>/RB The/DT amount/NN of/IN tropical/JJ forest/NN being/VBG destroyed/VBN for/IN cattle/NNS pasture/NN shrank/VBD as/IN cattle/NNS ranchers/NNS ,/, especially/RB in/IN central/JJ Nicaragua/NNP ,/, reduced/VBD and/CC moved/VBD herds/NNS for/IN fear/NN they/PRP would/MD be/VB confiscated/VBN by/IN the/DT Sandinista/JJ government/NN ./.","advmod(shrank-12, <p>-1) det(amount-3, The-2) nsubj(shrank-12, amount-3) case(forest-6, of-4) amod(forest-6, tropical-5) nmod:of(amount-3, forest-6) auxpass(destroyed-8, being-7) acl(forest-6, destroyed-8) case(pasture-11, for-9) compound(pasture-11, cattle-10) nmod:for(destroyed-8, pasture-11) root(ROOT-0, shrank-12) mark(reduced-22, as-13) compound(ranchers-15, cattle-14) nsubj(reduced-22, ranchers-15) nsubj(moved-24, ranchers-15) amod(ranchers-15, especially-17) case(Nicaragua-20, in-18) amod(Nicaragua-20, central-19) nmod:in(especially-17, Nicaragua-20) advcl(shrank-12, reduced-22) cc(reduced-22, and-23) advcl(shrank-12, moved-24) conj:and(reduced-22, moved-24) dobj(reduced-22, herds-25) case(fear-27, for-26) nmod:for(herds-25, fear-27) nsubjpass(confiscated-31, they-28) aux(confiscated-31, would-29) auxpass(confiscated-31, be-30) acl:relcl(herds-25, confiscated-31) case(government-35, by-32) det(government-35, the-33) amod(government-35, Sandinista-34) nmod:by(confiscated-31, government-35)  ",cattle,14,"compound(ranchers-15, cattle-14) ","for cattle pasture shrank as cattle ranchers , especially in central",NNS,[],reduced,VBD,subject,reduced,reduce,,,[],[],[],[],[],[],,[],[],[],['ranchers'],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
And soldiers on all sides took cattle to eat .,And/CC soldiers/NNS on/IN all/DT sides/NNS took/VBD cattle/NNS to/TO eat/VB ./.,"cc(took-6, And-1) nsubj(took-6, soldiers-2) case(sides-5, on-3) det(sides-5, all-4) nmod:on(soldiers-2, sides-5) root(ROOT-0, took-6) dobj(took-6, cattle-7) mark(eat-9, to-8) advcl(took-6, eat-9)  ",cattle,7,"dobj(took-6, cattle-7) ",soldiers on all sides took cattle to eat .,NNS,[],took,VBD,object,,,took,take,[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,ambiguous,[],unknown,unknown
"A Sandinista plan for a Libyan-financed , state-run cattle ranch , extending from Lago de Nicaragua to Monkey Point on the Caribbean , was stymied by the presence of ex-Sandinista guerrillas .","A/DT Sandinista/JJ plan/NN for/IN a/DT Libyan-financed/JJ ,/, state-run/JJ cattle/NNP ranch/NN ,/, extending/VBG from/IN Lago/NNP de/FW Nicaragua/NNP to/TO Monkey/NNP Point/NNP on/IN the/DT Caribbean/NNP ,/, was/VBD stymied/VBN by/IN the/DT presence/NN of/IN ex-Sandinista/JJ guerrillas/NNS ./.","det(plan-3, A-1) amod(plan-3, Sandinista-2) nsubjpass(stymied-25, plan-3) case(ranch-10, for-4) det(ranch-10, a-5) amod(ranch-10, Libyan-financed-6) amod(ranch-10, state-run-8) compound(ranch-10, cattle-9) nmod:for(plan-3, ranch-10) advcl(stymied-25, extending-12) case(Nicaragua-16, from-13) compound(Nicaragua-16, Lago-14) compound(Nicaragua-16, de-15) nmod:from(extending-12, Nicaragua-16) case(Point-19, to-17) compound(Point-19, Monkey-18) nmod:to(extending-12, Point-19) case(Caribbean-22, on-20) det(Caribbean-22, the-21) nmod:on(Point-19, Caribbean-22) auxpass(stymied-25, was-24) root(ROOT-0, stymied-25) case(presence-28, by-26) det(presence-28, the-27) nmod:by(stymied-25, presence-28) case(guerrillas-31, of-29) amod(guerrillas-31, ex-Sandinista-30) nmod:of(presence-28, guerrillas-31)  ",cattle,9,"compound(ranch-10, cattle-9) ","for a Libyan-financed , state-run cattle ranch , extending from Lago",NNP,[],,,,,,,,,[],[],[],[],[],,[],[],[],['ranch'],[],[],[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Masaya Volcano , Nicaragua 's only functioning national park , was left unregulated and open for firewood cutting , iguana and deer hunting , cattle grazing , pasture burning , and garbage dumping .","Masaya/NNP Volcano/NNP ,/, Nicaragua/NNP 's/POS only/RB functioning/JJ national/JJ park/NN ,/, was/VBD left/VBN unregulated/JJ and/CC open/JJ for/IN firewood/JJ cutting/NN ,/, iguana/NN and/CC deer/NNS hunting/NN ,/, cattle/NNS grazing/NN ,/, pasture/NN burning/NN ,/, and/CC garbage/NN dumping/NNS ./.","compound(Volcano-2, Masaya-1) nsubjpass(left-12, Volcano-2) nmod:poss(park-9, Nicaragua-4) case(Nicaragua-4, 's-5) advmod(park-9, only-6) amod(park-9, functioning-7) amod(park-9, national-8) appos(Volcano-2, park-9) auxpass(left-12, was-11) root(ROOT-0, left-12) xcomp(left-12, unregulated-13) cc(unregulated-13, and-14) xcomp(left-12, open-15) conj:and(unregulated-13, open-15) case(cutting-18, for-16) amod(cutting-18, firewood-17) nmod:for(left-12, cutting-18) compound(hunting-23, iguana-20) cc(iguana-20, and-21) conj:and(iguana-20, deer-22) compound(hunting-23, deer-22) nmod:for(left-12, hunting-23) conj:and(cutting-18, hunting-23) compound(grazing-26, cattle-25) nmod:for(left-12, grazing-26) conj:and(cutting-18, grazing-26) compound(burning-29, pasture-28) nmod:for(left-12, burning-29) conj:and(cutting-18, burning-29) cc(cutting-18, and-31) compound(dumping-33, garbage-32) nmod:for(left-12, dumping-33) conj:and(cutting-18, dumping-33)  ",cattle,25,"compound(grazing-26, cattle-25) ","iguana and deer hunting , cattle grazing , pasture burning ,",NNS,[],,,,,,,,,[],[],[],[],[],,[],[],[],['grazing'],[],[],[],[],[],[],[],[],[],[],[],[],,,ambiguous,linked,,[],unknown,unknown
