sent,tags,parse,Noun,Index,Relevant Dependencies,Sentence Fragment,Noun Tag,Negation,Verb Reference,Verb Tag,Relation to Verb,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunction Phrases,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Case Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"Douglas Robin-sons Giants in the Sky chronicles the phenomenon day by day : on 24 August 1921 , the British R 38 snapping in two over Hull , sinking into the Humber , and exploding ; on 21 December 1923 , the French Dixmude vaporized by a flash of lightning over the Mediterranean ; on 3 September 1925 , American sailors falling out of a dawn sky over Ohio , slowly followed by the buoyant wreckage of their ship Shenandoah ; on 5 October 1930 , a hydrogen pyre blossoming above the British R 101 , nose down in a field in France ; on 12 February 1935 , the American Macon torn open over the Pacific by a gust of wind .","Douglas/NNP Robin-sons/NNP Giants/NNPS in/IN the/DT Sky/NNP chronicles/VBZ the/DT phenomenon/NN day/NN by/IN day/NN :/: on/IN 24/CD August/NNP 1921/CD ,/, the/DT British/JJ R/NN 38/VBZ snapping/VBG in/IN two/CD over/IN Hull/NNP ,/, sinking/VBG into/IN the/DT Humber/NNP ,/, and/CC exploding/VBG ;/: on/IN 21/CD December/NNP 1923/CD ,/, the/DT French/JJ Dixmude/NN vaporized/VBD by/IN a/DT flash/NN of/IN lightning/NN over/IN the/DT Mediterranean/NNP ;/: on/IN 3/CD September/NNP 1925/CD ,/, American/JJ sailors/NNS falling/VBG out/RP of/IN a/DT dawn/NN sky/NN over/IN Ohio/NNP ,/, slowly/RB followed/VBD by/IN the/DT buoyant/JJ wreckage/NN of/IN their/PRP$ ship/NN Shenandoah/NN ;/: on/IN 5/CD October/NNP 1930/CD ,/, a/DT hydrogen/NN pyre/VBP blossoming/VBG above/IN the/DT British/JJ R/NN 101/CD ,/, nose/NN down/RB in/IN a/DT field/NN in/IN France/NNP ;/: on/IN 12/CD February/NNP 1935/CD ,/, the/DT American/NNP Macon/NNP torn/VBN open/JJ over/IN the/DT Pacific/NNP by/IN a/DT gust/NN of/IN wind/NN ./."," compound(Giants-3, Douglas-1) compound(Giants-3, Robin-sons-2) nsubj(chronicles-7, Giants-3) case(Sky-6, in-4) det(Sky-6, the-5) nmod:in(Giants-3, Sky-6) root(ROOT-0, chronicles-7) det(day-10, the-8) compound(day-10, phenomenon-9) nmod:tmod(chronicles-7, day-10) case(day-12, by-11) nmod:by(chronicles-7, day-12) case(24-15, on-14) nmod:on(38-22, 24-15) nmod:tmod(24-15, August-16) nummod(August-16, 1921-17) det(R-21, the-19) amod(R-21, British-20) nsubj(38-22, R-21) parataxis(chronicles-7, 38-22) ccomp(38-22, snapping-23) case(two-25, in-24) nmod:in(snapping-23, two-25) case(Hull-27, over-26) nmod:over(snapping-23, Hull-27) ccomp(38-22, sinking-29) conj:and(snapping-23, sinking-29) case(Humber-32, into-30) det(Humber-32, the-31) nmod:into(sinking-29, Humber-32) cc(snapping-23, and-34) ccomp(38-22, exploding-35) conj:and(snapping-23, exploding-35) case(21-38, on-37) nmod:on(vaporized-45, 21-38) nmod:tmod(21-38, December-39) nummod(December-39, 1923-40) det(Dixmude-44, the-42) amod(Dixmude-44, French-43) nsubj(vaporized-45, Dixmude-44) parataxis(chronicles-7, vaporized-45) case(flash-48, by-46) det(flash-48, a-47) nmod:by(vaporized-45, flash-48) case(lightning-50, of-49) nmod:of(flash-48, lightning-50) case(Mediterranean-53, over-51) det(Mediterranean-53, the-52) nmod:over(vaporized-45, Mediterranean-53) case(3-56, on-55) nmod:on(followed-72, 3-56) nmod:tmod(3-56, September-57) nummod(September-57, 1925-58) amod(sailors-61, American-60) nsubj(followed-72, sailors-61) acl(sailors-61, falling-62) compound:prt(falling-62, out-63) case(sky-67, of-64) det(sky-67, a-65) compound(sky-67, dawn-66) nmod:of(falling-62, sky-67) case(Ohio-69, over-68) nmod:over(sky-67, Ohio-69) advmod(falling-62, slowly-71) parataxis(chronicles-7, followed-72) case(wreckage-76, by-73) det(wreckage-76, the-74) amod(wreckage-76, buoyant-75) nmod:by(followed-72, wreckage-76) case(Shenandoah-80, of-77) nmod:poss(Shenandoah-80, their-78) compound(Shenandoah-80, ship-79) nmod:of(wreckage-76, Shenandoah-80) case(5-83, on-82) nmod:on(pyre-89, 5-83) nmod:tmod(5-83, October-84) nummod(October-84, 1930-85) det(hydrogen-88, a-87) nsubj(pyre-89, hydrogen-88) parataxis(chronicles-7, pyre-89) xcomp(pyre-89, blossoming-90) case(R-94, above-91) det(R-94, the-92) amod(R-94, British-93) nmod:above(blossoming-90, R-94) dobj(blossoming-90, 101-95) appos(101-95, nose-97) advmod(nose-97, down-98) case(field-101, in-99) det(field-101, a-100) nmod:in(down-98, field-101) case(France-103, in-102) nmod:in(nose-97, France-103) case(12-106, on-105) nmod:on(nose-97, 12-106) nmod:tmod(pyre-89, February-107) nummod(February-107, 1935-108) det(Macon-112, the-110) compound(Macon-112, American-111) nsubj(torn-113, Macon-112) parataxis(chronicles-7, torn-113) xcomp(torn-113, open-114) case(Pacific-117, over-115) det(Pacific-117, the-116) nmod:over(open-114, Pacific-117) case(gust-120, by-118) det(gust-120, a-119) nmod:by(torn-113, gust-120) case(wind-122, of-121) nmod:of(gust-120, wind-122)  ",lightning,50,"case(lightning-50, of-49) nmod:of(flash-48, lightning-50) ",vaporized by a flash of lightning over the Mediterranean ; on,NN,[],,,,,,,,,"[('of', 'flash')]",['of'],['flash'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"And does not this signature , more important for a contemporary than the "" thunders and lightning "" of Sinai , betray the faith of the common reader ?","And/CC does/VBZ not/RB this/DT signature/NN ,/, more/RBR important/JJ for/IN a/DT contemporary/JJ than/IN the/DT ''/'' thunders/NNS and/CC lightning/NN ''/'' of/IN Sinai/NNP ,/, betray/VB the/DT faith/NN of/IN the/DT common/JJ reader/NN ?/."," cc(betray-22, And-1) aux(betray-22, does-2) neg(betray-22, not-3) det(signature-5, this-4) nsubj(betray-22, signature-5) advmod(important-8, more-7) amod(thunders-15, important-8) case(contemporary-11, for-9) det(contemporary-11, a-10) nmod:for(important-8, contemporary-11) advmod(the-13, than-12) amod(thunders-15, the-13) appos(signature-5, thunders-15) cc(thunders-15, and-16) appos(signature-5, lightning-17) conj:and(thunders-15, lightning-17) case(Sinai-20, of-19) nmod:of(lightning-17, Sinai-20) root(ROOT-0, betray-22) det(faith-24, the-23) dobj(betray-22, faith-24) case(reader-28, of-25) det(reader-28, the-26) amod(reader-28, common-27) nmod:of(faith-24, reader-28)  ",lightning,17,"nmod:of(lightning-17, Sinai-20) appos(signature-5, lightning-17) conj:and(thunders-15, lightning-17) ","than the "" thunders and lightning "" of Sinai , betray",NN,[],,,,,,,,,"[('of', 'Sinai')]",['of'],[],['Sinai'],[],,"[('and', 'thunders')]",['and'],['thunders'],[],[],,,,,,,,,,,,,,[],[],[],[],[],"['modifier', 'signature']",['signature'],[],[],[],,,singular,bare singular,,[],unknown,unknown
"The hazards listed in the questionnaire were drought , flooding , excessive rain , windstorm , hail , frost , excessive heat , excessive cold , and lightning ( Table I ) .","The/DT hazards/NNS listed/VBN in/IN the/DT questionnaire/NN were/VBD drought/NN ,/, flooding/NN ,/, excessive/JJ rain/NN ,/, windstorm/NN ,/, hail/NN ,/, frost/NN ,/, excessive/JJ heat/NN ,/, excessive/JJ cold/JJ ,/, and/CC lightning/NN -LRB-/-LRB- Table/NNP I/NNP -RRB-/-RRB- ./."," det(hazards-2, The-1) nsubj(heat-22, hazards-2) acl(hazards-2, listed-3) case(questionnaire-6, in-4) det(questionnaire-6, the-5) nmod:in(listed-3, questionnaire-6) cop(heat-22, were-7) compound(heat-22, drought-8) dep(heat-22, flooding-10) amod(heat-22, excessive-12) compound(heat-22, rain-13) dep(heat-22, windstorm-15) dep(heat-22, hail-17) dep(heat-22, frost-19) amod(heat-22, excessive-21) root(ROOT-0, heat-22) amod(cold-25, excessive-24) amod(heat-22, cold-25) cc(heat-22, and-27) conj:and(heat-22, lightning-28) dep(lightning-28, Table-30) dep(Table-30, I-31)  ",lightning,28,"dep(lightning-28, Table-30) conj:and(heat-22, lightning-28) ",", excessive cold , and lightning ( Table I ) .",NN,[],,,,,,,,,[],[],[],[],[],,"[('and', 'heat')]",['and'],['heat'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"In southwestern Wisconsin 24 percent of the dairy farms lost cows to lightning , but no loss from this hazard was reported from the southeastern portion of the state .","In/IN southwestern/JJ Wisconsin/NNP 24/CD percent/NN of/IN the/DT dairy/NN farms/NNS lost/VBD cows/NNS to/TO lightning/NN ,/, but/CC no/DT loss/NN from/IN this/DT hazard/NN was/VBD reported/VBN from/IN the/DT southeastern/JJ portion/NN of/IN the/DT state/NN ./."," case(Wisconsin-3, In-1) amod(Wisconsin-3, southwestern-2) nmod:in(lost-10, Wisconsin-3) nummod(percent-5, 24-4) nsubj(lost-10, percent-5) case(farms-9, of-6) det(farms-9, the-7) compound(farms-9, dairy-8) nmod:of(percent-5, farms-9) root(ROOT-0, lost-10) dobj(lost-10, cows-11) case(lightning-13, to-12) nmod:to(lost-10, lightning-13) cc(lost-10, but-15) neg(loss-17, no-16) nsubjpass(reported-22, loss-17) case(hazard-20, from-18) det(hazard-20, this-19) nmod:from(loss-17, hazard-20) auxpass(reported-22, was-21) conj:but(lost-10, reported-22) case(portion-26, from-23) det(portion-26, the-24) amod(portion-26, southeastern-25) nmod:from(reported-22, portion-26) case(state-29, of-27) det(state-29, the-28) nmod:of(portion-26, state-29)  ",lightning,13,"case(lightning-13, to-12) nmod:to(lost-10, lightning-13) ","dairy farms lost cows to lightning , but no loss from",NN,[],,,,,,,,,"[('to', 'lost')]",['to'],['lost'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['to'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"1 -- Percentages of dairy farmers experiencing crop losses from drought , frost , and hail as well as loss of cows by lightning between 1990 and 1992 , by agricultural-reporting district .","1/CD --/: Percentages/NNP of/IN dairy/NN farmers/NNS experiencing/VBG crop/NN losses/NNS from/IN drought/NN ,/, frost/NN ,/, and/CC hail/NN as/RB well/RB as/IN loss/NN of/IN cows/NNS by/IN lightning/NN between/IN 1990/CD and/CC 1992/CD ,/, by/IN agricultural-reporting/JJ district/NN ./."," root(ROOT-0, 1-1) dep(1-1, Percentages-3) case(farmers-6, of-4) compound(farmers-6, dairy-5) nmod:of(Percentages-3, farmers-6) acl(farmers-6, experiencing-7) compound(losses-9, crop-8) dobj(experiencing-7, losses-9) case(drought-11, from-10) nmod:from(experiencing-7, drought-11) nmod:from(experiencing-7, frost-13) conj:and(drought-11, frost-13) cc(drought-11, and-15) nmod:from(experiencing-7, hail-16) conj:and(drought-11, hail-16) cc(drought-11, as-17) mwe(as-17, well-18) mwe(as-17, as-19) nmod:from(experiencing-7, loss-20) conj:and(drought-11, loss-20) case(cows-22, of-21) nmod:of(loss-20, cows-22) case(lightning-24, by-23) nmod:by(experiencing-7, lightning-24) case(1990-26, between-25) nmod:between(lightning-24, 1990-26) cc(1990-26, and-27) nmod:between(lightning-24, 1992-28) conj:and(1990-26, 1992-28) case(district-32, by-30) amod(district-32, agricultural-reporting-31) nmod:by(experiencing-7, district-32)  ",lightning,24,"case(lightning-24, by-23) nmod:between(lightning-24, 1990-26) nmod:between(lightning-24, 1992-28) nmod:by(experiencing-7, lightning-24) ","as loss of cows by lightning between 1990 and 1992 ,",NN,[],,,,,,,,,"[('between', '1990'), ('between', '1992'), ('by', 'experiencing')]","['between', 'between', 'by']",['experiencing'],"['1990', '1992']",[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Near San Luis Obispo the schooner Tamana in February 1806 encountered severe weather , including a strong southerly gale and lightning ; snow was visible on nearby mountains ( Hudson 1806 ) .","Near/IN San/NNP Luis/NNP Obispo/NNP the/DT schooner/NN Tamana/NN in/IN February/NNP 1806/CD encountered/VBD severe/JJ weather/NN ,/, including/VBG a/DT strong/JJ southerly/NN gale/NN and/CC lightning/NN ;/: snow/NN was/VBD visible/JJ on/IN nearby/JJ mountains/NNS -LRB-/-LRB- Hudson/NNP 1806/CD -RRB-/-RRB- ./."," case(Obispo-4, Near-1) compound(Obispo-4, San-2) compound(Obispo-4, Luis-3) nmod:near(encountered-11, Obispo-4) det(Tamana-7, the-5) compound(Tamana-7, schooner-6) nsubj(encountered-11, Tamana-7) case(February-9, in-8) nmod:in(Tamana-7, February-9) nummod(February-9, 1806-10) root(ROOT-0, encountered-11) amod(weather-13, severe-12) dobj(encountered-11, weather-13) case(gale-19, including-15) det(gale-19, a-16) amod(gale-19, strong-17) compound(gale-19, southerly-18) nmod:including(encountered-11, gale-19) cc(gale-19, and-20) nmod:including(encountered-11, lightning-21) conj:and(gale-19, lightning-21) nsubj(visible-25, snow-23) cop(visible-25, was-24) parataxis(encountered-11, visible-25) case(mountains-28, on-26) amod(mountains-28, nearby-27) nmod:on(visible-25, mountains-28) appos(mountains-28, Hudson-30) nummod(Hudson-30, 1806-31)  ",lightning,21,"nmod:including(encountered-11, lightning-21) conj:and(gale-19, lightning-21) ",a strong southerly gale and lightning ; snow was visible on,NN,[],,,,,,,,,"[('including', 'encountered')]",['including'],['encountered'],[],[],,"[('and', 'gale')]",['and'],['gale'],[],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,linked,,[],unknown,unknown
The president was the apex and lightning rod of its leadership .,The/DT president/NN was/VBD the/DT apex/NN and/CC lightning/NN rod/NN of/IN its/PRP$ leadership/NN ./.," det(president-2, The-1) nsubj(rod-8, president-2) cop(rod-8, was-3) det(rod-8, the-4) compound(rod-8, apex-5) cc(apex-5, and-6) conj:and(apex-5, lightning-7) compound(rod-8, lightning-7) root(ROOT-0, rod-8) case(leadership-11, of-9) nmod:poss(leadership-11, its-10) nmod:of(rod-8, leadership-11)  ",lightning,7,"conj:and(apex-5, lightning-7) compound(rod-8, lightning-7) ",president was the apex and lightning rod of its leadership .,NN,[],was,VBD,object,,,was,be,[],[],[],[],[],[],,"[('and', 'apex')]",['and'],['apex'],['rod'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,ambiguous,[],unknown,unknown
"In his field notes Schneider mentioned that the ndip so ( sege storehouse ) belonging to Lel of Mbamnga village contained medicine for rain and "" for those killed by lightning , so the matter would end . ""","In/IN his/PRP$ field/NN notes/NNS Schneider/NNP mentioned/VBD that/IN the/DT ndip/NN so/RB -LRB-/-LRB- sege/JJ storehouse/NN -RRB-/-RRB- belonging/VBG to/TO Lel/NNP of/IN Mbamnga/NNP village/NN contained/VBD medicine/NN for/IN rain/NN and/CC ''/'' for/IN those/DT killed/VBN by/IN lightning/NN ,/, so/IN the/DT matter/NN would/MD end/VB ./. ''/''"," case(notes-4, In-1) nmod:poss(notes-4, his-2) compound(notes-4, field-3) nmod:in(mentioned-6, notes-4) nsubj(mentioned-6, Schneider-5) root(ROOT-0, mentioned-6) mark(contained-21, that-7) det(ndip-9, the-8) nsubj(contained-21, ndip-9) advmod(ndip-9, so-10) amod(storehouse-13, sege-12) appos(ndip-9, storehouse-13) acl(ndip-9, belonging-15) case(Lel-17, to-16) nmod:to(belonging-15, Lel-17) case(village-20, of-18) compound(village-20, Mbamnga-19) nmod:of(Lel-17, village-20) ccomp(mentioned-6, contained-21) dobj(contained-21, medicine-22) case(rain-24, for-23) nmod:for(contained-21, rain-24) advmod(contained-21, and-25) case(those-28, for-27) nmod:for(contained-21, those-28) acl(those-28, killed-29) case(lightning-31, by-30) nmod:by(killed-29, lightning-31) dep(mentioned-6, so-33) det(matter-35, the-34) nsubj(end-37, matter-35) aux(end-37, would-36) parataxis(mentioned-6, end-37)  ",lightning,31,"case(lightning-31, by-30) nmod:by(killed-29, lightning-31) ",""" for those killed by lightning , so the matter would",NN,[],,,,,,,,,"[('by', 'killed')]",['by'],['killed'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"The thunderbolts , like lightning , clearly convey the sudden , overwhelming , and seemingly capricious power of Shango .","The/DT thunderbolts/NNS ,/, like/IN lightning/NN ,/, clearly/RB convey/VB the/DT sudden/JJ ,/, overwhelming/JJ ,/, and/CC seemingly/RB capricious/JJ power/NN of/IN Shango/NNP ./."," det(thunderbolts-2, The-1) nsubj(convey-8, thunderbolts-2) case(lightning-5, like-4) nmod:like(thunderbolts-2, lightning-5) advmod(convey-8, clearly-7) root(ROOT-0, convey-8) det(power-17, the-9) dep(capricious-16, sudden-10) conj:and(capricious-16, overwhelming-12) amod(power-17, overwhelming-12) cc(capricious-16, and-14) advmod(capricious-16, seemingly-15) amod(power-17, capricious-16) dobj(convey-8, power-17) case(Shango-19, of-18) nmod:of(power-17, Shango-19)  ",lightning,5,"case(lightning-5, like-4) nmod:like(thunderbolts-2, lightning-5) ","The thunderbolts , like lightning , clearly convey the sudden",NN,[],,,,,,,,,"[('like', 'thunderbolts')]",['like'],['thunderbolts'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['like'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"109 If the demoiselles can never function successfully as models of empowerment , they have , nonetheless , already functioned effectively as lightning rods for fear of the empowerment of women and peoples of color .","109/CD If/IN the/DT demoiselles/NNS can/MD never/RB function/VB successfully/RB as/IN models/NNS of/IN empowerment/NN ,/, they/PRP have/VBP ,/, nonetheless/RB ,/, already/RB functioned/VBD effectively/RB as/IN lightning/NN rods/NNS for/IN fear/NN of/IN the/DT empowerment/NN of/IN women/NNS and/CC peoples/NNS of/IN color/NN ./."," nsubj(functioned-20, 109-1) mark(function-7, If-2) det(demoiselles-4, the-3) nsubj(function-7, demoiselles-4) aux(function-7, can-5) neg(function-7, never-6) advcl(have-15, function-7) advmod(function-7, successfully-8) case(models-10, as-9) nmod:as(function-7, models-10) case(empowerment-12, of-11) nmod:of(models-10, empowerment-12) nsubj(have-15, they-14) acl:relcl(109-1, have-15) advmod(functioned-20, nonetheless-17) advmod(functioned-20, already-19) root(ROOT-0, functioned-20) advmod(functioned-20, effectively-21) case(rods-24, as-22) compound(rods-24, lightning-23) nmod:as(functioned-20, rods-24) case(fear-26, for-25) nmod:for(functioned-20, fear-26) case(empowerment-29, of-27) det(empowerment-29, the-28) nmod:of(fear-26, empowerment-29) case(women-31, of-30) nmod:of(empowerment-29, women-31) cc(women-31, and-32) nmod:of(empowerment-29, peoples-33) conj:and(women-31, peoples-33) case(color-35, of-34) nmod:of(women-31, color-35)  ",lightning,23,"compound(rods-24, lightning-23) ",", already functioned effectively as lightning rods for fear of the",NN,[],,,,,,,,,[],[],[],[],[],,[],[],[],['rods'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
Satellites record approximately 100 flashes of lightning per second ( or 3 billion flashes per year ) ; each flash on average oxidizes about 1 kilogram of Nsub2 to nitric oxide.,Satellites/NNS record/VB approximately/RB 100/CD flashes/NNS of/IN lightning/NN per/IN second/JJ -LRB-/-LRB- or/CC 3/CD billion/CD flashes/NNS per/IN year/NN -RRB-/-RRB- ;/: each/DT flash/VBP on/IN average/JJ oxidizes/NNS about/IN 1/CD kilogram/NN of/IN Nsub2/NNS to/TO nitric/JJ oxide/NN ./.," nsubj(record-2, Satellites-1) root(ROOT-0, record-2) advmod(100-4, approximately-3) nummod(flashes-5, 100-4) dobj(record-2, flashes-5) case(lightning-7, of-6) nmod:of(flashes-5, lightning-7) case(second-9, per-8) nmod:per(lightning-7, second-9) cc(flashes-14, or-11) compound(billion-13, 3-12) nummod(flashes-14, billion-13) dep(second-9, flashes-14) case(year-16, per-15) nmod:per(flashes-14, year-16) nsubj(flash-20, each-19) parataxis(record-2, flash-20) case(oxidizes-23, on-21) amod(oxidizes-23, average-22) nmod:on(flash-20, oxidizes-23) case(kilogram-26, about-24) nummod(kilogram-26, 1-25) nmod:about(oxidizes-23, kilogram-26) case(Nsub2-28, of-27) nmod:of(kilogram-26, Nsub2-28) case(oxide-31, to-29) amod(oxide-31, nitric-30) nmod:to(flash-20, oxide-31)  ",lightning,7,"case(lightning-7, of-6) nmod:per(lightning-7, second-9) nmod:of(flashes-5, lightning-7) ",record approximately 100 flashes of lightning per second ( or 3,NN,[],,,,,,,,,"[('per', 'second'), ('of', 'flashes')]","['per', 'of']",['flashes'],['second'],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['of'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"3 The product , a fixation rate of 3 x 10sup12 grams of nitrogen per year 3 Tg(N)/yr , is only a few percent of the rate of biological nitrogen fixation , though nitrogen was fixed exclusively by lightning and in the shock waves of meteors before the origin of life on this planet.","3/CD The/DT product/NN ,/, a/DT fixation/NN rate/NN of/IN 3/CD x/SYM 10sup12/JJ grams/NNS of/IN nitrogen/NN per/IN year/NN 3/CD Tg/NNP -LRB-/-LRB- N/NNP -RRB-/-RRB- //: yr/NN ,/, is/VBZ only/RB a/DT few/JJ percent/NN of/IN the/DT rate/NN of/IN biological/JJ nitrogen/NN fixation/NN ,/, though/IN nitrogen/NN was/VBD fixed/VBN exclusively/RB by/IN lightning/NN and/CC in/IN the/DT shock/NN waves/NNS of/IN meteors/NNS before/IN the/DT origin/NN of/IN life/NN on/IN this/DT planet/NN ./."," nsubj(percent-29, 3-1) det(product-3, The-2) dep(3-1, product-3) det(rate-7, a-5) compound(rate-7, fixation-6) dep(grams-12, rate-7) case(3-9, of-8) nmod:of(rate-7, 3-9) dep(grams-12, x-10) amod(grams-12, 10sup12-11) dep(yr-23, grams-12) case(nitrogen-14, of-13) nmod:of(grams-12, nitrogen-14) case(Tg-18, per-15) compound(Tg-18, year-16) nummod(Tg-18, 3-17) nmod:per(nitrogen-14, Tg-18) appos(Tg-18, N-20) dep(3-1, yr-23) cop(percent-29, is-25) advmod(percent-29, only-26) det(percent-29, a-27) amod(percent-29, few-28) root(ROOT-0, percent-29) case(rate-32, of-30) det(rate-32, the-31) nmod:of(percent-29, rate-32) case(fixation-36, of-33) amod(fixation-36, biological-34) compound(fixation-36, nitrogen-35) nmod:of(rate-32, fixation-36) mark(fixed-41, though-38) nsubjpass(fixed-41, nitrogen-39) nsubjpass(fixed-41', nitrogen-39) auxpass(fixed-41, was-40) advcl(percent-29, fixed-41) advcl(percent-29, fixed-41') conj:and(fixed-41, fixed-41') advmod(fixed-41, exclusively-42) case(lightning-44, by-43) nmod:by(fixed-41, lightning-44) cc(fixed-41, and-45) case(waves-49, in-46) det(waves-49, the-47) compound(waves-49, shock-48) nmod:in(fixed-41', waves-49) case(meteors-51, of-50) nmod:of(waves-49, meteors-51) case(origin-54, before-52) det(origin-54, the-53) nmod:before(fixed-41, origin-54) case(life-56, of-55) nmod:of(origin-54, life-56) case(planet-59, on-57) det(planet-59, this-58) nmod:on(life-56, planet-59)  ",lightning,44,"case(lightning-44, by-43) nmod:by(fixed-41, lightning-44) ",lightning and in the shock waves of meteors before the origin,NN,[],,,,,,,,,"[('by', 'fixed')]",['by'],['fixed'],[],[],,[],[],[],[],[],,,,,,,,,,,,,,[],[],[],['by'],[],[],[],[],[],[],,,singular,bare singular,,[],unknown,unknown
"Or there is the sublime as chronicled in one of Immanuel Kant 's few descriptive passages : "" Prominent , overhanging , menacing cliffs , towering storm clouds from which come lightning flashes and thunderclaps as they roll by , volcanoes in their destructive violence , hurricanes leaving devastation in their trail , the boundless , raging ocean , a lofty waterfall on some mighty river , all render our capacity to resist insignificantly small in comparison to their power . ""","Or/CC there/EX is/VBZ the/DT sublime/JJ as/RB chronicled/CD in/IN one/CD of/IN Immanuel/NNP Kant/NNP 's/POS few/JJ descriptive/JJ passages/NNS :/: ''/'' Prominent/NNP ,/, overhanging/VBG ,/, menacing/VBG cliffs/NNS ,/, towering/VBG storm/NN clouds/NNS from/IN which/WDT come/VBP lightning/NN flashes/NNS and/CC thunderclaps/NNS as/IN they/PRP roll/VBP by/IN ,/, volcanoes/VBG in/IN their/PRP$ destructive/JJ violence/NN ,/, hurricanes/VBG leaving/VBG devastation/NN in/IN their/PRP$ trail/NN ,/, the/DT boundless/NNS ,/, raging/VBG ocean/NN ,/, a/DT lofty/JJ waterfall/NN on/IN some/DT mighty/JJ river/NN ,/, all/DT render/VBP our/PRP$ capacity/NN to/TO resist/VB insignificantly/RB small/JJ in/IN comparison/NN to/TO their/PRP$ power/NN ./. ''/''"," cc(is-3, Or-1) expl(is-3, there-2) root(ROOT-0, is-3) det(chronicled-7, the-4) amod(chronicled-7, sublime-5) advmod(chronicled-7, as-6) nsubj(is-3, chronicled-7) case(one-9, in-8) nmod:in(chronicled-7, one-9) case(passages-16, of-10) compound(Kant-12, Immanuel-11) nmod:poss(passages-16, Kant-12) case(Kant-12, 's-13) amod(passages-16, few-14) amod(passages-16, descriptive-15) nmod:of(one-9, passages-16) nsubj(render-69, Prominent-19) advcl(render-69, overhanging-21) dep(overhanging-21, menacing-23) dobj(menacing-23, cliffs-24) dep(overhanging-21, towering-26) compound(clouds-28, storm-27) dobj(towering-26, clouds-28) mark(come-31, from-29) nsubj(come-31, which-30) advcl(towering-26, come-31) compound(flashes-33, lightning-32) dobj(come-31, flashes-33) cc(flashes-33, and-34) dobj(come-31, thunderclaps-35) conj:and(flashes-33, thunderclaps-35) mark(roll-38, as-36) nsubj(roll-38, they-37) advcl(come-31, roll-38) nmod(roll-38, by-39) dep(overhanging-21, volcanoes-41) case(violence-45, in-42) nmod:poss(violence-45, their-43) amod(violence-45, destructive-44) nmod:in(volcanoes-41, violence-45) dep(overhanging-21, hurricanes-47) advcl(hurricanes-47, leaving-48) dobj(leaving-48, devastation-49) case(trail-52, in-50) nmod:poss(trail-52, their-51) nmod:in(leaving-48, trail-52) det(boundless-55, the-54) appos(trail-52, boundless-55) dep(overhanging-21, raging-57) dobj(raging-57, ocean-58) det(waterfall-62, a-60) amod(waterfall-62, lofty-61) dobj(overhanging-21, waterfall-62) case(river-66, on-63) det(river-66, some-64) amod(river-66, mighty-65) nmod:on(waterfall-62, river-66) nsubj(render-69, all-68) parataxis(is-3, render-69) nmod:poss(capacity-71, our-70) dobj(render-69, capacity-71) mark(resist-73, to-72) acl(capacity-71, resist-73) advmod(small-75, insignificantly-74) xcomp(resist-73, small-75) case(comparison-77, in-76) nmod:in(small-75, comparison-77) case(power-80, to-78) nmod:poss(power-80, their-79) nmod:to(resist-73, power-80)  ",lightning,32,"compound(flashes-33, lightning-32) ",storm clouds from which come lightning flashes and thunderclaps as they,NN,[],come,VBP,object,,,come,come,[],[],[],[],[],[],,[],[],[],['flashes'],[],,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],,,singular,bare singular,plural,['EX-PL'],countable,unknown
