Noun,Noun Count,NN Count,NN Percentage,NNS Count,NNS Percentage,NNP Count,NNP Percentage,NNPS Count,NNPS Percentage,Plural Noun Count,Plural Noun Percentage,Singular Noun Count,Singular Noun Percentage,Bare Plural Noun Count,Bare Plural Noun Percentage,Bare Singular Noun Count,Bare Singular Noun Percentage,Linked Noun Count,Linked Noun Percentage,Noun Negation Count,Noun Negation Percentage,Verb Construction Count,Verb Construction Percentage,VB Count,VB Percentage,VBD Count,VBD Percentage,VBG Count,VBG Percentage,VBN Count,VBN Percentage,VBP Count,VBP Percentage,VBZ Count,VBZ Percentage,Plural Verb Count,Plural Verb Percentage,Singular Verb Count,Singular Verb Percentage,Verb Subject Count,Verb Subject Percentage,Unique Verb Subject Count,Significant Verb Subjects,Significant Verb Subject Count,Verb Object Count,Verb Object Percentage,Unique Verb Object Count,Significant Verb Objects,Significant Verb Object Count,Verb Negation Count,Verb Negation Percentage,Prepositional Phrase Count,Prepositional Phrase Percentage,Prepositional Subject Count,Prepositional Subject Percentage,Unique Prepositional Subject Count,Significant Prepositional Subjects,Prepositional Object Count,Prepositional Object Percentage,Unique Prepositional Object Count,Significant Prepositional Objects,Determiner Count,Determiner Percentage,Unique Determiner Count,Significant Determiners,Indefinite Article Count,Indefinite Article Percentage,Definite Article Count,Definite Article Percentage,Demonstrative Pronoun Count,Demonstrative Pronoun Percentage,Quantifier Count,Quantifier Percentage,Other Determiner Count,Other Determiner Percentage,Conjoined Count,Conjoined Percentage,Unique Conjoined Count,Significant Conjoined,Compound Count,Compound Percentage,Unique Compound Count,Significant Compounds,Adjective Count,Adjective Percentage,Unique Adjective Count,Significant Adjectives,Possesed Count,Possesed Percentage,Unique Possesed Count,Significant Possesed,Possesive Count,Possesive Percentage,Numeric Count,Numeric Percentage,Adverb Count,Adverb Percentage,Appositive Count,Appositive Percentage,Appositional Modifier Count,Appositional Modifier Percentage,Unique Appositional Modifier Count,Significant Appositional Modifiers,Modified Appositive Count,Modified Appositive Percentage,Unique Modified Appositive Count,Significant Modified Appositives,Modal Count,Modal Percentage,Conditional Count,Conditional Percentage,Denumerator Count,Denumerator Percentage,Unit Denumerator Count,Unit Denumerator Percentage,Fuzzy Denumerator Count,Fuzzy Denumerator Percentage,Other Denumerator Count,Other Denumerator Percentage,Allan Count,Allan Percentage,A N Count,A N Percentage,F Ns Count,F Ns Percentage,Ex Pl Count,Ex Pl Percentage,O Den Count,O Den Percentage,All N Count,All N Percentage,Countable Count,Countable Percentage,Uncountable Count,Uncountable Percentage,Verdical Count,Verdical Percentage,NonVerdical Count,NonVerdical Percentage
city,17527,12479,0.71,5045,0.29,3,0.00,0,0,5045,0.29,12479,0.71,2985,0.17,2853,0.16,11689,0.67,64,0.00,5263,0.30,992,0.19,1453,0.28,378,0.07,739,0.14,629,0.12,994,0.19,629,0.12,994,0.19,3023,0.57,729,"{'be': 656, 'have': 251}",2,2240,0.43,626,{'be': 421},1,73,0.01,11831,0.68,8370,0.71,3343,{},3461,0.29,1675,{},10547,0.60,32,"{'a': 1370, 'both': 26, 'what': 6, 'that': 117, 'these': 81, 'some': 133, 'all': 54, 'an': 88, 'this': 228, 'every': 86, 'another': 40, 'each': 55, 'such': 6, 'the': 8111, 'any': 96, 'those': 29}",1521,0.14,7524,0.71,413,0.04,257,0.02,798,0.08,1926,0.11,857,{'towns': 192},3413,0.19,1026,"{'council': 111, 'capital': 149}",5331,0.30,881,"{'major': 284, 'big': 188, 'many': 152, 'large': 213, 'american': 156, 'other': 377, 'inner': 257, 'largest': 128, 'small': 110}",1459,0.08,784,{},764,0.04,565,0.03,442,0.03,1234,0.07,359,0.29,306,{},258,0.21,226,{},19,0.00,67,0.00,2325,0.13,1459,0.63,201,0.09,665,0.29,2532,0.14,1439,0.57,197,0.08,229,0.09,665,0.26,2,0.00,2499,0.14,2,0.00,136,0.01,78,0.00
charity,1466,990,0.68,473,0.32,3,0.00,0,0,473,0.32,993,0.68,336,0.23,693,0.47,437,0.30,13,0.01,520,0.35,134,0.26,79,0.15,38,0.07,43,0.08,96,0.18,117,0.23,96,0.18,117,0.23,295,0.57,139,"{'be': 64, 'have': 14}",2,225,0.43,128,{'be': 27},1,18,0.03,771,0.53,661,0.86,393,{},110,0.14,89,{},360,0.25,13,"{'a': 148, 'all': 10, 'this': 4, 'some': 10, 'an': 4, 'every': 3, 'another': 2, 'each': 2, 'the': 173}",158,0.44,159,0.44,6,0.02,16,0.04,20,0.06,238,0.16,162,{},350,0.24,150,"{'work': 19, 'health': 66, 'care': 37}",333,0.23,99,"{'christian': 25, 'many': 18, 'favorite': 19, 'private': 25, 'other': 11, 'saudi': 11, 'local': 27, 'public': 16}",49,0.03,38,{'programs': 5},68,0.05,25,0.02,23,0.02,98,0.07,25,0.26,25,{},24,0.24,23,{},0,0.00,2,0.00,199,0.14,150,0.75,18,0.09,31,0.16,216,0.15,149,0.69,18,0.08,17,0.08,31,0.14,1,0.00,212,0.14,1,0.00,31,0.02,2,0.00
chairman,3020,2925,0.97,94,0.03,1,0.00,0,0,94,0.03,2924,0.97,61,0.02,1979,0.66,980,0.32,3,0.00,1100,0.36,130,0.12,392,0.36,25,0.02,145,0.13,50,0.05,345,0.31,50,0.05,345,0.31,601,0.55,282,"{'be': 76, 'say': 50}",2,499,0.45,103,"{'become': 77, 'say': 18, 'elect': 13, 'name': 24, 'be': 213}",5,9,0.01,2364,0.78,615,0.26,402,{},1749,0.74,555,"{'chiefs': 63, 'department': 109, 'committee': 299, 'council': 57, 'board': 99}",743,0.25,10,"{'a': 62, 'both': 2, 'the': 668, 'an': 4, 'that': 2}",64,0.09,584,0.79,4,0.01,1,0.00,90,0.12,675,0.22,332,"{'ceo': 76, 'founder': 43}",988,0.33,423,"{'committee': 66, 'vice': 121}",444,0.15,127,"{'democratic': 18, 'retired': 19, 'national': 15, 'former': 90, 'new': 34, 'republican': 16, 'honorary': 19, 'first': 18}",44,0.01,37,{'office': 5},219,0.07,23,0.01,127,0.04,1970,0.65,832,0.42,655,{},153,0.08,136,{},6,0.00,18,0.01,89,0.03,66,0.74,2,0.02,21,0.24,132,0.04,66,0.50,2,0.02,43,0.33,21,0.16,0,0,131,0.04,0,0,12,0.00,19,0.01
certainty,801,719,0.90,79,0.10,3,0.00,0,0,77,0.10,721,0.90,34,0.04,446,0.56,321,0.40,35,0.04,298,0.37,58,0.19,42,0.14,24,0.08,26,0.09,41,0.14,101,0.34,41,0.14,101,0.34,120,0.40,45,{'be': 71},1,178,0.60,97,"{'provide': 12, 'be': 24, 'give': 11}",3,9,0.03,597,0.75,441,0.74,279,{},156,0.26,140,{},273,0.34,11,"{'a': 61, 'all': 5, 'that': 3, 'these': 3, 'some': 6, 'an': 7, 'this': 6, 'the': 152, 'any': 28}",74,0.27,135,0.49,9,0.03,32,0.12,21,0.08,104,0.13,86,{},63,0.08,36,{'outcome': 24},268,0.33,128,"{'only': 15, 'greater': 17, 'absolute': 18}",0,0.00,0,{},39,0.05,12,0.01,22,0.03,50,0.06,15,0.30,14,{'probability': 2},10,0.20,10,{},6,0.01,4,0.00,86,0.11,75,0.87,4,0.05,7,0.08,122,0.15,75,0.61,4,0.03,33,0.27,7,0.06,3,0.02,115,0.14,3,0.00,44,0.05,5,0.01
ceremony,1863,1264,0.68,591,0.32,8,0.00,0,0,590,0.32,1263,0.68,389,0.21,166,0.09,1308,0.70,7,0.00,635,0.34,114,0.18,216,0.34,45,0.07,105,0.17,59,0.09,94,0.15,59,0.09,94,0.15,328,0.52,144,"{'be': 64, 'hold': 18}",2,307,0.48,129,"{'perform': 26, 'be': 27, 'hold': 14, 'attend': 29, 'have': 16}",5,5,0.01,1419,0.76,1108,0.78,712,{},311,0.22,245,{},1179,0.63,16,"{'a': 315, 'all': 8, 'these': 10, 'some': 4, 'an': 32, 'this': 22, 'every': 3, 'another': 3, 'the': 772, 'any': 4}",338,0.29,696,0.59,27,0.02,10,0.01,102,0.09,269,0.14,203,{},733,0.39,292,"{'awards': 63, 'graduation': 37, 'wedding': 36}",638,0.34,266,{'religious': 51},7,0.00,7,"{'direction': 1, 'retrospective': 1, 'importance': 1, 'reliance': 1, 'location': 1, 'significance': 1, 'webster': 1}",115,0.06,30,0.02,33,0.02,130,0.07,29,0.22,29,{},36,0.28,34,{},3,0.00,3,0.00,371,0.20,335,0.90,5,0.01,31,0.08,390,0.21,335,0.86,5,0.01,19,0.05,31,0.08,0,0,386,0.21,0,0,12,0.01,6,0.00
century,16312,13527,0.83,2758,0.17,27,0.00,0,0,2758,0.17,13542,0.83,1457,0.09,1293,0.08,13562,0.83,20,0.00,1642,0.10,312,0.19,452,0.28,87,0.05,323,0.20,177,0.11,265,0.16,177,0.11,265,0.16,787,0.48,291,{'be': 143},1,855,0.52,300,"{'be': 161, 'take': 40, 'enter': 46}",3,30,0.02,14267,0.87,13133,0.92,3812,"{'ago': 438, 'turn': 689, 'end': 483, 'half': 390}",1134,0.08,766,{},12874,0.79,18,"{'a': 1445, 'both': 4, 'all': 14, 'another': 25, 'that': 19, 'these': 9, 'half': 199, 'some': 8, 'what': 2, 'an': 15, 'this': 893, 'every': 10, 'which': 3, 'each': 4, 'the': 10206, 'any': 11, 'those': 6}",1367,0.11,10081,0.78,914,0.07,36,0.00,272,0.02,795,0.05,432,"{'nineteenth': 73, 'half': 48}",2321,0.14,604,"{'sixteenth': 86, 'eighteenth': 211, 'twentieth': 329, 'half': 95, 'nineteenth': 413, 'quarter': 104, 'seventeenth': 128}",9217,0.57,306,"{'thirteenth': 63, 'eighteenth': 463, 'ninth': 41, 'past': 245, 'second': 45, 'fourteenth': 49, 'seventeenth': 249, 'fifth': 40, 'previous': 50, '21st': 395, 'next': 499, 'late': 557, 'few': 43, '19th': 597, 'fourth': 42, 'new': 108, 'several': 75, 'twelfth': 38, '15th': 56, 'sixteenth': 212, 'seventh': 46, 'fifteenth': 96, 'early': 658, 'twentieth': 913, 'half': 45, 'last': 284, 'eighth': 39, '13th': 53, '17th': 135, 'many': 62, '18th': 203, 'nineteenth': 1090, '16th': 108, '20th': 656, 'first': 96}",172,0.01,122,"{'end': 14, 'worth': 14}",169,0.01,983,0.06,770,0.05,840,0.05,129,0.15,107,{},291,0.35,263,{},22,0.00,49,0.00,2448,0.15,1536,0.63,154,0.06,758,0.31,2580,0.16,1515,0.59,153,0.06,152,0.06,758,0.29,2,0.00,2559,0.16,2,0.00,50,0.00,69,0.00
category,7104,3500,0.49,3579,0.50,25,0.00,0,0,3572,0.50,3504,0.49,1346,0.19,476,0.07,5282,0.74,43,0.01,2413,0.34,420,0.17,470,0.19,169,0.07,392,0.16,461,0.19,469,0.19,461,0.19,469,0.19,1321,0.55,344,"{'be': 381, 'include': 104}",2,1092,0.45,358,"{'be': 191, 'use': 37}",2,72,0.03,6315,0.89,4202,0.67,1788,{'fall': 188},2113,0.33,1239,{},4148,0.58,21,"{'a': 488, 'both': 32, 'all': 118, 'neither': 4, 'another': 39, 'that': 97, 'these': 254, 'some': 32, 'what': 3, 'an': 48, 'this': 438, 'every': 39, 'either': 7, 'which': 3, 'each': 249, 'the': 2191, 'any': 61, 'those': 41}",528,0.13,1924,0.46,728,0.18,419,0.10,528,0.13,725,0.10,532,{},1438,0.20,732,{},3117,0.44,827,"{'broad': 89, 'different': 96, 'other': 134}",18,0.00,18,{},264,0.04,1211,0.17,186,0.03,444,0.06,60,0.14,54,{},162,0.36,126,{},20,0.00,44,0.01,2050,0.29,585,0.29,46,0.02,1419,0.69,2132,0.30,570,0.27,46,0.02,96,0.05,1419,0.67,1,0.00,2112,0.30,1,0.00,114,0.02,55,0.01
capacity,5107,4552,0.89,554,0.11,1,0.00,0,0,549,0.11,4548,0.89,291,0.06,1597,0.31,3219,0.63,24,0.00,2743,0.54,777,0.28,278,0.10,334,0.12,332,0.12,340,0.12,640,0.23,340,0.12,640,0.23,817,0.30,287,{'be': 250},1,1926,0.70,404,"{'increase': 92, 'be': 115, 'develop': 49, 'have': 434}",4,54,0.02,3347,0.66,1920,0.57,1128,{},1427,0.43,916,{},2008,0.39,23,"{'a': 340, 'all': 8, 'that': 55, 'these': 26, 'some': 20, 'whatever': 5, 'an': 67, 'this': 89, 'the': 1364, 'any': 17}",424,0.21,1255,0.62,151,0.08,23,0.01,148,0.07,828,0.16,559,{},1152,0.23,475,{'storage': 68},2169,0.42,610,{'carrying': 67},1,0.00,1,{'functions': 1},1191,0.23,66,0.01,111,0.02,260,0.05,71,0.27,68,{},59,0.23,59,{},17,0.00,24,0.00,466,0.09,406,0.87,8,0.02,52,0.11,735,0.14,406,0.55,6,0.01,269,0.37,52,0.07,2,0.00,684,0.13,2,0.00,78,0.02,38,0.01
calf,673,361,0.54,310,0.46,2,0.00,0,0,310,0.46,362,0.54,180,0.27,124,0.18,369,0.55,1,0.00,323,0.48,97,0.30,57,0.18,36,0.11,29,0.09,40,0.12,62,0.19,40,0.12,62,0.19,134,0.41,87,{'be': 23},1,189,0.59,105,"{'stretch': 11, 'kill': 14}",2,2,0.01,271,0.40,236,0.87,209,{},35,0.13,31,{},214,0.32,8,"{'a': 63, 'all': 4, 'some': 1, 'an': 2, 'another': 1, 'the': 134, 'any': 5, 'those': 4}",64,0.30,123,0.57,4,0.02,6,0.03,15,0.07,240,0.36,121,"{'cows': 14, 'quadriceps': 18}",121,0.18,59,"{'elk': 7, 'shell': 6, 'muscles': 18, 'muscle': 12}",154,0.23,77,"{'newborn': 8, 'right': 12, 'young': 10}",8,0.01,8,"{'eyes': 1, 'intestine': 1, 'brains': 1, 'stomachs': 1, 'quest': 1, 'grain': 1, 'liver': 1, 'samples': 1}",138,0.21,20,0.03,9,0.01,38,0.06,12,0.32,12,{},7,0.18,7,"{'generation': 1, 'sporting': 1, 'hale': 1, 'behavior': 1, 'bauersfeld': 1, 'prohibited': 1, 'happold': 1}",0,0.00,0,0.00,83,0.12,68,0.82,1,0.01,14,0.17,92,0.14,66,0.72,1,0.01,11,0.12,14,0.15,0,0,89,0.13,0,0,3,0.00,0,0
businessman,3,3,1.00,0,0,0,0,0,0,0,0,3,1.00,0,0,1,0.33,2,0.67,0,0.00,2,0.67,0,0,0,0,0,0,0,0,0,0,2,1.00,0,0,2,1.00,2,1.00,2,"{'put': 1, 'be': 1}",2,0,0.00,0,{},0,0,0.00,0,0.00,0,0,0,{},0,0,0,{},2,0.67,2,"{'a': 1, 'the': 1}",1,0.50,1,0.50,0,0,0,0,0,0,0,0.00,0,{},1,0.33,1,{'coors': 1},2,0.67,2,"{'average': 1, 'chinese': 1}",0,0.00,0,{},0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,{},0,0,0,{},0,0.00,0,0.00,1,0.33,1,1.00,0,0,0,0,1,0.33,1,1.00,0,0,0,0,0,0,0,0,1,0.33,0,0,0,0,0,0
brutality,342,321,0.94,18,0.05,3,0.01,0,0,17,0.05,324,0.95,8,0.02,209,0.61,125,0.37,1,0.00,123,0.36,32,0.26,29,0.24,11,0.09,16,0.13,11,0.09,24,0.20,11,0.09,24,0.20,50,0.41,36,{'be': 9},1,73,0.59,58,{},0,6,0.05,282,0.82,196,0.70,178,{},86,0.30,74,{},102,0.30,6,"{'a': 3, 'all': 2, 'that': 1, 'this': 2, 'an': 1, 'the': 93}",4,0.04,87,0.85,3,0.03,1,0.01,6,0.06,108,0.32,92,{},75,0.22,18,"{'case': 2, 'charges': 2, 'cases': 3, 'police': 54}",92,0.27,73,{},0,0.00,0,{},25,0.07,0,0.00,3,0.01,14,0.04,4,0.29,4,"{'witnesses': 1, 'violations': 1, 'gravity': 1, 'padres': 1}",3,0.21,3,"{'perversions': 1, 'futility': 1, 'expressiveness': 1}",0,0.00,0,0.00,4,0.01,4,1.00,0,0,0,0,12,0.04,4,0.33,0,0,7,0.58,0,0,1,0.08,11,0.03,1,0.00,7,0.02,0,0
bravery,145,145,1.00,0,0,0,0,0,0,0,0,145,1.00,0,0,80,0.55,65,0.45,0,0.00,39,0.27,11,0.28,10,0.26,3,0.08,2,0.05,7,0.18,6,0.15,7,0.18,6,0.15,10,0.26,9,"{'be': 2, 'derive': 1, 'risk': 1, 'get': 1, 'revolutionize': 1, 'merit': 1, 'have': 1, 'seem': 1, 'inspire': 1}",9,29,0.74,23,"{'display': 3, 'show': 4}",2,0,0.00,124,0.86,94,0.76,81,{},30,0.24,28,{},27,0.19,5,"{'a': 2, 'this': 1, 'the': 22, 'all': 1, 'an': 1}",3,0.11,22,0.81,1,0.04,0,0,0,0,70,0.48,57,{'strength': 8},6,0.04,6,"{'someone': 1, 'coexist': 1, 'wisdom': 1, 'calm': 1, 'worthy': 1, 'neighborliness': 1}",22,0.15,18,"{'personal': 2, 'extraordinary': 2, 'own': 3}",0,0.00,0,{},39,0.27,0,0.00,0,0.00,14,0.10,3,0.21,3,"{'town': 1, 'independence': 1, 'wisdom': 1}",4,0.29,4,"{'discipline': 1, 'patriotism': 1, 'strength': 1, 'medal': 1}",0,0.00,0,0.00,3,0.02,3,1.00,0,0,0,0,10,0.07,3,0.30,0,0,7,0.70,0,0,0,0,10,0.07,0,0,0,0,0,0
body,22720,19052,0.84,3655,0.16,13,0.00,0,0,3651,0.16,19059,0.84,1521,0.07,5255,0.23,15944,0.70,102,0.00,10196,0.45,2777,0.27,1297,0.13,1036,0.10,1229,0.12,1107,0.11,2614,0.26,1107,0.11,2614,0.26,4960,0.49,1009,"{'be': 1026, 'have': 150}",2,5236,0.51,1115,"{'be': 311, 'use': 117, 'have': 248, 'keep': 124}",4,203,0.02,11678,0.51,8427,0.72,3493,{},3251,0.28,1454,"{'water': 149, 'work': 159}",9163,0.40,26,"{'a': 1561, 'both': 18, 'all': 45, 'another': 27, 'that': 63, 'these': 58, 'each': 16, 'some': 23, 'an': 199, 'this': 164, 'every': 13, 'which': 3, 'half': 7, 'such': 14, 'the': 6873, 'any': 52, 'those': 16}",1684,0.18,6477,0.71,254,0.03,101,0.01,610,0.07,2566,0.11,1189,{'mind': 266},5170,0.23,1216,"{'temperature': 157, 'language': 132, 'image': 154, 'weight': 397, 'parts': 270, 'fat': 166, 'student': 198, 'size': 129}",5697,0.25,1292,"{'upper': 282, 'own': 179, 'whole': 146, 'human': 442}",830,0.04,320,"{'cells': 34, 'ability': 61, 'system': 49}",6685,0.29,210,0.01,309,0.01,1082,0.05,257,0.24,222,{},284,0.26,242,{},25,0.00,66,0.00,1929,0.08,1717,0.89,29,0.02,183,0.09,2586,0.11,1715,0.66,29,0.01,651,0.25,183,0.07,8,0.00,2528,0.11,8,0.00,303,0.01,75,0.00
belly,748,648,0.87,97,0.13,3,0.00,0,0,97,0.13,651,0.87,47,0.06,211,0.28,490,0.66,1,0.00,284,0.38,96,0.34,52,0.18,30,0.11,15,0.05,43,0.15,47,0.17,43,0.15,47,0.17,82,0.29,52,{'be': 20},1,202,0.71,122,"{'go': 17, 'have': 16}",2,3,0.01,408,0.55,346,0.85,287,{},62,0.15,49,{'beast': 8},174,0.23,8,"{'a': 46, 'both': 1, 'all': 1, 'that': 4, 'this': 1, 'an': 2, 'such': 1, 'the': 118}",46,0.26,115,0.66,5,0.03,0,0,5,0.03,103,0.14,72,{'back': 8},169,0.23,82,{'button': 29},117,0.16,73,{},1,0.00,1,{'oscillations': 1},316,0.42,4,0.01,14,0.02,38,0.05,11,0.29,11,{},8,0.21,8,"{'circles': 1, 'jeans': 1, 'titan': 1, 'curve': 1, 'boots': 1, 'lips': 1, 'manava': 1, 'movement': 1}",1,0.00,0,0.00,50,0.07,47,0.94,0,0,3,0.06,81,0.11,47,0.58,0,0,31,0.38,3,0.04,0,0,76,0.10,0,0,4,0.01,1,0.00
beauty,3765,3608,0.96,151,0.04,6,0.00,0,0,144,0.04,3614,0.96,56,0.01,1944,0.52,1765,0.47,21,0.01,1623,0.43,419,0.26,231,0.14,150,0.09,129,0.08,179,0.11,490,0.30,179,0.11,490,0.30,657,0.40,241,{'be': 271},1,966,0.60,329,"{'be': 95, 'see': 35, 'have': 36}",3,40,0.02,2523,0.67,1513,0.60,936,{},1010,0.40,651,{},1264,0.34,14,"{'a': 153, 'both': 2, 'all': 23, 'that': 18, 'these': 15, 'some': 3, 'an': 21, 'this': 35, 'another': 5, 'the': 985}",166,0.13,829,0.66,61,0.05,11,0.01,180,0.14,1028,0.27,561,{},606,0.16,313,{},1212,0.32,496,{'natural': 114},8,0.00,7,"{'mystery': 1, 'sake': 2, 'object': 1, 'dependence': 1, 'way': 1, 'skin': 1, 'smile': 1}",512,0.14,14,0.00,45,0.01,304,0.08,74,0.24,69,{},78,0.26,76,{},6,0.00,10,0.00,183,0.05,164,0.90,2,0.01,17,0.09,349,0.09,164,0.47,0,0,160,0.46,17,0.05,8,0.02,334,0.09,8,0.00,61,0.02,14,0.00
battery,2447,1440,0.59,1005,0.41,2,0.00,0,0,1004,0.41,1439,0.59,640,0.26,650,0.27,1157,0.47,16,0.01,1214,0.50,352,0.29,177,0.15,112,0.09,151,0.12,163,0.13,251,0.21,163,0.13,251,0.21,586,0.48,187,"{'be': 99, 'last': 20, 'have': 21}",3,628,0.52,222,"{'be': 28, 'use': 34, 'have': 39, 'recharge': 42}",4,17,0.01,1182,0.48,840,0.71,501,{},342,0.29,214,{'tests': 55},916,0.37,16,"{'a': 359, 'both': 4, 'all': 5, 'that': 3, 'these': 12, 'an': 24, 'this': 5, 'either': 3, 'another': 4, 'each': 8, 'such': 3, 'the': 477, 'any': 3, 'those': 4}",364,0.40,421,0.46,19,0.02,13,0.01,95,0.10,372,0.15,249,{},885,0.36,316,"{'aa': 36, 'life': 80, 'power': 37, 'pack': 39}",575,0.23,226,{'rechargeable': 38},23,0.01,17,"{'polarity': 2, 'performance': 2, 'top': 3, 'bottom': 3}",143,0.06,116,0.05,31,0.01,144,0.06,21,0.15,21,{},51,0.35,42,{},3,0.00,3,0.00,492,0.20,369,0.75,2,0.00,121,0.25,537,0.22,368,0.69,2,0.00,46,0.09,121,0.23,0,0,520,0.21,0,0,33,0.01,5,0.00
baby,7802,5677,0.73,2106,0.27,19,0.00,0,0,2101,0.27,5689,0.73,1374,0.18,2043,0.26,4385,0.56,32,0.00,4323,0.55,1220,0.28,804,0.19,542,0.13,469,0.11,599,0.14,647,0.15,599,0.14,647,0.15,2004,0.46,463,"{'be': 458, 'bear': 125, 'have': 109}",3,2319,0.54,473,"{'be': 217, 'give': 48, 'make': 58, 'deliver': 59, 'take': 51, 'have': 436, 'hold': 55}",7,101,0.02,2046,0.26,1623,0.79,935,{},423,0.21,281,{},3022,0.39,16,"{'a': 1177, 'both': 4, 'all': 37, 'that': 40, 'these': 45, 'some': 36, 'an': 40, 'this': 58, 'every': 12, 'another': 36, 'each': 14, 'such': 5, 'the': 1486, 'any': 13, 'those': 18}",1186,0.39,1380,0.46,145,0.05,54,0.02,241,0.08,521,0.07,331,{},1925,0.25,673,{'boomers': 230},1127,0.14,354,"{'healthy': 46, 'new': 108, 'first': 38}",533,0.07,270,{},1251,0.16,165,0.02,181,0.02,464,0.06,135,0.29,116,{},97,0.21,92,{},13,0.00,54,0.01,1353,0.17,1190,0.88,21,0.02,142,0.10,1610,0.21,1186,0.74,20,0.01,262,0.16,142,0.09,0,0,1564,0.20,0,0,133,0.02,56,0.01
authority,8139,5507,0.68,2621,0.32,11,0.00,0,0,2606,0.32,5510,0.68,1510,0.19,3034,0.37,3595,0.44,129,0.02,4082,0.50,1055,0.26,1003,0.25,323,0.08,558,0.14,519,0.13,591,0.14,519,0.13,591,0.14,1853,0.45,595,"{'be': 287, 'have': 68}",2,2229,0.55,470,"{'be': 118, 'have': 389, 'exercise': 62, 'give': 148}",4,142,0.03,5102,0.63,3562,0.70,1803,{},1540,0.30,919,{},2769,0.34,19,"{'a': 185, 'both': 16, 'all': 23, 'that': 28, 'these': 15, 'some': 56, 'what': 4, 'an': 169, 'this': 38, 'every': 3, 'another': 3, 'the': 2180, 'any': 38, 'those': 6}",394,0.14,2036,0.74,72,0.03,60,0.02,194,0.07,1241,0.15,739,{'power': 102},1524,0.19,556,{'state': 111},3775,0.46,734,"{'local': 241, 'moral': 93, 'central': 89, 'political': 145}",35,0.00,33,{},790,0.10,51,0.01,131,0.02,444,0.05,108,0.24,105,{},114,0.26,109,{},5,0.00,29,0.00,427,0.05,361,0.85,10,0.02,56,0.13,663,0.08,360,0.54,10,0.02,222,0.33,56,0.08,15,0.02,639,0.08,15,0.00,271,0.03,30,0.00
assembly,1767,1553,0.88,212,0.12,2,0.00,0,0,212,0.12,1552,0.88,138,0.08,795,0.45,834,0.47,11,0.01,790,0.45,207,0.26,150,0.19,79,0.10,114,0.14,70,0.09,165,0.21,70,0.09,165,0.21,373,0.47,176,{'be': 80},1,417,0.53,217,{'be': 27},1,7,0.01,829,0.47,610,0.74,465,{},219,0.26,202,{},751,0.43,12,"{'a': 99, 'both': 2, 'all': 3, 'that': 4, 'these': 7, 'some': 10, 'an': 56, 'this': 25, 'every': 3, 'each': 3, 'such': 2, 'the': 537}",150,0.20,473,0.63,22,0.03,8,0.01,95,0.13,281,0.16,216,{},932,0.53,386,"{'line': 158, 'lines': 39, 'tube': 46}",468,0.26,235,{'national': 25},11,0.01,10,{'decision': 2},70,0.04,23,0.01,21,0.01,92,0.05,21,0.23,20,{},25,0.27,22,{},1,0.00,0,0.00,172,0.10,146,0.85,0,0,26,0.15,213,0.12,144,0.68,0,0,43,0.20,26,0.12,0,0,211,0.12,0,0,18,0.01,1,0.00
artistry,162,156,0.96,2,0.01,4,0.02,0,0,0,0,160,0.99,0,0,75,0.46,87,0.54,0,0.00,72,0.44,15,0.21,18,0.25,7,0.10,6,0.08,9,0.12,16,0.22,9,0.12,16,0.22,30,0.42,22,{'be': 8},1,42,0.58,40,{},0,2,0.03,115,0.71,75,0.65,73,{},40,0.35,37,{},47,0.29,5,"{'this': 2, 'both': 1, 'the': 41, 'all': 1, 'an': 2}",2,0.04,37,0.79,2,0.04,0,0,5,0.11,45,0.28,39,{},17,0.10,16,{'jazz': 2},62,0.38,50,{},0,0.00,0,{},40,0.25,0,0.00,0,0.00,12,0.07,5,0.42,5,"{'familiars': 1, 'age': 1, 'tombs': 1, 'consciousness': 1, 'independence': 1}",1,0.08,1,{'intellect': 1},0,0.00,0,0.00,3,0.02,2,0.67,0,0,1,0.33,12,0.07,2,0.17,0,0,9,0.75,1,0.08,0,0,12,0.07,0,0,2,0.01,0,0
army,4488,3830,0.85,654,0.15,4,0.00,0,0,652,0.15,3832,0.85,328,0.07,788,0.18,3372,0.75,24,0.01,2207,0.49,467,0.21,890,0.40,177,0.08,357,0.16,97,0.04,204,0.09,97,0.04,204,0.09,1292,0.59,485,"{'be': 212, 'have': 52}",2,915,0.41,355,"{'be': 65, 'have': 52}",2,68,0.03,2343,0.52,1581,0.67,1005,{},762,0.33,560,{},2763,0.62,20,"{'a': 288, 'both': 9, 'all': 9, 'that': 17, 'these': 4, 'some': 3, 'an': 299, 'this': 24, 'every': 3, 'another': 7, 'each': 4, 'such': 5, 'the': 2077, 'any': 8}",565,0.20,1886,0.68,38,0.01,21,0.01,242,0.09,485,0.11,316,{},1099,0.24,493,{},1536,0.34,425,"{'small': 59, 'british': 69}",160,0.04,126,{},594,0.13,55,0.01,54,0.01,216,0.05,54,0.25,48,{},54,0.25,48,{},2,0.00,10,0.00,637,0.14,566,0.89,5,0.01,66,0.10,696,0.16,565,0.81,5,0.01,60,0.09,66,0.09,0,0,683,0.15,0,0,92,0.02,12,0.00
