sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"For something local we go to Zabar 's for the cheesecake ; but for the conditions of justice , we are all Athenians .",justice,"case(justice-18, of-17) nmod:of(conditions-16, justice-18) ",NN,,,,,,,,of conditions,of,conditions,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> There are , then , two hallmarks of a truly liberal education : first , it concerns itself with the greatest of human issues , issues such as the nature of love , hate , knowing , truth , loyalty , justice , God , beauty , number , meaning , and death .",justice,"appos(love-33, justice-43) conj:and(hate-35, justice-43) ",NN,,,,,,,,,,,,,,and,hate,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modifier, love",love,,,,,,singular,bare singular,,,unknown,unknown
"They could not be exercised elsewhere , for example , as in a court of justice where many people must be allowed to enter .",justice,"case(justice-16, of-15) nmod:of(court-14, justice-16) ",NN,,,,,,,,of court,of,court,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
It declined to divest on the grounds that the mere sale of shares by one owner to another promised to accomplish nothing in the way of social justice .,justice,"case(justice-28, of-26) amod(justice-28, social-27) nmod:of(way-25, justice-28) ",NN,,,,,,,,of way,of,way,,,,,,,social,[0.014041666666666666],[0.0075],[0.00125],[0.03254166666666667],[0.021916666666666664],[0.01],[0.05854166666666666],[0.0175],[0.026708333333333334],[0.02],[0.7375],[0.0125],[0.04],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Colleges and universities , after all , are obliged to be embodiments of the ancient truth that the use of force and threats is never as satisfying to a person of excellent character as a resolution by persuasion and reason , and that everyone who loves justice reflects this in his behavior .",justice,"dobj(loves-46, justice-47) ",NN,,VBZ,,,loves,love,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
<p> Some colleges and universities seem to me to be losing sight of the irreplaceable power of the habitual and principled love of justice .,justice,"case(justice-24, of-23) nmod:of(love-22, justice-24) ",NN,,,,,,,,of love,of,love,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The practitioners of the methodologies therefore reason , again with justice , that to shake the certainties on which their own particular field of scholarship rests , is likely to destabilize that field .",justice,"case(justice-11, with-10) nmod:with(again-9, justice-11) ",NN,,,,,,,,with again,with,again,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> There is something right , then , about Richard Rorty 's suggestion that "" the old tension between the private and the public remains "" ; there are no necessary connections between private hopes and social justice , but only contingent , practical ones ; and , thus , it is right to abandon a quest for some theory revealing an essential human core , safe beyond time and change , linking up such things .",justice,"amod(justice-38, social-37) cc(justice-38, only-41) conj:only(justice-38, ones-45) nsubj(are-29, justice-38) conj:and(connections-32, justice-38) ",NN,,VBP,are,be,,,,,,,,,,"only, and","ones, connections",,social,[0.014041666666666666],[0.0075],[0.00125],[0.03254166666666667],[0.021916666666666664],[0.01],[0.05854166666666666],[0.0175],[0.026708333333333334],[0.02],[0.7375],[0.0125],[0.04],,,,,,,,,,,,singular,linked,plural,EX-PL,countable,unknown
"detaching us from each thing with humility and humour , and attaching us to all things with justice , charity , and joy . """,justice,"case(justice-18, with-17) conj:and(justice-18, charity-20) cc(justice-18, and-22) conj:and(justice-18, joy-23) nmod:with(things-16, justice-18) ",NN,,,,,,,,with things,with,things,,,,"and, and","charity, joy",,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The writing must not be reduced to psychodrama , whether Freudian or otherwise , if we are going to do justice to either the man or his work .",justice,"dobj(do-20, justice-21) ",NN,,VB,,,do,do,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
In what better way can the professor of Romantic poetry contribute to the spread of social justice ?,justice,"case(justice-17, of-15) amod(justice-17, social-16) nmod:of(spread-14, justice-17) ",NN,,,,,,,,of spread,of,spread,,,,,,,social,[0.014041666666666666],[0.0075],[0.00125],[0.03254166666666667],[0.021916666666666664],[0.01],[0.05854166666666666],[0.0175],[0.026708333333333334],[0.02],[0.7375],[0.0125],[0.04],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The second is whether procedural justice , as Rorty would practice it , is for the liberal a satisfactory antidote to the social misery caused both by our innate proclivities to be cruel and by our equally habitual inattention to suffering when it occurs in places or among people unfamiliar to us .",justice,"amod(justice-6, procedural-5) dep(justice-6, practice-11) nsubj(liberal-17, justice-6) ",NN,,VBZ,is,be,,,,,,,,,,,,,procedural,[0.081875],[0.04875],[0.0075],[0.154375],[0.0525],[0.07166666666666666],[0.09333333333333332],[0.0125],[0.065],[0.0755],[0.05],[0.2095],[0.0775],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"If we abandon hopes for a universal culture based upon a univocal sense of the human , we will then see , as thick describers like Geertz himself have taught us , that such exclusivity is merely "" a necessary and proper condition of self-hood , "" and one that when assumed by a liberal "" we "" such as our own , a "" we "" that has been raised to be suspicious of ethnocentrism to begin with , may well prove to be just what is needed to keep "" the bazaar open , "" to keep "" the institutions of procedural justice functioning . """,justice,"compound(functioning-106, justice-105) ",NN,,,,,,,,,,,,,,,,functioning,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> This brings us to the second point of contention between Geertz and Rorty , which has to do with whether procedural justice as presently conceived is an adequate instrument for the relief of human suffering and humiliation .",justice,"case(justice-23, with-20) amod(justice-23, whether-21) amod(justice-23, procedural-22) dep(justice-23, conceived-26) nmod:with(do-19, justice-23) ",NN,,,,,,,,with do,with,do,,,,,,,"whether, procedural","[0.05875, 0.081875]","[0.0375, 0.04875]","[0.0025, 0.0075]","[0.08349999999999999, 0.154375]","[0.04375, 0.0525]","[0.0925, 0.07166666666666666]","[0.15583333333333335, 0.09333333333333332]","[0.0675, 0.0125]","[0.13691666666666666, 0.065]","[0.10125, 0.0755]","[0.085, 0.05]","[0.0925, 0.2095]","[0.0425, 0.0775]",,,,,,,,,,,,singular,linked,,,unknown,unknown
"Rorty clearly thinks it is , but admits that some clubs , like ours , will view procedural justice as a moral commitment , while others ( e.g.",justice,"amod(justice-19, procedural-18) dobj(view-17, justice-19) ",NN,,VB,,,view,view,,,,,,,,,,,procedural,[0.081875],[0.04875],[0.0075],[0.154375],[0.0525],[0.07166666666666666],[0.09333333333333332],[0.0125],[0.065],[0.0755],[0.05],[0.2095],[0.0775],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"Whatever measure of justice was achieved in this case -- and it was as much , he thinks , as could be decently hoped for -- resulted directly from the integrity and not the deficiency of the procedures involved .",justice,"case(justice-4, of-3) nmod:of(measure-2, justice-4) ",NN,,,,,,,,of measure,of,measure,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"And yet he is convinced that the world would not function at all without an abundance of the "" agents of justice , "" if only because the bias of their own liberal procedures , particularly if they are ironists , has the practical advantage of "" allowing individuals and cultures to get along together without intruding on each other 's privacy , without meddling with each other 's conception of the good . """,justice,"case(justice-22, of-21) nmod:of(agents-20, justice-22) ",NN,,,,,,,,of agents,of,agents,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"It is a distinction he frequently tries to enforce by associating it with other oppositions that are equally indifferent to the claims of the ordinary , like those between justice and love , or irony and common sense , or force and persuasion .",justice,"case(justice-30, between-29) cc(justice-30, and-31) conj:and(justice-30, love-32) nmod:between(those-28, justice-30) ",NN,,,,,,,,between those,between,those,,,,and,love,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Would the historical record bear him out , for instance , in his contention that the vocabulary of self-creation is always and inevitably private , the vocabulary of justice always and necessarily public ?",justice,"case(justice-30, of-29) advmod(justice-30, always-31) advmod(justice-30, public-34) nmod:of(vocabulary-28, justice-30) ",NN,,,,,,,,of vocabulary,of,vocabulary,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,"always, public",,,,,,,,singular,bare singular,,,unknown,unknown
"According to Waldron , a theory of justice in acquiring rights to property "" stipulates an action or a set of actions A , such that anyone who performs A with respect to some resource ipso facto becomes the owner of the resource . """,justice,"case(justice-8, of-7) acl(justice-8, acquiring-10) acl:relcl(justice-8, stipulates-15) nmod:of(theory-6, justice-8) ",NN,,,,,,,,of theory,of,theory,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Therefore , it is reasonable that society adopt conventional norms of justice in holdings that promise to conduce to overall well-being , understood as consequentialistic maximization .",justice,"case(justice-12, of-11) nmod:of(norms-10, justice-12) ",NN,,,,,,,,of norms,of,norms,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Robert Nozick agrees , saying that any adequate theory of justice in acquisition will contain something like the Proviso.",justice,"case(justice-11, of-10) nmod:in(justice-11, acquisition-13) nmod:of(theory-9, justice-11) ",NN,,,,,,,,"in acquisition, of theory","in, of",theory,acquisition,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> The Proviso , it should be noted , is a principle of justice pertaining to original acquisition , not to rectifying past injustice .",justice,"case(justice-14, of-13) acl(justice-14, pertaining-15) nmod:of(principle-12, justice-14) ",NN,,,,,,,,of principle,of,principle,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Consequently , the maxim of his action stands in direct contradiction to the axiom of justice rights .",justice,"compound(rights-17, justice-16) ",NN,,,,,,,,,,,,,,,,rights,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Thus , even at this level , justice is historical !",justice,"nsubj(historical-10, justice-8) ",NN,,DT,is,be,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"The justice of any particular holding is a matter of that holding actually arising through certain specific procedures : namely , those that confer entitlement within the existing justified practice .",justice,"det(justice-2, The-1) nmod:of(justice-2, holding-6) nsubj(matter-9, justice-2) ",NN,,VBZ,is,be,,,,of holding,of,,holding,the,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"The justice of the whole follows from the justice of the parts , not the other way around .",justice,"det(justice-2, The-1) nmod:of(justice-2, whole-5) nsubj(follows-6, justice-2) ",NN,,VBZ,follows,follow,,,,of whole,of,,whole,the,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"The justice of the whole follows from the justice of the parts , not the other way around .",justice,"case(justice-9, from-7) det(justice-9, the-8) nmod:of(justice-9, parts-12) dep(justice-9, way-17) nmod:from(follows-6, justice-9) ",NN,,,,,,,,"of parts, from follows","of, from",follows,parts,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Thus , no characteristic of the whole can be the touchstone of the justice of the whole or of its constituent parts .",justice,"case(justice-14, of-12) det(justice-14, the-13) nmod:of(justice-14, whole-17) nmod:of(touchstone-11, justice-14) ",NN,,,,,,,,"of whole, of touchstone","of, of",touchstone,whole,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The justice of the whole "" distribution "" will depend neither on its presentation of a certain profile , e.g.",justice,"det(justice-2, The-1) nmod:of(justice-2, distribution-7) nsubj(depend-10, justice-2) ",NN,,VB,depend,depend,,,,of distribution,of,,distribution,the,other,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"James O. Grunebaum <p> <p> Buffalo State College <p> 
##4000689 Over the last decade and a half , a group of philosophers has argued that justice is equivalent to or at least involves the historically based entitlement of a person to certain objects.",justice,"nsubj(equivalent-29, justice-27) ",NN,,VBZ,is,be,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"When this historical entitlement theory is conjoined to a theory of self-ownership , it constitutes the libertarian theory of justice , a theory which identifies justice with the rightful entitlement of persons to themselves and to certain objects that they acquire by specified means and to the freedom to use both as they choose .",justice,"case(justice-20, of-19) appos(justice-20, theory-23) nmod:of(theory-18, justice-20) ",NN,,,,,,,,of theory,of,theory,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,"modified, theory",,theory,,,,,singular,bare singular,,,unknown,unknown
"When this historical entitlement theory is conjoined to a theory of self-ownership , it constitutes the libertarian theory of justice , a theory which identifies justice with the rightful entitlement of persons to themselves and to certain objects that they acquire by specified means and to the freedom to use both as they choose .",justice,"dobj(identifies-25, justice-26) ",NN,,VBZ,,,identifies,identify,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
"As such , it is more than merely a theory of distributive justice , for it delineates what it takes to be an exhaustive list of rights , some of which are distributive or economic rights , but one of which is a right of self-ownership which implies a right of self-governance or personal liberty .",justice,"case(justice-13, of-11) amod(justice-13, distributive-12) nmod:of(theory-10, justice-13) ",NN,,,,,,,,of theory,of,theory,,,,,,,distributive,[0.0475],[0.0175],[0.0],[0.0575],[0.0425],[0.017083333333333332],[0.10791666666666666],[0.015],[0.07],[0.13],[0.33],[0.0775],[0.0875],,,,,,,,,,,,singular,linked,,,unknown,unknown
"<p> While various aspects of this libertarian conception of justice have been laboriously investigated , little attention has been devoted to its implications for the theory of civil and criminal remediation.",justice,"case(justice-10, of-9) nmod:of(conception-8, justice-10) ",NN,,,,,,,,of conception,of,conception,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Along the way , I will contend that some of these unexpected results arise due to the exiguous grounding provided for the libertarian scheme of justice by Nozick , and I will suggest that their resolution requires a more ; robust ethical foundation .",justice,"case(justice-26, of-25) nmod:of(scheme-24, justice-26) ",NN,,,,,,,,of scheme,of,scheme,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Remediation and Justice <p> In order to determine which theory of remediation is entailed by the libertarian thesis , it will be necessary to formulate the view of justice which is expounded in that thesis and the concomitant theory of wrongdoing which is implied by it .",justice,"case(justice-29, of-28) nmod:of(view-27, justice-29) ",NN,,,,,,,,of view,of,view,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"So defined , this conception of justice implicitly specifies what sorts of actions are not in agreement with it ( i.e.",justice,"case(justice-7, of-6) nmod:of(conception-5, justice-7) ",NN,,,,,,,,of conception,of,conception,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"And if punitive remedies are inappropriate to an entitlement conception of justice , what sanctions would conform to it in cases of personal injury where the realized harm was intended by its perpetrator -- and , more problematically , in the limiting case of murder ?",justice,"case(justice-12, of-11) nmod:of(conception-10, justice-12) ",NN,,,,,,,,of conception,of,conception,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> Generally , we can say that if any category of attempted remedial action systematically fails to restore a transgressed entitlement , it can not be the response required by the libertarian theory of justice , because it fails to redress the particular injustice identified by that theory .",justice,"case(justice-35, of-34) nmod:of(theory-33, justice-35) ",NN,,,,,,,,of theory,of,theory,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Furthermore , if a suggested response to wrongdoing itself violates someone 's rights , it is forbidden by this theory of justice .",justice,"case(justice-22, of-21) nmod:of(theory-20, justice-22) ",NN,,,,,,,,of theory,of,theory,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"A title to a non-human object is rightful if , and only if , it is acquired by Nozick 's principle of justice in acquisition ( NJA ) or Nozick 's principle of justice in transfer ( NJT ) .",justice,"case(justice-23, of-22) nmod:in(justice-23, acquisition-25) nmod:of(principle-21, justice-23) ",NN,,,,,,,,"in acquisition, of principle","in, of",principle,acquisition,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"A title to a non-human object is rightful if , and only if , it is acquired by Nozick 's principle of justice in acquisition ( NJA ) or Nozick 's principle of justice in transfer ( NJT ) .",justice,"case(justice-34, of-33) nmod:in(justice-34, transfer-36) nmod:of(principle-32, justice-34) ",NN,,,,,,,,"in transfer, of principle","in, of",principle,transfer,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"just if and only if each person 's holdings under some distribution Dx includes , and only includes , those particular objects to which he is entitled by Nozick 's principle of justice in acquisition , transfer , and rectification .",justice,"case(justice-33, of-32) nmod:in(justice-33, acquisition-35) nmod:in(justice-33, transfer-37) nmod:in(justice-33, rectification-40) nmod:of(principle-31, justice-33) ",NN,,,,,,,,"in acquisition, in transfer, in rectification, of principle","in, in, in, of",principle,"acquisition, transfer, rectification",,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"I will argue that if the theory of rights which Nozick defends -- but does not deduce from any more fundamental moral or factual thesis -- is given a particular type of justification , then utility can indeed be introduced to solve the remediation problem without thereby jeopardizing the integrity of Nozick 's libertarian commitment in other spheres of distributive justice .",justice,"case(justice-61, of-59) amod(justice-61, distributive-60) nmod:of(spheres-58, justice-61) ",NN,,,,,,,,of spheres,of,spheres,,,,,,,distributive,[0.0475],[0.0175],[0.0],[0.0575],[0.0425],[0.017083333333333332],[0.10791666666666666],[0.015],[0.07],[0.13],[0.33],[0.0775],[0.0875],,,,,,,,,,,,singular,linked,,,unknown,unknown
<p> Such a justification might enable Nozick to retain the criterion of historical entitlement in all areas of distributive concern except in those instances of rectificatory justice in which the object no longer exists.,justice,"case(justice-27, of-25) amod(justice-27, rectificatory-26) nmod:of(instances-24, justice-27) ",NN,,,,,,,,of instances,of,instances,,,,,,,rectificatory,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Since the wrongful act must always be measured only in terms of its effects upon the offended holder ( or his duly appointed beneficiaries ) of an entitlement , any action taken either purely in order to punish the wrongdoer or to prevent or inhibit future criminal actions , while it may be morally compatible with the libertarian criterion of justice , receives no additional support from it .",justice,"case(justice-61, of-60) nmod:of(criterion-59, justice-61) ",NN,,,,,,,,of criterion,of,criterion,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Libertarian theory , it can be maintained , ought to recognize this difference by insinuating a retributive constituent into its conception of criminal justice .",justice,"case(justice-24, of-22) amod(justice-24, criminal-23) nmod:of(conception-21, justice-24) ",NN,,,,,,,,of conception,of,conception,,,,,,,criminal,[0.0725],[0.023125],[0.015],[0.10275000000000001],[0.055],[0.045],[0.13125],[0.015],[0.081625],[0.04724999999999999],[0.21],[0.059000000000000004],[0.1425],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Hence , justice must consist exclusively in replacement , restoration , or compensation from a specific individual or individuals .",justice,"nsubj(consist-5, justice-3) ",NN,,VB,consist,consist,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> Given the radical "" restorationism "" implied by the libertarian entitlement theory , it is not surprising that one of its adherents has defended restitution as a substitute for punishment in the allocation of criminal justice .",justice,"case(justice-37, of-35) amod(justice-37, criminal-36) nmod:of(allocation-34, justice-37) ",NN,,,,,,,,of allocation,of,allocation,,,,,,,criminal,[0.0725],[0.023125],[0.015],[0.10275000000000001],[0.055],[0.045],[0.13125],[0.015],[0.081625],[0.04724999999999999],[0.21],[0.059000000000000004],[0.1425],,,,,,,,,,,,singular,linked,,,unknown,unknown
"What Randy Barnett , 12 in an essay arguing for the elimination of retributivist and utilitarian standards of criminal justice , did not do was to explicitly link his restitutionism to the entitlement theory so obviously embraced by him .",justice,"case(justice-20, of-18) amod(justice-20, criminal-19) nmod:of(12-5, justice-20) ",NN,,,,,,,,of 12,of,12,,,,,,,criminal,[0.0725],[0.023125],[0.015],[0.10275000000000001],[0.055],[0.045],[0.13125],[0.015],[0.081625],[0.04724999999999999],[0.21],[0.059000000000000004],[0.1425],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The existence of an inexhaustible source of property would have vast moral implications for the justice or injustice of the institution of private property , the accumulation of property as wealth , and the distribution of that wealth .",justice,"case(justice-16, for-14) det(justice-16, the-15) cc(justice-16, or-17) conj:or(justice-16, injustice-18) nmod:of(justice-16, institution-21) nmod:for(implications-13, justice-16) ",NN,,,,,,,,"of institution, for implications","of, for",implications,institution,the,definite article,or,injustice,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"<p> Of course , issues of distributive justice , implicit in the concerns of Held and Barry , are not thereby solved , for not all of us are intelligent enough ( or intelligent in the right way ) to think up ideas of sufficient novelty and value to be worth protection by patent or copyright .",justice,"case(justice-8, of-6) amod(justice-8, distributive-7) nmod:of(issues-5, justice-8) ",NN,,,,,,,,of issues,of,issues,,,,,,,distributive,[0.0475],[0.0175],[0.0],[0.0575],[0.0425],[0.017083333333333332],[0.10791666666666666],[0.015],[0.07],[0.13],[0.33],[0.0775],[0.0875],,,,,,,,,,,,singular,linked,,,unknown,unknown
