sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
Students could use the alphanumeric keys to type answers to these questions .,keys,"det(keys-6, the-4) amod(keys-6, alphanumeric-5) dobj(use-3, keys-6) ",NNS,,VB,,,use,use,,,,,,the,,,,alphanumeric,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"<p> To instruct EUREKA to solve this set of equations , the researcher simply presses the ALT key and the S key simultaneously .",key,"det(key-18, the-16) compound(key-18, ALT-17) cc(key-18, and-19) conj:and(key-18, key-22) dobj(presses-15, key-18) ",NN,,VBZ,,,presses,press,,,,,,the,and,key,alt,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> To instruct EUREKA to solve this set of equations , the researcher simply presses the ALT key and the S key simultaneously .",key,"det(key-22, the-20) compound(key-22, S-21) dobj(presses-15, key-22) conj:and(key-18, key-22) ",NN,,VBZ,,,presses,press,,,,,,the,and,key,s,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> I believe it is possible that in this vision of spiritually inspired Earthwarriors -- the new berserkers -- may lie the key to the problem that has thus far blocked any real progress on disarmament , namely , the issue of economic conversion , or how are we going to turn swords into ploughshares .",key,"det(key-23, the-22) dobj(lie-21, key-23) ",NN,,VB,,,lie,lie,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
<p> The key to this self-identification with the world-denied self is the unique knowledge Jesus has of God .,key,"det(key-3, The-2) nmod:to(key-3, self-identification-6) nsubj(knowledge-14, key-3) ",NN,,DT,is,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
<p> The key to unraveling Newton 's mind on this fundamental issue is Maimonides .,key,"det(key-3, The-2) acl(key-3, unraveling-5) nsubj(Maimonides-14, key-3) ",NN,,DT,is,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"This is the one issue on which the two men differ markedly ; so , it will be the key for decision-making by the Iowa voters .",key,"advmod(key-20, so-14) nsubj(key-20, it-16) aux(key-20, will-17) cop(key-20, be-18) det(key-20, the-19) nmod:for(key-20, decision-making-22) nmod:by(key-20, voters-26) parataxis(issue-5, key-20) ",NN,,VB,,,be,be,,by voters,by,,voters,the,,,,,,,,so,,,,will,,,,singular,ambiguous,[],unknown,nonverdical
( n28 ) Jan Swyngedouv believes that the particular pattern of syncretizing such various foreign religions as Buddhism and Confucianism in Japan is an important key to understanding the nature and structure of Japanese religion .,key,"mark(key-26, that-7) nsubj(key-26, pattern-10) cop(key-26, is-23) det(key-26, an-24) amod(key-26, important-25) acl(key-26, understanding-28) ccomp(believes-6, key-26) ",NN,,VBZ,,,is,be,,,,,,an,,,,important,,,,,,,,,that,an,unit,singular,singular,['A+N'],countable,nonverdical
40 <p> The key to realizing the infinite value of the person is the recognition that he is created in the image of God .,key,"nummod(key-4, <p>-2) det(key-4, The-3) acl(key-4, realizing-6) nsubj(recognition-15, key-4) ",NN,,VBZ,is,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
We must make it possible as a nation for everyone who is seeking a job to find employment within a reasonable amount of time Our emphasis on this goal is based on the conviction that human work has a special dignity and is a key to achieving justice in society.,key,"cop(key-45, is-43) det(key-45, a-44) acl(key-45, achieving-47) ccomp(find-17, key-45) conj:and(has-38, key-45) ",NN,,VB,,,find,find,,,,,,a,and,has,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"<p> It has become commonplace to assert that "" the teacher is the key to what happens in the classroom , "" following Stake and Easley 's ( 1978 ) use of that phrase .",key,"nsubj(key-14, teacher-11) cop(key-14, is-12) det(key-14, the-13) acl(key-14, happens-17) acl:relcl(that-8, key-14) ",NN,,VBZ,,,is,be,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"The work of Ehman ( 1980a , 1980b ) is specifically highlighted as a key to exploring the effects of a teacher 's personality in the classroom on the student 's attitudes and values .",key,"case(key-15, as-13) det(key-15, a-14) acl(key-15, exploring-17) nmod:as(highlighted-12, key-15) ",NN,,,,,,,,as highlighted,as,highlighted,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
<p> Stanley reports on a second group of researchers who stressed teachers ' specific knowledge of subject matter as well as school-classroom contexts as the keys for judging competence .,keys,"case(keys-26, as-24) det(keys-26, the-25) nmod:as(contexts-23, keys-26) ",NNS,,,,,,,,as contexts,as,contexts,,the,,,,,,,,,,,,,,,,plural,,[],unknown,unknown
"<p> It appears that parenting style is a key to achievement in school . """,key,"mark(key-9, that-4) nsubj(key-9, style-6) cop(key-9, is-7) det(key-9, a-8) nmod:to(key-9, achievement-11) ccomp(appears-3, key-9) ",NN,,VBZ,,,is,be,,to achievement,to,,achievement,a,,,,,,,,,,,,,that,a,unit,singular,singular,['A+N'],countable,nonverdical
"For researchers , he points to metacognitive reflection and the need to place all learning in an instructional , a curricular , and an institutional context as a possible key to advancing thinking and decision making in the classroom .",key,"case(key-30, as-27) det(key-30, a-28) amod(key-30, possible-29) acl(key-30, advancing-32) nmod:as(place-13, key-30) ",NN,,,,,,,,as place,as,place,,a,,,,possible,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Service is a critical part of citizenship in the same way that application is the key to learning ; and service fosters a connection , even a passion , to help others .",key,"mark(key-16, that-12) nsubj(key-16, application-13) cop(key-16, is-14) det(key-16, the-15) acl(key-16, learning-18) ccomp(part-5, key-16) ",NN,,VBZ,,,is,be,,,,,,the,,,,,,,,,,,,,that,,,singular,singular,[],unknown,nonverdical
"This statement becomes the rim of the term paper wheel , and it helps pinpoint the hub of the wheel , which is a key to a unified term paper .",key,"nsubj(key-25, wheel-20) cop(key-25, is-23) det(key-25, a-24) nmod:to(key-25, paper-30) acl:relcl(wheel-20, key-25) ",NN,,DT,,,is,be,,to paper,to,,paper,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"For the time being , I keep my key in my pocket . """,key,"nmod:poss(key-9, my-8) dobj(keep-7, key-9) ",NN,,VBP,,,keep,keep,,,,,,,,,,,,my,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
The key is probably the extent and speed of unification itself .,key,"det(key-2, The-1) nsubj(extent-6, key-2) ",NN,,VBZ,is,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> The substantive key is EMU , which now seems likely by mid-decade .",key,"det(key-4, The-2) amod(key-4, substantive-3) nsubj(EMU-6, key-4) ",NN,,VBZ,is,be,,,,,,,,the,,,,substantive,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> On trade , the immediate key is a successful completion of the Uruguay Round that would convincingly resume market liberalization and refurbish the credibility of the GATT .",key,"det(key-7, the-5) amod(key-7, immediate-6) nsubj(completion-11, key-7) ",NN,,VBZ,is,be,,,,,,,,the,,,,immediate,,,,,,,,,,,,singular,singular,[],unknown,unknown
represent a key to the maintenance of patriarchal control just as relations of compliance and/or competition among women are important in perpetuating that control.,key,"det(key-3, a-2) dobj(represent-1, key-3) ",NN,,VB,,,represent,represent,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"Unified Plan for Jordan Valley Development ( the "" Johnston Plan "" ) <p> The key to the U.S. plan to resettle the Palestinian refugees was the need for increased economic development in the Arab host states .",key,"det(key-16, The-15) dobj(<p>-14, key-16) ",NN,,,,,,,,,,,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
The key to the possible success of such a scheme is the content of the possible entrenched provisions .,key,"det(key-2, The-1) nmod:to(key-2, success-6) nsubj(content-13, key-2) ",NN,,VBZ,is,be,,,,to success,to,,success,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"For instance , political puppets , dependent on the Americans , were depicted with little wind-up keys made of a dollar sign n14 .",keys,"case(keys-17, with-14) amod(keys-17, little-15) amod(keys-17, wind-up-16) acl(keys-17, made-18) nmod:with(depicted-13, keys-17) ",NNS,,,,,,,,with depicted,with,depicted,,,,,,little,,,,,,,,,,,,plural,,[],unknown,unknown
"Muir argues that "" The key to the Reagan administration is its rhetorical character .",key,"det(key-6, The-5) nmod:to(key-6, administration-10) nsubj(character-14, key-6) ",NN,,VBZ,is,be,,,,to administration,to,,administration,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"The banding together of relatives and friends in rented rooms and tiny apartments , which had once lessened the impact of an often hostile environment , now became a key to survival .",key,"det(key-30, a-29) xcomp(became-28, key-30) ",NN,,VBD,,,became,become,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
The private sectors in both Latin America and the United States hold the key .,key,"det(key-14, the-13) dobj(hold-12, key-14) ",NN,,VBP,,,hold,hold,,,,,,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"The outcome was by no means pre-ordained , and analysis of the political and economic disintegration that occurred sheds light on issues key to successful reform : particularly ( a ) the manner in which the debate over reform is presented , and ( b ) the nature of the party in power .",key,"amod(key-23, light-20) dobj(sheds-19, key-23) ",NN,,VBZ,,,sheds,shed,,,,,,,,,,light,,,,,,,,,,,,singular,singular,[],unknown,unknown
Democratic reform involves inclusion of as many social sectors as possible and requires eliciting their cooperation ; key to its success is a delicate process of consensus building .,key,"nmod:to(key-18, success-21) nsubj(process-25, key-18) ",NN,,VBZ,is,be,,,,to success,to,,success,,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"While in the mountain villages of western Crete , it often does become the means of expressing a hierarchy of patrilineal groupings , it is the basic rhetorical key to all other kinds of relative social division as well .",key,"advcl(key-29, become-13) nsubj(key-29, it-24) cop(key-29, is-25) det(key-29, the-26) amod(key-29, basic-27) amod(key-29, rhetorical-28) nmod:to(key-29, kinds-33) advmod(key-29, as-38) root(ROOT-0, key-29) ",NN,,VBZ,,,is,be,,to kinds,to,,kinds,the,,,,"basic, rhetorical",,,,as,,,,,,,,singular,singular,[],unknown,unknown
St. George is an equestrian saint and is usually so represented in icons and wall-paintings ; villagers are aware of this as a key to recognizing his identity .,key,"case(key-24, as-22) det(key-24, a-23) nmod:as(this-21, key-24) ",NN,,,,,,,,as this,as,this,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
<p> The key to Sahlins 's analysis lies in the attention he draws to the three-party structure of the transactions in the Maori text .,key,"det(key-3, The-2) nmod:to(key-3, analysis-7) nsubj(lies-8, key-3) ",NN,,VBZ,lies,lie,,,,to analysis,to,,analysis,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
The subtext of Nampas 's initial dispersal of stones with his talk about John Frum was an evocation of his geographic copyright to this ritual communicative key .,key,"case(key-27, to-23) det(key-27, this-24) compound(key-27, ritual-25) compound(key-27, communicative-26) nmod:to(evocation-18, key-27) ",NN,,,,,,,,to evocation,to,evocation,,this,,,"ritual, communicative",,,,,,,,,,,,,singular,,[],unknown,unknown
"Circumcision became the key to marking the Jewish body as different within the perimeters of "" healthy "" or "" diseased , "" and Freud eventually responded to this label of difference .",key,"det(key-4, the-3) xcomp(became-2, key-4) ",NN,,VBD,,,became,become,,,,,,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"They told the complete truth about the world , past , present , and future , on the basis of a crucial key ( class , race , or nation ) to all human endeavors .",key,"case(key-23, of-20) det(key-23, a-21) amod(key-23, crucial-22) dep(key-23, class-25) dep(key-23, race-27) dep(key-23, nation-30) nmod:of(basis-19, key-23) ",NN,,,,,,,,of basis,of,basis,,a,,,,crucial,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Yet they all seemed to agree with the bold , probably purposely provocative judgment that Mikhail Gorbachev is a key not only to a peaceful but to a just future on the international stage .",key,"mark(key-20, that-15) nsubj(key-20, Gorbachev-17) cop(key-20, is-18) det(key-20, a-19) nmod:to(key-20, peaceful-25) cc(key-20, but-26) ccomp(agree-6, key-20) ",NN,,VBZ,,,is,be,,to peaceful,to,,peaceful,a,,,,,,,,,,,,,that,a,unit,singular,singular,['A+N'],countable,nonverdical
The key to repairing the process is to change the incentive structure so that Congress does not identify its interests with detailed oversight of every aspect of the defense budget .,key,"det(key-2, The-1) acl(key-2, repairing-4) nsubj(is-7, key-2) nsubj(change-9, key-2) ",NN,,VBZ,is,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> The key here is an "" active manipulation "" of nominal exchange rates .",key,"det(key-3, The-2) nmod:npmod(here-4, key-3) ",NN,,,,,,,,npmod here,npmod,here,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Consequently , SSI represents a key to access to other benefits as well .",key,"det(key-6, a-5) acl(key-6, access-8) dobj(represents-4, key-6) ",NN,,VBZ,,,represents,represent,,,,,,a,,,,,,,,,,,,,,a,unit,singular,singular,['A+N'],countable,unknown
It is first during the process of assessment and program planning that the key to success is established in the relationship between specialist and student .,key,"det(key-14, the-13) nmod:to(key-14, success-16) nsubjpass(established-18, key-14) ",NN,,VBN,established,establish,,,,to success,to,,success,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The key to the success of those programs is that "" .",key,"det(key-2, The-1) nmod:to(key-2, success-5) nsubj(that-10, key-2) ",NN,,VBZ,is,be,,,,to success,to,,success,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"<p> The first key to maintaining social work standards in for-profit hospitals is to screen early , involve as many disciplines as appropriate , and provide aggressively the most complete range of clinical social work services possible .",key,"det(key-4, The-2) amod(key-4, first-3) acl(key-4, maintaining-6) nsubj(is-13, key-4) nsubj(screen-15, key-4) nsubj(involve-18, key-4) nsubj(provide-26, key-4) ",NN,,VBZ,is,be,,,,,,,,the,,,,first,,,,,,,,,,,,singular,singular,[],unknown,unknown
<p> The second key is for the social work department to grow as its organizational and corporate environment grows .,key,"det(key-4, The-2) amod(key-4, second-3) nsubj(department-10, key-4) nsubj(grow-12, key-4) ",NN,,VBZ,is,be,,,,,,,,the,,,,second,,,,,,,,,,,,singular,singular,[],unknown,unknown
"To the contrary , interest groups have realized that casting policy objectives in terms of some alleged deprivation of constitutional rights is the key to any successful court strategy .",key,"mark(key-24, that-9) nsubj(key-24, objectives-12) cop(key-24, is-22) det(key-24, the-23) nmod:to(key-24, strategy-29) ccomp(realized-8, key-24) ",NN,,VBZ,,,is,be,,to strategy,to,,strategy,the,,,,,,,,,,,,,that,,,singular,singular,[],unknown,nonverdical
( n21 ) CONCLUSION <p> Cooperation is the key to many things in China .,key,"nsubj(key-9, Cooperation-6) cop(key-9, is-7) det(key-9, the-8) nmod:to(key-9, things-12) ccomp(<p>-5, key-9) ",NN,,VBZ,,,is,be,,to things,to,,things,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
We believe that the realization of the above proposals as soon as possible is the key to whether mainland China can reach democracy .,key,"mark(key-16, that-3) nsubj(key-16, realization-5) cop(key-16, is-14) det(key-16, the-15) acl(key-16, reach-22) ccomp(believe-2, key-16) ",NN,,VBZ,,,is,be,,,,,,the,,,,,,,,,,,,,that,,,singular,singular,[],unknown,nonverdical
<p> The restrictions on the opposition parties ' freedom of speech may be based on the following propositions : The party in power and the present government represent the interests of the people and hold the key to truth .,key,"det(key-37, the-36) dobj(hold-35, key-37) ",NN,,VBP,,,hold,hold,,,,,,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"The key lies in acknowledging the mistakes when they occur , in learning from mistakes so that they can be turned into a positive asset , and in the process of correcting mistakes , to learn to govern our country democratically .",key,"det(key-2, The-1) nsubj(lies-3, key-2) nsubj(learn-36, key-2) nsubj(govern-38, key-2) ",NN,,VBZ,lies,lie,,,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"In any political system , the distribution of the unit 's capabilities is a key to explanation .",key,"nmod:in(key-15, system-4) nsubj(key-15, distribution-7) cop(key-15, is-13) det(key-15, a-14) nmod:to(key-15, explanation-17) root(ROOT-0, key-15) ",NN,,VBZ,,,is,be,,"in system, to explanation","in, to",,"system, explanation",a,,,,,,,,,,,,,,a,unit,singular,singular,['A+N'],countable,unknown
<p> Is microanalysis the key to international analysis ?,key,"advmod(key-5, <p>-1) cop(key-5, Is-2) nsubj(key-5, microanalysis-3) det(key-5, the-4) nmod:to(key-5, analysis-8) root(ROOT-0, key-5) ",NN,,VBD,,,Is,is,,to analysis,to,,analysis,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Because early enforcement is often the key to an effective response , the more flexible administrative probable cause standard is more appropriate for most environmental inspections .",key,"mark(key-7, Because-1) nsubj(key-7, enforcement-3) cop(key-7, is-4) advmod(key-7, often-5) det(key-7, the-6) nmod:to(key-7, response-11) advcl(appropriate-22, key-7) ",NN,,VBZ,,,is,be,,to response,to,,response,the,,,,,,,,often,,,,,because,,,singular,singular,[],unknown,nonverdical
Since the 1700s key educators have noted that thinking during reading is the crucial act in learning to read .,key,"case(key-4, Since-1) det(key-4, the-2) amod(key-4, 1700s-3) nmod:since(noted-7, key-4) ",NN,,,,,,,,since noted,since,noted,,the,,,,1700s,,,,,,,,,,,,singular,,[],unknown,unknown
<p> The board of education and administrators of a school district possess the key to instituting site-based management .,key,"det(key-14, the-13) acl(key-14, instituting-16) dobj(possess-12, key-14) ",NN,,VBP,,,possess,possess,,,,,,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
Growth is related closely to both successes and failures and the key is to occasionally face life 's challenges alone .,key,"det(key-12, the-11) nsubj(is-13, key-12) nsubj(face-16, key-12) ",NN,,VBZ,is,be,,,,,,,,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"However , the key for the CAS , and other experimental methods , is their relationship to interventions and the treatment validity of the scores .",key,"det(key-4, the-3) nmod:for(key-4, CAS-7) nmod:for(key-4, methods-12) nsubj(relationship-16, key-4) ",NN,,VBZ,is,be,,,,"for CAS, for methods","for, for",,"cas, methods",the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
<p> The key to instructional development activities is to ensure that full-time and part-time faculty share developmental activities .,key,"det(key-3, The-2) nmod:to(key-3, activities-7) nsubj(is-8, key-3) nsubj(ensure-10, key-3) ",NN,,VBZ,is,be,,,,to activities,to,,activities,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
Instructors must also understand that self-planned learning activities are a key to developing essential skill and knowledge about becoming more effective in their instructional roles .,key,"mark(key-11, that-5) nsubj(key-11, activities-8) cop(key-11, are-9) det(key-11, a-10) acl(key-11, developing-13) ccomp(understand-4, key-11) ",NN,,VBP,,,are,be,,,,,,a,,,,,,,,,,,,,that,a,unit,singular,plural,"['A+N', 'EX-PL']",countable,nonverdical
"<p> Trust , good judgment , and expertise are the keys to the development of a presidential image that fosters internalization as a response to influence .",keys,"nsubj(keys-11, Trust-2) nsubj(keys-11, judgment-5) nsubj(keys-11, expertise-8) cop(keys-11, are-9) det(keys-11, the-10) nmod:to(keys-11, development-14) root(ROOT-0, keys-11) ",NNS,,VBP,,,are,be,,to development,to,,development,the,,,,,,,,,,,,,,,,plural,plural,[],unknown,unknown
De tailed test specifications are the key to content validation .,key,"nsubj(key-7, specifications-4) cop(key-7, are-5) det(key-7, the-6) acl(key-7, content-9) ccomp(tailed-2, key-7) ",NN,,VBP,,,are,be,,,,,,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"To teachers this may appear to be an obvious fact , but discussing its implications may , for students , be the key to their affirmation of , and interest in , the music of other cultures .",key,"csubj(key-23, discussing-13) aux(key-23, may-16) nmod:for(key-23, students-19) cop(key-23, be-21) det(key-23, the-22) nmod:to(key-23, affirmation-26) conj:but(appear-5, key-23) ",NN,,,,,,,,"for students, to affirmation","for, to",,"students, affirmation",the,but,appear,,,,,,,,,,may,,,,singular,,[],unknown,nonverdical
"The key to success of these activities is that they be directly related to characteristics of the music , with responses required that necessitate attentive listening .",key,"det(key-2, The-1) nmod:to(key-2, success-4) nsubj(is-8, key-2) ",NN,,VBZ,is,be,,,,to success,to,,success,the,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
<p> The keys to successful borrowing are to maintain a clear idea of one 's own educational objectives and to subject borrowed ideas to critical scrutiny .,keys,"det(keys-3, The-2) nmod:to(keys-3, borrowing-6) nsubj(are-7, keys-3) ",NNS,,VBP,are,be,,,,to borrowing,to,,borrowing,the,,,,,,,,,,,,,,,,plural,plural,[],unknown,unknown
"<p> Materials : "" Theme and Variations "" student packets ( including selected poems about stars , listening guides , a picture of Mozart , and "" Twinkle "" music in variety of keys ) <p> Star cards for rhythm game <p> White construction paper for T-V art project <p> Markers or crayons <p> Rhythm instruments <p> Tape or record player <p> "" Pizza Rappin ' Party "" poem ( figure 1 ) and selected poems about stars <p> Jannat Messenger , Twinkle , Twinkle , Little Star : A Lullaby Book with Lights and Music ( See selected readings . )",keys,"case(keys-34, of-33) nmod:of(variety-32, keys-34) ",NNS,,,,,,,,of variety,of,variety,,,,,,,,,,,,,,,,,,plural,,[],unknown,unknown
"From cassette tape Somewhere Over The Rainbow , Columbia PCT 36883 ( instrumental variation -- key of G ) .",key,"nmod:of(key-16, G-18) dep(variation-14, key-16) ",NN,,,,,,,,of G,of,,g,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Pitch is designated by depressing a key , loudness is a function of how much air is being blown into the instrument ( breath control ) , and timbre is usually determined by settings on the tone generator .",key,"det(key-7, a-6) dobj(depressing-5, key-7) ",NN,,VBG,,,depressing,depress,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"It has a three-octave range and can transpose to the keys of C , F , G , and B(1) .",keys,"case(keys-11, to-9) det(keys-11, the-10) nmod:of(keys-11, C-13) nmod:of(keys-11, F-15) nmod:of(keys-11, G-17) nmod:of(keys-11, B-20) appos(keys-11, 1-22) nmod:to(transpose-8, keys-11) ",NNS,,,,,,,,"of C, of F, of G, of B, to transpose","of, of, of, of, to",transpose,"c, f, g, b",the,,,,,,,,,"modified, 1",,1,,,,,plural,,[],unknown,unknown
"The keys are similar to spring-activated keys , giving the instrument a very natural feel .",keys,"det(keys-2, The-1) nsubj(similar-4, keys-2) ",NNS,,VBP,are,be,,,,,,,,the,,,,,,,,,,,,,,,,plural,plural,[],unknown,unknown
"The keys are similar to spring-activated keys , giving the instrument a very natural feel .",keys,"case(keys-7, to-5) amod(keys-7, spring-activated-6) nmod:to(similar-4, keys-7) ",NNS,,,,,,,,to similar,to,similar,,,,,,,,,,,,,,,,,,plural,,[],unknown,unknown
"The instrument 's five "" octave "" keys are controlled by the left-hand thumb and provide the performer with a seven-octave range .",keys,"compound(keys-8, octave-6) nsubjpass(controlled-10, keys-8) nsubj(provide-16, keys-8) ",NNP,,VBP,provide,provide,,,,,,,,,,,octave,,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
The WXll/WTll can play in any key ; list price for the combination is $995 .,key,"case(key-7, in-5) det(key-7, any-6) nmod:in(play-4, key-7) ",NN,,,,,,,,in play,in,play,,any,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
