sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
It made no difference whether the homicide involved a robbery -- the victim only need be white to assure a conviction .,robbery,"det(robbery-10, a-9) dobj(involved-8, robbery-10) ",NN,,VBD,,,involved,involve,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"Harwood is doing time for armed robbery , although he really does n't fit the social-science profile of a felon : <p> Most of the other inmates were pretty easy to figure out , <p> the patterns were there -- poverty , abuse , history of criminality m the family , impulsiveness .",robbery,"case(robbery-7, for-5) amod(robbery-7, armed-6) nmod:for(doing-3, robbery-7) ",NN,,,,,,,,for doing,for,doing,,,,,,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"Here , students were cast in the role of the "" thin blue line "" that protected "" civilization "" against hordes of thugs and ruffians intent on murder , rape , and robbery .",robbery,"dep(role-8, robbery-34) conj:and(line-14, robbery-34) nsubj(protected-17, robbery-34) ",NN,,VBD,protected,protect,,,,,,,,,and,line,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The bill proposed to rule out the possibility of bail being granted to suspects in cases of murder , aggravated robbery , and treason .",robbery,"amod(robbery-21, aggravated-20) nmod:of(cases-16, robbery-21) conj:and(murder-18, robbery-21) ",NN,,,,,,,,of cases,of,cases,,,and,murder,,aggravated,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> For example , a witness to an armed bank robbery may remember details about a weapon used by a robber very accurately .",robbery,"case(robbery-11, to-7) det(robbery-11, an-8) amod(robbery-11, armed-9) compound(robbery-11, bank-10) nmod:to(witness-6, robbery-11) ",NN,,,,,,,,to witness,to,witness,,an,,,bank,armed,,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
"However , because of this focused attention on the weapon , he or she may be less able to recall details concerning the color of the walls of the bank compared with a witness who was in the bank earlier but did not witness a robbery ( Christianson &; Hubinette , 1993 ; Cutler &; Penrod , 1988 ) .",robbery,"det(robbery-46, a-45) dobj(witness-44, robbery-46) ",NN,,NN,,,witness,witness,not,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,verdical
"Local mainland officials at first tried to claim the boat fire was an accident , but later they had to admit it was meant to disguise a robbery attempt and murder .",robbery,"compound(attempt-29, robbery-28) ",NN,,VB,,,disguise,disguise,,,,,,,,,attempt,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> In June 1952 , the police department covering robbery and fraud in Rio de Janeiro arrested a number of CEXIM functionaries .",robbery,"cc(robbery-10, and-11) conj:and(robbery-10, fraud-12) dobj(covering-9, robbery-10) ",NN,,VBG,,,covering,cover,,,,,,,and,fraud,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Between 1973 and 1993 , Davis was arrested at least 17 times ( often for multiple crimes ) : 10 times for burglary , twice for contributing to the delinquency of a minor , twice for possession of a dangerous weapon , twice for robbery , twice for kidnapping , and once for jail escape , vehicle tampering , possession of marijuana , attempted armed robbery , attempted kidnapping , assault , attempted oral copulation , obstructing a police officer , and auto theft .",robbery,"advmod(robbery-45, twice-43) case(robbery-45, for-44) nmod:for(delinquency-30, robbery-45) ",NN,,,,,,,,for delinquency,for,delinquency,,,,,,,,,,twice,,,,,,,,singular,,[],unknown,unknown
"Between 1973 and 1993 , Davis was arrested at least 17 times ( often for multiple crimes ) : 10 times for burglary , twice for contributing to the delinquency of a minor , twice for possession of a dangerous weapon , twice for robbery , twice for kidnapping , and once for jail escape , vehicle tampering , possession of marijuana , attempted armed robbery , attempted kidnapping , assault , attempted oral copulation , obstructing a police officer , and auto theft .",robbery,"amod(robbery-66, attempted-64) amod(robbery-66, armed-65) appos(robbery-66, kidnapping-69) conj:and(robbery-66, assault-71) cc(robbery-66, and-82) conj:and(robbery-66, theft-84) appos(burglary-23, robbery-66) ",NN,,,,,,,,,,,,,"and, and","assault, theft",,"attempted, armed",,,,,"modified, kidnapping, modifier, burglary",burglary,kidnapping,,,,,singular,,[],unknown,unknown
<p> Consider the four robbery scenarios outlined in the survey .,robbery,"compound(scenarios-6, robbery-5) ",NN,,VB,,,Consider,consider,,,,,,,,,scenarios,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"For this robbery , 75 percent of the respondents recommended prison with an average term of five years and eight months .",robbery,"case(robbery-3, For-1) det(robbery-3, this-2) nmod:for(recommended-10, robbery-3) ",NN,,,,,,,,for recommended,for,recommended,,this,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"In the fourth scenario , the offender shot the victim to death when the victim struggled during the robbery attempt .",robbery,"compound(attempt-20, robbery-19) ",NN,,,,,,,,,,,,,,,attempt,,,,,,,,,,,,,singular,,[],unknown,unknown
"For this robbery and homicide , 30 percent of the respondents recommended the death penalty and another 67 percent recommended prison as the most serious penalty with an average term of 26 years .",robbery,"case(robbery-3, For-1) det(robbery-3, this-2) cc(robbery-3, and-4) conj:and(robbery-3, homicide-5) nmod:for(recommended-12, robbery-3) ",NN,,,,,,,,for recommended,for,recommended,,this,and,homicide,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Violence , rape , murder , abuse of the young , drug and alcohol abuse , as well as robbery abound in the societal arena .",robbery,"nmod:of(abuse-7, robbery-20) conj:and(abuse-15, robbery-20) ",NN,,,,,,,,of abuse,of,abuse,,,and,abuse,,,,,,,,,,,,,,singular,,[],unknown,unknown
"African-American adolescents often are exposed to forms of violence ranging from rape , murder , sexual abuse , incest , aggravated physical assault , arson , and armed robbery .",robbery,"amod(robbery-29, armed-28) nmod:from(ranging-10, robbery-29) conj:and(rape-12, robbery-29) ",NN,,,,,,,,from ranging,from,ranging,,,and,rape,,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"</P> Table 1 presents the results of a multivariate analysis using , as an outcome measure , police data on arrests for violent crime -- which included homicide , aggravated battery , battery , aggravated assault , assault , armed robbery , and robbery -- in the three-year project period for program and comparison group youths .",robbery,"amod(robbery-41, armed-40) dobj(included-27, robbery-41) conj:and(homicide-28, robbery-41) ",NN,,VBD,,,included,include,,,,,,,and,homicide,,armed,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"</P> Table 1 presents the results of a multivariate analysis using , as an outcome measure , police data on arrests for violent crime -- which included homicide , aggravated battery , battery , aggravated assault , assault , armed robbery , and robbery -- in the three-year project period for program and comparison group youths .",robbery,"dobj(included-27, robbery-44) conj:and(homicide-28, robbery-44) ",NN,,VBD,,,included,include,,,,,,,and,homicide,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Since 1988 the arrest rates of juveniles for serious violent crimes including aggravated assault , robbery , and murder have increased by 50 percent .",robbery,"nmod:including(crimes-11, robbery-16) conj:and(assault-14, robbery-16) ",NN,,,,,,,,including crimes,including,crimes,,,and,assault,,,,,,,,,,,,,,singular,,[],unknown,unknown
Children who are coerced to join with their friends in a robbery or rape are accomplices in violent acts .,robbery,"case(robbery-12, in-10) det(robbery-12, a-11) cc(robbery-12, or-13) conj:or(robbery-12, rape-14) nmod:in(join-6, robbery-12) ",NN,,,,,,,,in join,in,join,,a,or,rape,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
Many studies find that males are more likely than females to be the victims of assault and/or robbery ( Kennedy and Forde 1990 ; Lauritsen et al .,robbery,"case(robbery-18, of-15) compound(robbery-18, assault-16) compound(robbery-18, and/or-17) dep(robbery-18, Kennedy-20) dep(robbery-18, Forde-22) dep(robbery-18, Lauritsen-25) dep(robbery-18, al-27) nmod:of(victims-14, robbery-18) ",NN,,,,,,,,of victims,of,victims,,,,,assault,,,,,,,,,,,,,singular,,[],unknown,unknown
"Also , buyers of drugs are unlikely to report to police a robbery , theft , assault , or other crime that occurred when the victim was using ( Goldstein 1985 ) or in the act of buying drugs .",robbery,"det(robbery-13, a-12) conj:or(robbery-13, theft-15) conj:or(robbery-13, assault-17) cc(robbery-13, or-19) conj:or(robbery-13, crime-21) dobj(police-11, robbery-13) ",NN,,VB,,,police,police,,,,,,a,"or, or, or","theft, assault, crime",,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"Violent victimization included incidents of robbery , assault ( attack ) , threats of assault , or rape .",robbery,"case(robbery-6, of-5) nmod:of(incidents-4, robbery-6) ",NN,,,,,,,,of incidents,of,incidents,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"For example , the robbery rate for IDUs was 84.4 ( number of IDUs robbed per 1,000 IDUs ) and the robbery incident rate was 142.9 ( number of robbery incidents per 1,000 IDUs ) compared with 10.9 per 1,000 urban residents .",robbery,"compound(rate-6, robbery-5) ",NN,,,,,,,,,,,,,,,rate,,,,,,,,,,,,,singular,,[],unknown,unknown
"For example , the robbery rate for IDUs was 84.4 ( number of IDUs robbed per 1,000 IDUs ) and the robbery incident rate was 142.9 ( number of robbery incidents per 1,000 IDUs ) compared with 10.9 per 1,000 urban residents .",robbery,"compound(rate-24, robbery-22) ",NN,,,,,,,,,,,,,,,rate,,,,,,,,,,,,,singular,,[],unknown,unknown
"For example , the robbery rate for IDUs was 84.4 ( number of IDUs robbed per 1,000 IDUs ) and the robbery incident rate was 142.9 ( number of robbery incidents per 1,000 IDUs ) compared with 10.9 per 1,000 urban residents .",robbery,"compound(incidents-31, robbery-30) ",NN,,,,,,,,,,,,,,,incidents,,,,,,,,,,,,,singular,,[],unknown,unknown
"In addition , the need to pay for drugs may lead some women to criminal activity such as shoplifting , prostitution , burglary , or robbery .",robbery,"appos(shoplifting-19, robbery-26) conj:or(prostitution-21, robbery-26) ",NN,,,,,,,,,,,,,or,prostitution,,,,,,,"modifier, shoplifting",shoplifting,,,,,,singular,,[],unknown,unknown
"The forty or so women housed here are in for a variety of offenses , including auto theft , simple assault , homicide , robbery , dealing and/or possession of drugs , and nonviolent crimes of "" public order . """,robbery,"dep(possession-29, robbery-25) ",NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"This distinction implies that we normally think of the victim when we hear of a robbery , a beating , a child murdered , and as a result we feel pity .",robbery,"case(robbery-16, of-14) det(robbery-16, a-15) nmod:of(hear-13, robbery-16) ",NN,,,,,,,,of hear,of,hear,,a,,,,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"Leibniz would argue that the proposition "" Smith does not prevent the robbery of his house "" is not , of itself , logically necessary .",robbery,"det(robbery-13, the-12) nmod:of(robbery-13, house-16) dobj(prevent-11, robbery-13) ",NN,,VB,,,prevent,prevent,not,of house,of,,house,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,verdical
"The "" maxim "" here would be "" All who prevent the robbery of their house must be able to move or to summon help , "" from which it follows , given that Smith is unable to move or to summon help , that he does not prevent the robbery of his house .",robbery,"det(robbery-13, the-12) nmod:of(robbery-13, house-16) nsubj(able-19, robbery-13) ",NN,,VB,be,be,,,,of house,of,,house,the,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The "" maxim "" here would be "" All who prevent the robbery of their house must be able to move or to summon help , "" from which it follows , given that Smith is unable to move or to summon help , that he does not prevent the robbery of his house .",robbery,"det(robbery-51, the-50) nmod:of(robbery-51, house-54) dobj(prevent-49, robbery-51) ",NN,,VBP,,,prevent,prevent,not,of house,of,,house,the,,,,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,verdical
"Finally , Boxer said in a very impassioned statement : <p> A robbery is taking place right here , right now .",robbery,"det(robbery-13, A-12) nsubj(taking-15, robbery-13) ",NN,,VBZ,is,be,,,,,,,,a,,,,,,,,,,,,,,,,singular,singular,[],unknown,unknown
"The summary was approximately one single-spaced page long and included information about the crime ( a bank robbery ) , information that was diagnostic of the defendant 's guilt or innocence , and information describing the defendant 's general character which was nondiagnostic of the outcome to be judged .",robbery,"det(robbery-18, a-16) compound(robbery-18, bank-17) appos(crime-14, robbery-18) ",NN,,,,,,,,,,,,a,,,bank,,,,,,"modifier, crime",crime,,,,a,unit,singular,,['A+N'],countable,unknown
"All case scenarios described the crime ( a bank robbery ) , general circumstances surrounding the crime , and instructions to the jury .",robbery,"det(robbery-10, a-8) compound(robbery-10, bank-9) appos(crime-6, robbery-10) ",NN,,,,,,,,,,,,a,,,bank,,,,,,"modifier, crime",crime,,,,a,unit,singular,,['A+N'],countable,unknown
"Thus , the second study compared robbery cases in which there was only one piece of incriminating evidence to those in which there were four pieces of incriminating evidence .",robbery,"compound(cases-8, robbery-7) ",NN,,VBD,,,compared,compare,,,,,,,,,cases,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Each case described the crime ( a bank robbery ) , general circumstances surrounding the crime , and instructions to the jury .",robbery,"det(robbery-9, a-7) compound(robbery-9, bank-8) appos(crime-5, robbery-9) ",NN,,,,,,,,,,,,a,,,bank,,,,,,"modifier, crime",crime,,,,a,unit,singular,,['A+N'],countable,unknown
"They tell of commonplace , ordinary events in an agrarian society- farming , cooking , shepherding , losing money , mending , throwing dinner parties , family conflicts , squabbles over labor and wages , even assault and robbery .",robbery,"appos(wages-35, robbery-40) conj:and(assault-38, robbery-40) ",NN,,,,,,,,,,,,,and,assault,,,,,,,"modifier, wages",wages,,,,,,singular,,[],unknown,unknown
"And according to a 1991 survey , juveniles between the ages of 12 and 18 were responsible for approximately 28 percent of all personal crimes such as rape , personal robbery , aggravated and simple assault , and theft from a person ( Snyder and Sickmund 1995 : 47 ) .",robbery,"amod(robbery-31, personal-30) nmod:such_as(crimes-25, robbery-31) conj:and(rape-28, robbery-31) ",NN,,,,,,,,such_as crimes,such_as,crimes,,,and,rape,,personal,,,,,,,,,,,,singular,,[],unknown,unknown
It was not a tale of simple robbery for money .,robbery,"case(robbery-8, of-6) amod(robbery-8, simple-7) nmod:for(robbery-8, money-10) nmod:of(tale-5, robbery-8) ",NN,,,,,,,,"for money, of tale","for, of",tale,money,,,,,simple,,,,,,,,,,,,singular,,[],unknown,unknown
<p> Edmondson is charged in Louisiana with armed robbery and attempted murder .,robbery,"case(robbery-9, with-7) amod(robbery-9, armed-8) cc(robbery-9, and-10) conj:and(robbery-9, murder-12) nmod:with(charged-4, robbery-9) ",NN,,,,,,,,with charged,with,charged,,,and,murder,,armed,,,,,,,,,,,,singular,,[],unknown,unknown
"Instances of male brutality against other men , against women , against animals , and against the novel 's protagonist Skord , who represents the Other in Swedish society , define the novel 's plot and begin to weigh heavily on the reader as they inexorably accumulate : rapes , imprisonment , war , robbery , murder , torture , exploitation , and disfigurement .",robbery,"appos(rapes-49, robbery-55) conj:and(imprisonment-51, robbery-55) ",NN,,,,,,,,,,,,,and,imprisonment,,,,,,,"modifier, rapes",rapes,,,,,,singular,,[],unknown,unknown
"In a 1982 study of legal consciousness , it was perceived as equal in seriousness to bank robbery ( cited by Norstrom 105-6 ) .",robbery,"case(robbery-18, to-16) compound(robbery-18, bank-17) dep(robbery-18, cited-20) nmod:to(perceived-11, robbery-18) ",NN,,,,,,,,to perceived,to,perceived,,,,,bank,,,,,,,,,,,,,singular,,[],unknown,unknown
"One Mexican government source estimates that the ratio of aid money to criminal money ( from drug trafficking , kidnapping , and robbery ) flowing into EZLN coffers has shifted from 4:1 in 1994 to 3:2 in 1998 , and could reverse to 2:3 by 2001 .",robbery,"nmod:from(money-14, robbery-23) conj:and(trafficking-18, robbery-23) ",NN,,,,,,,,from money,from,money,,,and,trafficking,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Unlike , say , a bank robbery , white-collar crimes frequently unfold over a longer period of time .",robbery,"compound(crimes-10, robbery-7) ",NN,,VB,unfold,unfold,,,,,,,,,,,crimes,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"Granbard ( 1973 ) found out that the type of offence differs sharply between the sexes , boys being more often convicted of violent offences like rape , robbery , and vandalism while girls are more often convicted of sex-related crimes or running away from home .",robbery,"nmod:like(convicted-22, robbery-29) conj:and(rape-27, robbery-29) ",NN,,,,,,,,like convicted,like,convicted,,,and,rape,,,,,,,,,,,,,,singular,,[],unknown,unknown
"The list of the crimes included rape , smoking , , robbery , theft , drugs , murder , dangerous fighting , truancy , prostitution and wandering .",robbery,"compound(fighting-21, robbery-12) ",NN,,,,,,,,,,,,,,,fighting,,,,,,,,,,,,,singular,,[],unknown,unknown
"The U.S. Department of Justice , in the Violent Crime Index , categorizes four specific types of violent crime : ( a ) murder and nonnegligent manslaughter , ( b ) forcible rape , ( c ) robbery , and ( d ) aggravated assault ( i.e.",robbery,"cc(robbery-38, and-40) conj:and(robbery-38, d-42) dep(manslaughter-27, robbery-38) ",NN,,,,,,,,,,,,,and,d,,,,,,,,,,,,,,singular,,[],unknown,unknown
", murder , rape , and robbery ) .",robbery,"case(robbery-7, and-6) nmod:and(rape-4, robbery-7) ",NN,,,,,,,,and rape,and,rape,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"These six groups were minor theft , felony theft , minor assault , felony assault , vandalism , and robbery .",robbery,"conj:and(theft-6, robbery-20) ",NN,,,,,,,,,,,,,and,theft,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Results were nonsignificant , with the exception of robbery , chi 2 ( 1 , N = 518 ) = 3.92 , p < .05 , where participants with complete data reported a higher rate of involvement in this offense .",robbery,"case(robbery-9, of-8) appos(robbery-9, 2-12) nmod:of(exception-7, robbery-9) ",NN,,,,,,,,of exception,of,exception,,,,,,,,,,,"modified, 2",,2,,,,,singular,,[],unknown,unknown
"For boys , aggression significantly predicted a wide range of serious and nonserious offenses , including minor assault , felony assault , felony theft , vandalism , and robbery ; peer rejection was a significant predictor of felony assault and minor theft .",robbery,"nmod:including(predicted-6, robbery-29) conj:and(assault-18, robbery-29) ",NN,,,,,,,,including predicted,including,predicted,,,and,assault,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Effects for peer rejection and minor theft and for aggression and robbery were in an unanticipated direction , with higher levels of rejection or aggression associated with lower offending levels , as indicated by an odds ratio less than 1.0 .",robbery,"conj:and(aggression-10, robbery-12) ",NN,,,,,,,,,,,,,and,aggression,,,,,,,,,,,,,,singular,,[],unknown,unknown
"ASKS : AN inmate , whose original fifteen-to-twenty-year sentence for bank robbery has grown to life for weapons and assault charges while in prison . """,robbery,"case(robbery-12, for-10) compound(robbery-12, bank-11) nmod:for(sentence-9, robbery-12) ",NN,,,,,,,,for sentence,for,sentence,,,,,bank,,,,,,,,,,,,,singular,,[],unknown,unknown
"Three young men -- boys , really -- were convicted of rape , robbery , riot , and assault with "" depraved indifference "" to human life .",robbery,"nmod:of(convicted-10, robbery-14) conj:and(rape-12, robbery-14) ",NN,,,,,,,,of convicted,of,convicted,,,and,rape,,,,,,,,,,,,,,singular,,[],unknown,unknown
"During an armed robbery , one man is vividly decapitated ; another has a hand shot off , and as he crawls around in his own blood trying to find it a dog trots out the back door holding it in his teeth .",robbery,"case(robbery-4, During-1) det(robbery-4, an-2) amod(robbery-4, armed-3) nmod:during(decapitated-10, robbery-4) ",NN,,,,,,,,during decapitated,during,decapitated,,an,,,,armed,,,,,,,,,,an,unit,singular,,['A+N'],countable,unknown
