sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
<p> Consider the spotted cattle .,cattle,"det(cattle-5, the-3) amod(cattle-5, spotted-4) dobj(Consider-2, cattle-5) ",NNS,,VB,,,Consider,consider,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
<p> As part of their dual symbolic role the spotted cattle are one of the metaphors for this syncretism .,cattle,"det(cattle-11, the-9) amod(cattle-11, spotted-10) nsubj(one-13, cattle-11) ",NNS,,VBP,are,be,,,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
<p> In essence the spotted cattle are a cross between domesticated cattle and wild animals .,cattle,"det(cattle-6, the-4) amod(cattle-6, spotted-5) nsubj(cross-9, cattle-6) ",NNS,,VBP,are,be,,,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
<p> In essence the spotted cattle are a cross between domesticated cattle and wild animals .,cattle,"case(cattle-12, between-10) amod(cattle-12, domesticated-11) cc(cattle-12, and-13) conj:and(cattle-12, animals-15) nmod:between(cross-9, cattle-12) ",NNS,,,,,,,,between cross,between,cross,,,and,animals,,domesticated,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"As a leitmotif for survival , the spotted cattle enter to echoes of Spider Woman 's Story : "" I 'm thinking about those cattle Tayo .",cattle,"det(cattle-9, the-7) amod(cattle-9, spotted-8) nsubj(enter-10, cattle-9) ",NNS,,VBP,enter,enter,,,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
"As a leitmotif for survival , the spotted cattle enter to echoes of Spider Woman 's Story : "" I 'm thinking about those cattle Tayo .",cattle,"compound(Tayo-26, cattle-25) ",NNP,,,,,,,,,,,,,,,tayo,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> In the poem which opens the book Silko tells us that stories are origins , beginnings ; thoughts are the creative fountain of reality : PREFORMATTED TABLE <p> Josiah and Tayo think about the ideal breed of cattle and they appear : <p> They would breed these cattle , special cattle , not the weak , soft herefords that grew thin and died from eating thistle and burned-off cactus during the drought .",cattle,"case(cattle-39, of-38) nmod:of(breed-37, cattle-39) ",NNS,,,,,,,,of breed,of,breed,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"<p> In the poem which opens the book Silko tells us that stories are origins , beginnings ; thoughts are the creative fountain of reality : PREFORMATTED TABLE <p> Josiah and Tayo think about the ideal breed of cattle and they appear : <p> They would breed these cattle , special cattle , not the weak , soft herefords that grew thin and died from eating thistle and burned-off cactus during the drought .",cattle,"det(cattle-49, these-48) appos(cattle-49, cattle-52) dobj(breed-47, cattle-49) ",NNS,,NN,,,breed,breed,,,,,,these,,,,,,,,,"modified, cattle",,cattle,,,,,ambiguous,ambiguous,[],unknown,unknown
"<p> In the poem which opens the book Silko tells us that stories are origins , beginnings ; thoughts are the creative fountain of reality : PREFORMATTED TABLE <p> Josiah and Tayo think about the ideal breed of cattle and they appear : <p> They would breed these cattle , special cattle , not the weak , soft herefords that grew thin and died from eating thistle and burned-off cactus during the drought .",cattle,"amod(cattle-52, special-51) appos(cattle-52, herefords-59) appos(cattle-49, cattle-52) ",NNS,,,,,,,,,,,,,,,,special,,,,,"modified, herefords, modifier, cattle",cattle,herefords,,,,,ambiguous,,[],unknown,unknown
The cattle Ulibarri sold them were exactly what they were thinking about ( p.74 ) .,cattle,"compound(Ulibarri-3, cattle-2) ",NNP,,VBD,sold,sell,,,,,,,,,,,ulibarri,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> Beidler comes to a similar conclusion regarding the metaphor of the spotted cattle as Indians who survive , and offers this reflective analysis : <p> And like the wild animals of nature , they are able to forage for themselves in the desert .",cattle,"case(cattle-14, of-11) det(cattle-14, the-12) amod(cattle-14, spotted-13) nmod:as(cattle-14, Indians-16) nmod:of(metaphor-10, cattle-14) ",NNS,,,,,,,,"as Indians, of metaphor","as, of",metaphor,indians,the,,,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"<p> While the symbol of the spotted cattle as a hybrid survivor representative of Native Americans who have retained tradition and adapted to white culture is easily identified as a thematic element , there is also a more subtle symbolism involved .",cattle,"case(cattle-8, of-5) det(cattle-8, the-6) amod(cattle-8, spotted-7) nmod:as(cattle-8, representative-13) ref(cattle-8, who-17) acl:relcl(cattle-8, retained-19) acl:relcl(cattle-8, adapted-22) nmod:of(symbol-4, cattle-8) nsubj(retained-19, cattle-8) nsubj(adapted-22, cattle-8) ",NNS,,VBN,retained,retain,,,,"as representative, of symbol","as, of",symbol,representative,the,,,,spotted,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
The spotted cattle are not only physical hybrids they are also spiritual hybrids .,cattle,"det(cattle-3, The-1) amod(cattle-3, spotted-2) nsubj(hybrids-8, cattle-3) ",NNS,,VBP,are,be,,,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
<p> Nearly all of the Silko 's descriptions of the spotted cattle contain a deer/antelope simile .,cattle,"case(cattle-12, of-9) det(cattle-12, the-10) amod(cattle-12, spotted-11) nmod:of(descriptions-8, cattle-12) ",NNS,,,,,,,,of descriptions,of,descriptions,,the,,,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"The cattle run "" like antelope "" ( p.80 ) .",cattle,"det(cattle-2, The-1) nsubj(run-3, cattle-2) ",NNS,,VBD,run,run,,,,,,,,the,,,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
<p> This emphasis on cattle as a spiritual hybrid of deer or antelope is particularly significant in terms of Pueblo philosophies concerning these animals .,cattle,"case(cattle-5, on-4) nmod:as(cattle-5, hybrid-9) nmod:on(emphasis-3, cattle-5) ",NNS,,,,,,,,"as hybrid, on emphasis","as, on",emphasis,hybrid,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"If viewed from the white perspective , elements such as the spotted cattle and deer are metaphors ; from the traditional Indian point of view they are the magical aspects of reality .",cattle,"case(cattle-13, such-9) det(cattle-13, the-11) amod(cattle-13, spotted-12) cc(cattle-13, and-14) conj:and(cattle-13, deer-15) nmod:such_as(elements-8, cattle-13) ",NNS,,,,,,,,such_as elements,such_as,elements,,the,and,deer,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
This is what he must discover through his pursuit of the spotted cattle and his interaction with supernatural beings .,cattle,"case(cattle-13, of-10) det(cattle-13, the-11) amod(cattle-13, spotted-12) cc(cattle-13, and-14) conj:and(cattle-13, interaction-16) nmod:of(pursuit-9, cattle-13) ",NNS,,,,,,,,of pursuit,of,pursuit,,the,and,interaction,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
14 <p> This belief that deer spirits are rainmakers provides the basis for another interpretation of Tayo 's quest for the spotted cattle which disappear after Jonah 's death .,cattle,"case(cattle-23, for-20) det(cattle-23, the-21) amod(cattle-23, spotted-22) nmod:for(quest-19, cattle-23) ",NNS,,,,,,,,for quest,for,quest,,the,,,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
When Tayo sets off to find the spotted cattle he in essence embarks on a vision quest to bring back the rain and heal his emotional wounds .,cattle,"det(cattle-9, the-7) amod(cattle-9, spotted-8) dobj(find-6, cattle-9) ",NNS,,VB,,,find,find,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"<p> Tayo realizes that he must find the spotted cattle , both to honor the commitment to his dead uncle and to continue the ceremony of healing .",cattle,"det(cattle-10, the-8) amod(cattle-10, spotted-9) dobj(find-7, cattle-10) ",NNS,,VB,,,find,find,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"<p> In this respect he becomes the hunter and the healer , and the spotted cattle become his guide .",cattle,"det(cattle-16, the-14) amod(cattle-16, spotted-15) nsubj(become-17, cattle-16) ",NNS,,VBP,become,become,,,,,,,,the,,,,spotted,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
<p> He dreamed about the spotted cattle .,cattle,"case(cattle-7, about-4) det(cattle-7, the-5) amod(cattle-7, spotted-6) nmod:about(dreamed-3, cattle-7) ",NNS,,,,,,,,about dreamed,about,dreamed,,the,,,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"He wanted to leave that night to find the cattle ; there would be no peace until he did "" ( p. 145 ) .",cattle,"det(cattle-10, the-9) dep(cattle-10, peace-16) dobj(find-8, cattle-10) ",NNS,,VB,,,find,find,,,,,,the,,,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
<p> In contemporary terms Tayo 's quest for the spotted cattle can be juxtaposed to a traditional quest by Don Talayesva for the deer spirit people .,cattle,"case(cattle-11, for-8) det(cattle-11, the-9) amod(cattle-11, spotted-10) nmod:for(quest-7, cattle-11) ",NNS,,,,,,,,for quest,for,quest,,the,,,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"15 <p> Yellow represents spiritual food to the Hopis and the Lagunas ( cornmeal and pollen ) and , as Tayo begins his spiritual quest for the spotted cattle , Silko emphasizes this color in her imagery .",cattle,"case(cattle-29, for-26) det(cattle-29, the-27) amod(cattle-29, spotted-28) nmod:for(begins-22, cattle-29) ",NNS,,,,,,,,for begins,for,begins,,the,,,,spotted,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"17 <p> Tayo dreams of the spotted cattle again and even in that vision there are images of water : "" he saw them scatter over the crest of the round base hill , running away from him , scattering out around him like ripples in still water "" ( p. 181 ) .",cattle,"case(cattle-8, of-5) det(cattle-8, the-6) amod(cattle-8, spotted-7) advmod(cattle-8, again-9) advmod(cattle-8, even-11) nmod:in(cattle-8, vision-14) nmod:of(dreams-4, cattle-8) ",NNS,,,,,,,,"in vision, of dreams","in, of",dreams,vision,the,,,,spotted,,,,"again, even",,,,,,,,ambiguous,,[],unknown,unknown
"He then discovers the cattle "" grazing in a dry lake flat ... "" ( p. 196 ) .",cattle,"compound(grazing-7, cattle-5) ",NNS,,,,,,,,,,,,,,,grazing,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"He chased the spotted cattle , with their infinity-symbol brand , through dreams and into the desert and mountains and learned that love is eternal .",cattle,"det(cattle-5, the-3) amod(cattle-5, spotted-4) nmod:with(cattle-5, brand-10) dobj(chased-2, cattle-5) ",NNS,,VBD,,,chased,chase,,with brand,with,,brand,the,,,,spotted,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"Slaves and iron plows became more common , as did fences and cattle .",cattle,"nsubj(did-10, cattle-13) conj:and(fences-11, cattle-13) ",NNS,,VBD,did,do,,,,,,,,,and,fences,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"20 <p> In 1907 , at the age of seventeen , Lesa was married to Daniel Williams , an Oklahoma Choctaw who worked for a cattle ranch near Bokchito .",cattle,"compound(ranch-27, cattle-26) ",NNS,,,,,,,,,,,,,,,ranch,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
Funds from the sale of Chiricahua cattle at Fort Sill were distributed among the settlers in New Mexico to finance their relocation .,cattle,"case(cattle-7, of-5) amod(cattle-7, Chiricahua-6) nmod:at(cattle-7, Sill-10) nmod:of(sale-4, cattle-7) ",NNS,,,,,,,,"at Sill, of sale","at, of",sale,sill,,,,,chiricahua,,,,,,,,,,,,ambiguous,,[],unknown,unknown
The Chiricahua began to reestablish cattle herds and to produce a minimal crop of vegetables for their own consumption ( Turcheneske 1978 ) .,cattle,"compound(herds-7, cattle-6) ",NNS,,VB,,,reestablish,reestablish,,,,,,,,,herds,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"The men continued to resist adoption of intensive agriculture and worked in group activities , primarily hunting , logging , or cattle herding ( Informant A ) .",cattle,"nmod:in(worked-11, cattle-22) conj:or(activities-14, cattle-22) ",NNS,,,,,,,,in worked,in,worked,,,or,activities,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"The tribal council focused on economic activity , specifically logging and cattle herding , that would reduce the need for dispersed land assignments and residences .",cattle,"acl(cattle-12, herding-13) nmod:on(focused-4, cattle-12) conj:and(activity-7, cattle-12) ",NNS,,,,,,,,on focused,on,focused,,,and,activity,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Additionally , the transformation of the regional landscape occurs in the social context of land conflicts involving Indians , agricultural colonists , activist clergy , cattle ranchers , miners , timber interests , governmental agents , and others .",cattle,"compound(ranchers-27, cattle-26) ",NNS,,,,,,,,,,,,,,,ranchers,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"The expansion and retraction of these extractive sectors determined the principal demographic and economic fluctuations of river towns in southeastern Para until after 1945 , when cattle ranching underwent unprecedented expansion ( Velho 1972 ) .",cattle,"acl(cattle-27, ranching-28) nsubj(underwent-29, cattle-27) ",NNS,,VBD,underwent,undergo,,,,,,,,,,,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"In addition to the agricultural resettlement project along the highway , southeastern Para offered around Carajas a developmental area of more than 88,000 square kilometers , featuring the mining of high-quality iron ore , cassiterite tin , and gold ; valuable timber , specifically mahogany ; and large-scale cattle ranching , subsidized by governmental fiscal incentives .",cattle,"compound(ranching-50, cattle-49) ",NNS,,VBD,,,offered,offer,,,,,,,,,ranching,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"Many of them were settled on land claimed by cattle ranchers , and so conflicts were provoked .",cattle,"compound(ranchers-11, cattle-10) ",NNS,,,,,,,,,,,,,,,ranchers,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"<p> Despite the presence of thousands of landless peasants , cattle ranching dominated landuse in the vicinity of Xinguara .",cattle,"acl(cattle-11, ranching-12) nsubj(dominated-13, cattle-11) ",NNS,,VBD,dominated,dominate,,,,,,,,,,,,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"By 1984 , there were 256,000 head of cattle around Xinguara , the third-largest herd among the eighty-six municipalities in Para ( IDESP 1985 ) .",cattle,"case(cattle-9, of-8) nmod:around(cattle-9, Xinguara-11) nmod:of(head-7, cattle-9) ",NNS,,,,,,,,"around Xinguara, of head","around, of",head,xinguara,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
The establishment of cattle ranches reflected a steady consolidation of landholdings .,cattle,"compound(ranches-5, cattle-4) ",NNS,,,,,,,,,,,,,,,ranches,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"The frontier economy here is gradually decomposing as the mahogany-log mills close , as the forest is cleared , as cattle ranches are established , and as pioneer agriculturalists move elsewhere .",cattle,"compound(ranches-22, cattle-21) ",NNS,,VBN,established,establish,,,,,,,,,,,ranches,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"In fact Holstein cattle , belonging to the estate , can frequently be seen grazing on top of these mounds , and they have worn little ridges into their sides , eroding their outer surface .",cattle,"case(cattle-4, In-1) compound(cattle-4, fact-2) compound(cattle-4, Holstein-3) nmod:in(seen-14, cattle-4) ",NNS,,,,,,,,in seen,in,seen,,,,,"fact, holstein",,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"<p> In his regional analysis of southern Bantu bridewealth structures , Kuper ( 1982 ) examines the flow of women and cattle that are equated as symbolic mediators .",cattle,"nmod:of(flow-18, cattle-22) conj:and(women-20, cattle-22) ",NNS,,,,,,,,of flow,of,flow,,,and,women,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Kuper ( 1982:16-17 ) outlines a general model of the reciprocal flow of cattle and fertility for labor and food that is replicated in a hierarchical series of transactional relationships between : household head and wives ; family ancestors and household head ; ruler and household head , and tribal ancestors and ruder . """,cattle,"case(cattle-15, of-14) cc(cattle-15, and-16) conj:and(cattle-15, fertility-17) nmod:of(flow-13, cattle-15) ",NNS,,,,,,,,of flow,of,flow,,,and,fertility,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
<p> With regard to the actual brideprice Kelly distinguishes between the ideal number of cattle and the minimally acceptable number of cattle .,cattle,"case(cattle-15, of-14) nmod:of(number-13, cattle-15) ",NNS,,,,,,,,of number,of,number,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
<p> With regard to the actual brideprice Kelly distinguishes between the ideal number of cattle and the minimally acceptable number of cattle .,cattle,"case(cattle-22, of-21) nmod:of(number-20, cattle-22) ",NNS,,,,,,,,of number,of,number,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Without a minimum no marriage can take place , but when enough cattle are available the ideal number is requested and expected to be forthcoming .",cattle,"amod(cattle-13, enough-12) nsubj(available-15, cattle-13) ",NNS,,VBP,are,be,,,,,,,,,,,,enough,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
"On the other hand , the Nuer do not know the aruweth , the reciprocal payment of cattle made by the family of the bride after the brideprice has been given .",cattle,"case(cattle-18, of-17) nmod:of(payment-16, cattle-18) ",NNS,,,,,,,,of payment,of,payment,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"According to Kelly , aruweth effectively reduces the need for bridewealth cattle , even when the ideal is upheld , to the minimal requirements of the Nuer .",cattle,"case(cattle-12, for-10) amod(cattle-12, bridewealth-11) nmod:for(need-9, cattle-12) ",NNS,,,,,,,,for need,for,need,,,,,,bridewealth,,,,,,,,,,,,ambiguous,,[],unknown,unknown
", adjusted to an economic system entailing fewer cattle per capita "" ( Kelly 1985:142 ) .",cattle,"amod(cattle-9, fewer-8) nmod:per(cattle-9, capita-11) appos(cattle-9, Kelly-14) dobj(entailing-7, cattle-9) ",NNS,,VBG,,,entailing,entail,,per capita,per,,capita,,,,,fewer,,,,,"modified, kelly",,kelly,,,,,ambiguous,ambiguous,[],unknown,unknown
"Given identical caloric requirements to be met in both Nuer and Dinka diets by bovine animal products ( milk and meat ) and similar grazing capacities for cattle , Dinka would be able to achieve higher population densities and/or need fewer cattle per capita for food because they use their beasts more efficiently as a source of meat and can keep more milk-producing cows ( Kelly 19B5:151 ) .",cattle,"case(cattle-28, for-27) nmod:for(capacities-26, cattle-28) ",NNS,,,,,,,,for capacities,for,capacities,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Given identical caloric requirements to be met in both Nuer and Dinka diets by bovine animal products ( milk and meat ) and similar grazing capacities for cattle , Dinka would be able to achieve higher population densities and/or need fewer cattle per capita for food because they use their beasts more efficiently as a source of meat and can keep more milk-producing cows ( Kelly 19B5:151 ) .",cattle,"amod(cattle-42, fewer-41) amod(cattle-42, capita-44) dobj(need-40, cattle-42) ",NNS,,VBP,,,need,need,,,,,,,,,,"fewer, capita",,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
They move their cattle each year in a similar pattern of transhumance migrations .,cattle,"nmod:poss(cattle-4, their-3) dobj(move-2, cattle-4) ",NNS,,VBP,,,move,move,,,,,,,,,,,,their,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
But in Kelly 's model Nuer keep more cattle on wet season sites than the Dinka and consequently they have a greater need for dry season grazing .,cattle,"amod(cattle-9, more-8) dobj(keep-7, cattle-9) ",NNS,,VBP,,,keep,keep,,,,,,,,,,more,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
"Again , captured cattle made high bridewealth payments possible , which increased emphasis on patrikin rather than matrikin ( Kelly 1985:202-11 ) .",cattle,"amod(cattle-4, captured-3) nsubj(made-5, cattle-4) ",NNS,,VBD,made,make,,,,,,,,,,,,captured,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
"QUANTITATIVE ASPECTS OF KELLY 'S MODEL <p> In summary , because Nuer need more cattle ( especially oxen ) for bridewealth payments and tolerate less variations in the minimum size of such payments , they need larger individual herds and show less inequality in cattle ownership than the Dinka .",cattle,"amod(cattle-15, more-14) appos(cattle-15, oxen-18) nmod:for(cattle-15, payments-22) dobj(need-13, cattle-15) ",NNS,,VB,,,need,need,,for payments,for,,payments,,,,,more,,,,,"modified, oxen",,oxen,,,,,ambiguous,ambiguous,[],unknown,unknown
"QUANTITATIVE ASPECTS OF KELLY 'S MODEL <p> In summary , because Nuer need more cattle ( especially oxen ) for bridewealth payments and tolerate less variations in the minimum size of such payments , they need larger individual herds and show less inequality in cattle ownership than the Dinka .",cattle,"compound(ownership-46, cattle-45) ",NNS,,,,,,,,,,,,,,,ownership,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Consequently Nuer have a lower population density and a higher cattle per capita ratio , which they also need because they derive more of their nutrition from cattle than do the Dinka .",cattle,"det(cattle-11, a-9) amod(cattle-11, higher-10) nmod:per(cattle-11, ratio-14) dobj(have-3, cattle-11) conj:and(density-7, cattle-11) ",NNS,,VBP,,,have,have,,per ratio,per,,ratio,a,and,density,,higher,,,,,,,,,,a,unit,ambiguous,plural,"['A+N', 'EX-PL']",countable,unknown
"Consequently Nuer have a lower population density and a higher cattle per capita ratio , which they also need because they derive more of their nutrition from cattle than do the Dinka .",cattle,"case(cattle-28, from-27) nmod:from(derive-22, cattle-28) ",NNS,,,,,,,,from derive,from,derive,,,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
Thus Nuer have a greater need for dry season grazing because they keep more cattle on wet season sites .,cattle,"amod(cattle-15, more-14) dobj(keep-13, cattle-15) ",NNS,,VB,,,keep,keep,,,,,,,,,,more,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,unknown
1 <p> In Kelly 's model is the cattle per capita ratio even more crucial than population density figures .,cattle,"nsubj(cattle-9, <p>-2) nmod:in(cattle-9, model-6) cop(cattle-9, is-7) det(cattle-9, the-8) nmod:per(cattle-9, ratio-12) root(ROOT-0, cattle-9) ",NNS,,,,,,,,"in model, per ratio","in, per",,"model, ratio",the,,,,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Moreover , as the bridewealth increases from eighteen cattle for the Ngok Dinka to 34 for the Zeraf Nuer to 40 for the Lou Nuer , the proportion of breeding stock in the total cattle population declines .",cattle,"case(cattle-9, from-7) compound(cattle-9, eighteen-8) nmod:for(cattle-9, Dinka-13) nmod:from(increases-6, cattle-9) ",NNS,,,,,,,,"for Dinka, from increases","for, from",increases,dinka,,,,eighteen,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"Moreover , as the bridewealth increases from eighteen cattle for the Ngok Dinka to 34 for the Zeraf Nuer to 40 for the Lou Nuer , the proportion of breeding stock in the total cattle population declines .",cattle,"compound(population-36, cattle-35) ",NNS,,,,,,,,,,,,,,,population,,,,,,,,,,,,,ambiguous,,[],unknown,unknown
"In any case , on the basis of results summarized in Table 5 , Kelly 's idea that Nuer cattle are less productive than Dinka cattle can not be sustained .",cattle,"compound(cattle-20, Nuer-19) nsubj(productive-23, cattle-20) ",NNS,,VBP,are,be,,,,,,,,,,,nuer,,,,,,,,,,,,,ambiguous,plural,['EX-PL'],countable,unknown
"In any case , on the basis of results summarized in Table 5 , Kelly 's idea that Nuer cattle are less productive than Dinka cattle can not be sustained .",cattle,"compound(cattle-26, Dinka-25) nsubjpass(sustained-30, cattle-26) ",NNS,,VBN,sustained,sustain,,,not,,,,,,,,dinka,,,,,,,,,,,,,ambiguous,ambiguous,[],unknown,verdical
