sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"These war stories were vivid scenes in the tableau that explained not just something about my father , but what it was to fight in a war .",war,"compound(stories-3, war-2) ",NN,,VBD,were,be,,,,,,,,,,,,stories,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"These war stories were vivid scenes in the tableau that explained not just something about my father , but what it was to fight in a war .",war,"case(war-27, in-25) det(war-27, a-26) nmod:in(fight-24, war-27) ",NN,,,,,,,,in fight,in,fight,,a,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"German and Japanese soldiers died by the hundreds , in a manner that portrayed war as no more difficult than a cattle roundup or , in the case of snipers , a fox hunt .",war,"nmod:as(war-15, roundup-23) cc(war-15, or-24) nmod:in(war-15, case-28) conj:or(war-15, hunt-34) dobj(portrayed-14, war-15) ",NN,,VBD,,,portrayed,portray,,"as roundup, in case","as, in",,"roundup, case",,,or,hunt,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"<p> Although I warmed to Hollywood 's romance of the war won with errant knights , I noticed my father gave it a cool reception .",war,"case(war-11, of-9) det(war-11, the-10) acl(war-11, won-12) nmod:of(romance-8, war-11) ",NN,,,,,,,,of romance,of,romance,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
But he did talk freely about the war .,war,"case(war-8, about-6) det(war-8, the-7) nmod:about(did-3, war-8) ",NN,,,,,,,,about did,about,did,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"And from our conversations about what it was like to survive an air raid or lead an assault , I inferred that the best way to fathom war was to read about it .",war,"case(war-28, to-26) compound(war-28, fathom-27) nmod:to(way-25, war-28) ",NN,,,,,,,,to way,to,way,,,,,,fathom,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"He had been on Guadalcanal during the war , although after the fighting , and pointed out such landmarks as the original control tower at Henderson Field , Kukum airstrip , and the Lunga River , which you cross on the twenty-minute ride into Honiara .",war,"case(war-8, during-6) det(war-8, the-7) dep(war-8, fighting-13) nmod:during(Guadalcanal-5, war-8) ",NN,,,,,,,,during Guadalcanal,during,guadalcanal,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Hence , unlike the geometric symmetry of Civil War history as presented by the Department of the Interior , what remains vivid at Guadalcanal , even at midday , is the fog of war .",war,"case(war-34, of-33) nmod:of(fog-32, war-34) ",NN,,,,,,,,of fog,of,fog,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> The writer in American Heritage , by contrast , speaks in the voice I know to be my father 's , and the detachment of forty years gives the narrative what Paul Fussell has described as the irony of war .",war,"case(war-41, of-40) nmod:of(irony-39, war-41) ",NN,,,,,,,,of irony,of,irony,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
Casualties in war are easier to fathom when they come in broad engagements and end up in body counts .,war,"case(war-3, in-2) nmod:in(Casualties-1, war-3) ",NN,,,,,,,,in Casualties,in,casualties,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Even when I was young , such a postscript changed the account from a gung ho war story to one that saw , in every one of the war dead , a distant family .",war,"compound(story-18, war-17) ",NN,,,,,,,,,,,,,,,,story,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Even when I was young , such a postscript changed the account from a gung ho war story to one that saw , in every one of the war dead , a distant family .",war,"compound(dead-30, war-29) ",NN,,,,,,,,,,,,,,,,dead,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> The idea of war as the sum of specific deaths was also a recurring theme among the early war stories that I can remember .,war,"case(war-5, of-4) nmod:as(war-5, sum-8) nmod:of(idea-3, war-5) ",NN,,,,,,,,"as sum, of idea","as, of",idea,sum,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
<p> The idea of war as the sum of specific deaths was also a recurring theme among the early war stories that I can remember .,war,"compound(stories-21, war-20) ",NN,,,,,,,,,,,,,,,,stories,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
It formed the antidote to my favorable impression of war as a variation on professional football .,war,"case(war-10, of-9) nmod:of(impression-8, war-10) ",NN,,,,,,,,of impression,of,impression,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> By the age of seven , I knew that my father 's closest friend , Bob Fowler , had died , as it was put , "" on the last day of the war . """,war,"case(war-35, of-33) det(war-35, the-34) nmod:of(day-32, war-35) ",NN,,,,,,,,of day,of,day,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"I remember wondering , in a childish way , why he had not known the war was about to end and laid low .",war,"det(war-16, the-15) nsubj(about-18, war-16) nsubj(end-20, war-16) ",NN,,,,,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"But the Bob Fowler described often to my sisters and me was not a ferocious warrior or grizzled marine so much as a cheerful , warmhearted friend who somehow had the ability to endure the horrors of war and maintain a genial disposition .",war,"case(war-38, of-37) nmod:of(horrors-36, war-38) ",NN,,,,,,,,of horrors,of,horrors,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Anyone who comes home from any war returns with many regrets , and for my father they focused on the death of Bob Fowler .",war,"case(war-7, from-5) det(war-7, any-6) nmod:from(comes-3, war-7) ",NN,,,,,,,,from comes,from,comes,,any,quantifier,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"It was as if the war had a purpose and meaning until that point , after which all the fighting became a variation on the senselessness that destroyed the Warsaw ghetto .",war,"det(war-6, the-5) nsubj(had-7, war-6) ",NN,,VBD,had,have,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"In "" Wartime , "" Paul Fussell uses that column to deflate Pyle as a sentimental propagandist , who never let too many facts of war get in the way of his messages to the American heartland .",war,"case(war-26, of-25) nmod:of(facts-24, war-26) ",NN,,,,,,,,of facts,of,facts,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
But that column described to me the numbing agony of what it was like to lose a friend in the war .,war,"case(war-21, in-19) det(war-21, the-20) nmod:in(friend-18, war-21) ",NN,,,,,,,,in friend,in,friend,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
It was the worst grief I endured during the entire war .,war,"case(war-11, during-8) det(war-11, the-9) amod(war-11, entire-10) nmod:during(endured-7, war-11) ",NN,,,,,,,,during endured,during,endured,,the,definite article,,,,entire,[0.07416666666666667],[0.04375],[0.012083333333333333],[0.056666666666666664],[0.15333333333333332],[0.0125],[0.08208333333333333],[0.125],[0.22541666666666665],[0.0275],[0.07],[0.03],[0.0875],,,,,,,,,,,,singular,linked,,,unknown,unknown
Samuel Eliot Morison devoted a volume to the importance of its sea battles in his naval history of the war .,war,"case(war-20, of-18) det(war-20, the-19) nmod:of(history-17, war-20) ",NN,,,,,,,,of history,of,history,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Men foul themselves in fear , laugh at ghastly wounds inflicted on the enemy , learn to fight as if this were one of the Indian wars , and , when they least expect to , show courage or cowardice .",wars,"case(wars-27, of-24) det(wars-27, the-25) amod(wars-27, Indian-26) nmod:of(one-23, wars-27) ",NNS,,,,,,,,of one,of,one,,the,definite article,,,,indian,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,,,unknown,unknown
"The intervening years may have softened the tone , but the voice I hear in Jones is one that , at times , I can recognize in my father 's accounts of the war .",war,"case(war-34, of-32) det(war-34, the-33) nmod:of(accounts-31, war-34) ",NN,,,,,,,,of accounts,of,accounts,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
I could appreciate Jones as one of the masters of war fiction and that this was a novel about more than a South Pacific battle .,war,"compound(fiction-12, war-11) ",NN,,,,,,,,,,,,,,,,fiction,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"<p> But it is not only memoirs and novels that can explain to a son his father 's war . """,war,"nmod:poss(war-19, father-17) dep(son-15, war-19) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,father,,,,,,,,,,singular,bare singular,,,unknown,unknown
"In explaining that men fight , not out of hatred of the enemy , but to maintain the respect of their peers , Holmes marshals evidence from Vietnam , the Falklands , the Civil War , and even the holy wars .",wars,"advmod(wars-41, even-38) det(wars-41, the-39) amod(wars-41, holy-40) nmod:from(marshals-25, wars-41) conj:and(Vietnam-28, wars-41) ",NNS,,,,,,,,from marshals,from,marshals,,the,definite article,and,vietnam,,holy,[0.03083333333333333],[0.025],[0.0075],[0.035],[0.05916666666666667],[0.0125],[0.02375],[0.0225],[0.03375],[0.025],[0.6625],[0.015],[0.0475],,,,even,,,,,,,,plural,linked,,,unknown,unknown
It also laid bare one of the great paradoxes of the war .,war,"case(war-12, of-10) det(war-12, the-11) nmod:of(paradoxes-9, war-12) ",NN,,,,,,,,of paradoxes,of,paradoxes,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The subtitle of "" Into the Valley "" is "" A Skirmish of the Marines , "" and it is to war what the "" Elements of Style "" is to writing-a concise primer .",war,"nsubj(war-22, it-19) cop(war-22, is-20) case(war-22, to-21) ref(war-22, what-23) acl:relcl(war-22, primer-34) conj:and(Skirmish-12, war-22) dobj(primer-34, war-22) ",NN,,VBZ,,,is,be,,,,,,,,and,skirmish,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
But during the war it marked the western edge of the wild frontier between the Americans and the Japanese .,war,"case(war-4, during-2) det(war-4, the-3) nmod:during(marked-6, war-4) ",NN,,,,,,,,during marked,during,marked,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
Over the years we have had numerous conversations about the war .,war,"case(war-11, about-9) det(war-11, the-10) nmod:about(conversations-8, war-11) ",NN,,,,,,,,about conversations,about,conversations,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"But it also seems akin to the need among Holocaust survivors to bear witness , to make it clear what all wars are about .",wars,"det(wars-22, all-21) nsubj(about-24, wars-22) ",NNS,,VBP,are,be,,,,,,,,all,quantifier,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,linked,plural,,unknown,unknown
"Hersey , who saw not only Guadalcanal , but the ruins of Hiroshima and Warsaw , reflected in the foreword of "" Into the Valley "" : "" One of the things I learned was that war makes no national or racial or ideological distinctions as it degrades human beings . """,war,"nsubj(makes-38, war-37) ",NN,,VBZ,makes,make,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,singular,,unknown,unknown
Paul Fussell writes that many veterans were numb after the war and reluctant to tell the truth about what happened to them .,war,"case(war-11, after-9) det(war-11, the-10) nmod:after(numb-8, war-11) ",NN,,,,,,,,after numb,after,numb,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"It 's thus necessary to observe that it was a war and nothing else , and thus stupid and sadistic . """,war,"mark(war-11, that-7) nsubj(war-11, it-8) cop(war-11, was-9) det(war-11, a-10) cc(war-11, and-12) conj:and(war-11, nothing-13) dep(war-11, else-14) dep(war-11, stupid-18) ccomp(observe-6, war-11) ",NN,,VBD,,,was,be,,,,,,a,indefinite article,and,nothing,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,that,a,unit,singular,linked,ambiguous,A+N,countable,nonverdical
"Ironically , it was my father 's war stories that first created and later took away a most cherished childhood illusion , that of the Good War .",war,"compound(stories-9, war-8) ",NN,,VBD,created,create,,,,,,,,,,,,stories,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"<p> The group was unable to go on to Paris , for on the bank holiday of August 4 , England declared war on Germany .",war,"dobj(declared-22, war-23) ",NN,,VBD,,,declared,declare,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"Although Edmund expected that the war might be over in weeks , he was dismayed by the popular enthusiasm : "" people were riding on the top of taxis , cheering in the crowded streets ; a mob around Buckingham Palace calling for the King and Queen-Mary !",war,"det(war-6, the-5) nsubj(over-9, war-6) ",NN,,VB,be,be,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"I wondered whether they thought that the war was all going to be a tremendous bank holiday . """,war,"det(war-8, the-7) nsubj(going-11, war-8) nsubj(holiday-17, war-8) ",NN,,VBD,was,be,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
He was glad to get return passage to the States ; he would oppose American entry into the war just as his father did .,war,"case(war-19, into-17) det(war-19, the-18) nmod:into(oppose-14, war-19) ",NN,,,,,,,,into oppose,into,oppose,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Old enough to be educated in the English tradition before the war , he would bring its values and skills to his role as interpreter of the emerging American culture .",war,"case(war-12, before-10) det(war-12, the-11) nmod:before(educated-5, war-12) ",NN,,,,,,,,before educated,before,educated,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"He was "" carrying the war into the country of the Philistines , "" as Gauss put it , defending the standards of the intellectual minority in editorials about the curriculum and the social system .",war,"det(war-6, the-5) dobj(carrying-4, war-6) ",NN,,VBG,,,carrying,carry,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"By the time that Fitzgerald withdrew from college , under cover of illness , to avoid academic suspension , a basis had been laid for his and Wilson 's friendship after the war , as they emerged in the complementary roles of artist and critic .",war,"case(war-33, after-31) det(war-33, the-32) nmod:after(laid-24, war-33) ",NN,,,,,,,,after laid,after,laid,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"After the war he would exhort Fitzgerald to practice Flaubert 's objectivity and irony , advice that helped to shape the novelist 's development between "" This Side of Paradise "" and "" The Great Gatsby "" - something that Wilson later politely attributed to Gauss 's influence .",war,"case(war-3, After-1) det(war-3, the-2) nmod:after(exhort-6, war-3) ",NN,,,,,,,,after exhort,after,exhort,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"The last class reunion he attended was a drunken affair in 1925 , which he described in a "" New Republic "" piece about the disillusioning effects of the war on his generation .",war,"case(war-30, of-28) det(war-30, the-29) nmod:on(war-30, generation-33) nmod:of(effects-27, war-30) ",NN,,,,,,,,"on generation, of effects","on, of",effects,generation,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
During the 1960s the total time-to-degree fell slightly because support possibilities were very good and the war in Vietnam made it attractive for students to maintain continuous enrollment .,war,"det(war-17, the-16) nmod:in(war-17, Vietnam-19) nsubj(made-20, war-17) ",NN,,VBD,made,make,,,,in Vietnam,in,,vietnam,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"But the cardinal did not argue against the Vietnam war on these grounds , even though it too was an attack on human life.",war,"case(war-10, against-7) det(war-10, the-8) compound(war-10, Vietnam-9) nmod:against(argue-6, war-10) ",NN,,,,,,,,against argue,against,argue,,the,definite article,,,vietnam,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Kahane 's point , which is that as a matter of logic , abortion and the war in Vietnam are morally comparable , and that he who objects to one must logically object to the other , is incorrect .",war,"det(war-17, the-16) nmod:in(war-17, Vietnam-19) conj:and(abortion-14, war-17) nsubj(comparable-22, war-17) ",NN,,VBP,are,be,,,,in Vietnam,in,,vietnam,the,definite article,and,abortion,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,plural,EX-PL,countable,unknown
<p> Kahane might respond that his cross-outs show that the cardinal 's argument applies to the war just as well as to abortion .,war,"case(war-17, to-15) det(war-17, the-16) advmod(war-17, just-18) nmod:to(applies-14, war-17) ",NN,,,,,,,,to applies,to,applies,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,just,,,,,,,,singular,linked,,,unknown,unknown
"But Kahane changes "" by the Abortion Law of 1970 , New York State has alienated what the Declaration of Independence calls the ' inalienable ' right to life "" to read "" by the war in Vietnam , the United States has alienated what the Declaration of Independence calls the ' inalienable ' right to life . """,war,"case(war-36, by-34) det(war-36, the-35) nmod:in(war-36, Vietnam-38) nmod:by(read-32, war-36) ",NN,,,,,,,,"in Vietnam, by read","in, by",read,vietnam,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Hence , in part , the failure of high German culture to create a sufficiently responsible , politically decent bourgeoisie , a failure betokened in many old war movies by the figure of the sensitive , piano-playing German officer who still , justly , gets shot at the end .",war,"compound(movies-29, war-28) ",NN,,,,,,,,,,,,,,,,movies,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
That 's a lot better than having bidding wars for students .,wars,"compound(wars-9, bidding-8) nmod:for(wars-9, students-11) dobj(having-7, wars-9) ",NNS,,VBG,,,having,have,,for students,for,,students,,,,,bidding,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
Such spokesmen arrogantly tell the public that we have no choice but to suffer either price-fixing or bidding wars .,wars,"cc:preconj(wars-19, either-15) compound(wars-19, price-fixing-16) compound(wars-19, bidding-18) dobj(suffer-14, wars-19) ",NNS,,VB,,,suffer,suffer,,,,,,,,,either,bidding,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,ambiguous,,unknown,unknown
"Nor do they provide even an intimation that having settled these issues as a matter of policy and principle , an honorable institution would refuse to engage in bidding wars .",wars,"case(wars-30, in-28) compound(wars-30, bidding-29) nmod:in(engage-27, wars-30) ",NNS,,,,,,,,in engage,in,engage,,,,,,bidding,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
"In each instance , the moral principle to which protesters have appealed is above reproach : in the first , that America should avoid unjust wars ; in the second , that apartheid is wrong .",wars,"amod(wars-26, unjust-25) dobj(avoid-24, wars-26) ",NNS,,VB,,,avoid,avoid,,,,,,,,,,,unjust,[0.09],[0.025625],[0.015],[0.11729166666666666],[0.065],[0.07562500000000001],[0.07208333333333333],[0.025],[0.05708333333333333],[0.13104166666666667],[0.07],[0.19625],[0.06],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
"It follows that for at least one New Historicist , attacking the bourgeoisie is not only another symbolic revolutionary act , but also an urgent bid to prevent an imminent nuclear war .",war,"det(war-32, an-29) amod(war-32, imminent-30) amod(war-32, nuclear-31) dobj(prevent-28, war-32) ",NN,,VB,,,prevent,prevent,,,,,,an,indefinite article,,,,"imminent, nuclear","[0.104375, 0.046875]","[0.0925, 0.016]","[0.018125, 0.0085]","[0.03541666666666667, 0.094375]","[0.085625, 0.175625]","[0.0325, 0.015833333333333335]","[0.0375, 0.14291666666666666]","[0.011875, 0.0725]","[0.16208333333333333, 0.10175000000000001]","[0.0525, 0.030625]","[0.05, 0.1375]","[0.2525, 0.035]","[0.065, 0.1225]",,,,,,,,,,an,unit,singular,linked,ambiguous,A+N,countable,unknown
"When I was first old enough to really know him , in the forties , just after the war , he was sharp as a tack .",war,"advmod(war-19, just-16) case(war-19, after-17) det(war-19, the-18) nmod:after(old-5, war-19) ",NN,,,,,,,,after old,after,old,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,just,,,,,,,,singular,linked,,,unknown,unknown
"The air around the Abbey would probably have been darkened by the smoke of charcoal fires ; the noise from the town ironworks , busy casting cannons for the war with France , would have grated against Wordsworth 's somber meditations .",war,"case(war-30, for-28) det(war-30, the-29) nmod:with(war-30, France-32) nmod:for(cannons-27, war-30) ",NN,,,,,,,,"with France, for cannons","with, for",cannons,france,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
