sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
"In policing it was not necessary to apprehend the particular person who committed a crime ; Chinese justice could be administered by arresting , torturing and punishing the culprit 's father , grandfather or the head of his or her clan .",crime,"det(crime-15, a-14) dobj(committed-13, crime-15) ",NN,,VBD,,,committed,commit,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
The Stalinesque show trial and subsequent execution of Ochoa reinforced popular suspicions that Ochoa 's real crime was his potential for challenging Castro 's leadership.,crime,"nmod:poss(crime-17, Ochoa-14) amod(crime-17, real-16) nsubj(potential-20, crime-17) ",NN,,VBD,was,be,,,,,,,,,,,,real,,ochoa,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"A number of human rights activists were harassed and subsequently arrested and convicted of the "" crime "" of congratulating the U.N .",crime,"nmod:of(crime-17, U.N-22) dobj(harassed-8, crime-17) ",NN,,VBN,,,harassed,harass,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"By 1968 , the kaifong associations together had become a semi-autonomous government , establishing committees that mobilized Macau residents to clean the streets , to protect their homes against fire or typhoon , to eliminate mosquitoes , and to combat crime.",crime,"dobj(combat-40, crime-41) ",NN,,VB,,,combat,combat,,,,,,,,,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
The perpetrators of the 4 June crimes certainly will not be tried until some years after Deng Xiaoping 's death .,crimes,"case(crimes-7, of-3) det(crimes-7, the-4) nummod(crimes-7, 4-5) compound(crimes-7, June-6) nmod:of(perpetrators-2, crimes-7) ",NNS,,,,,,,,of perpetrators,of,perpetrators,,the,,,june,,,,4,,,,,,,4,other,plural,,['O-DEN'],countable,unknown
The death sentences of 50 people whose crimes linked them to UNITA activities were also commuted under the program .,crimes,"nmod:poss(crimes-8, people-6) nsubj(linked-9, crimes-8) ",NNS,,VBD,linked,link,,,,,,,,,,,,,,people,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"Here I exclude the more coercive types of direct redistribution such as urban crime , along with illegal international activities such as drug-dealing or currency smuggling .",crime,"case(crime-14, such-11) amod(crime-14, urban-13) advmod(crime-14, along-16) nmod:such_as(redistribution-10, crime-14) ",NN,,,,,,,,such_as redistribution,such_as,redistribution,,,,,,urban,,,,along,,,,,,,,singular,,[],unknown,unknown
"The Terrorism Act of 1967 allows indefinite detention of those suspected of terrorist crimes , which would include belonging to any banned organization .",crimes,"case(crimes-14, of-12) amod(crimes-14, terrorist-13) nmod:of(those-10, crimes-14) ",NNS,,,,,,,,of those,of,those,,,,,,terrorist,,,,,,,,,,,,plural,,[],unknown,unknown
"23 Undeterred , a few years later he published an article alleging racial bias in the issuance of a pardon by the Minister of Justice in a capital crime .",crime,"case(crime-29, in-26) det(crime-29, a-27) compound(crime-29, capital-28) nmod:in(alleging-12, crime-29) ",NN,,,,,,,,in alleging,in,alleging,,a,,,capital,,,,,,,,,,,a,unit,singular,,['A+N'],countable,unknown
"19 Other clergymen stressed the spiritual dangers of life in American cities where "" rosy-faced , fair young girls , so pure , so innocent , so pious , "" might be "" dragged down to shame and crime , and to an early and a dishonored grave . """,crime,"conj(shame-37, crime-39) ",NN,,,,,,,,,,,,,,shame,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Studies of the reformers focus on a native Protestant middle class , which attacked the urban saloon as a breeding ground of crime , prostitution , political corruption , economic impoverishment , and family dissolution .",crime,"case(crime-23, of-22) conj:and(crime-23, prostitution-25) conj:and(crime-23, corruption-28) conj:and(crime-23, impoverishment-31) cc(crime-23, and-33) conj:and(crime-23, dissolution-35) nmod:of(ground-21, crime-23) ",NN,,,,,,,,of ground,of,ground,,,"and, and, and, and","prostitution, corruption, impoverishment, dissolution",,,,,,,,,,,,,,singular,,[],unknown,unknown
"And it is in Welch 's telling of Fools Crow 's story that this magically real , historical novel suggests more allegorical interpretations about the survival of not just the Blackfeet at the dawn of the twentieth century , but about the problematic survival of humanity , and even the biosphere-as the recent catastrophic corporate crimes of Exxon in Alaska deplorably prove .",crimes,"nmod:about(crimes-56, survival-44) det(crimes-56, the-52) amod(crimes-56, recent-53) amod(crimes-56, catastrophic-54) amod(crimes-56, corporate-55) nmod:of(crimes-56, Exxon-58) conj:but(not-28, crimes-56) dep(deplorably-61, crimes-56) ",NNS,,,,,,,,"about survival, of Exxon","about, of",,"survival, exxon",the,but,not,,"recent, catastrophic, corporate",,,,,,,,,,,,plural,,[],unknown,unknown
"By the 1760s , unrestrained consumption of rum had resulted in a soaring crime rate , disrupted relationships between husbands and wives , and meant poverty for those who bartered their deerskins for rum instead of essential goods .",crime,"compound(rate-15, crime-14) ",NN,,,,,,,,,,,,,,,rate,,,,,,,,,,,,,singular,,[],unknown,unknown
"First , the issue of crime protection/law enforcement is treated , presenting measures of the costs involved .",crime,"compound(enforcement-8, crime-6) ",NN,,,,,,,,,,,,,,,enforcement,,,,,,,,,,,,,singular,,[],unknown,unknown
CRIME PROTECTION/LAW ENFORCEMENT <p> Protection against the crimes associated with drug trafficking is the largest direct cost found in this study .,crimes,"case(crimes-8, against-6) det(crimes-8, the-7) acl(crimes-8, associated-9) nmod:against(Protection-5, crimes-8) ",NNS,,,,,,,,against Protection,against,protection,,the,,,,,,,,,,,,,,,,plural,,[],unknown,unknown
The crimes include such activities as : physically shipping cocaine into the United States from abroad ; transferring payments for the drugs into US financial institutions and other investments ; and robbery committed by cocaine addicts seeking money to buy more drugs .,crimes,"det(crimes-2, The-1) nsubj(include-3, crimes-2) nsubj(transferring-18, crimes-2) ",NNS,,VBP,include,include,,,,,,,,the,,,,,,,,,,,,,,,,plural,plural,[],unknown,unknown
"<p> Without attempting to evaluate the accuracy of these data , it may simply be noted that the approximate crime protection cost related to cocaine trafficking in Florida was over $300 million in 1988 .",crime,"compound(cost-22, crime-20) ",NN,,,,,,,,,,,,,,,cost,,,,,,,,,,,,,singular,,[],unknown,unknown
"The estimates cover a range of state and local government expenditures on crime protection programs , but not the Federal programs or private-sector expenses .",crime,"compound(programs-15, crime-13) ",NN,,,,,,,,,,,,,,,programs,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> An unavoidable problem with these estimates is that they cover costs of protection against crimes due to all forms of drug abuse , not just cocaine abuse .",crimes,"case(crimes-16, against-15) nmod:against(protection-14, crimes-16) ",NNS,,,,,,,,against protection,against,protection,,,,,,,,,,,,,,,,,,plural,,[],unknown,unknown
The Florida Department of Law Enforcement specifically estimates that cocaine and marijuana account for about 45% of total crime cases investigated in the state .,crime,"compound(cases-21, crime-20) ",NN,,,,,,,,,,,,,,,cases,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> An additional area of crime protection expense created by cocaine trafficking and consumption is personal protection obtained by households in the form of fences , burglar alarms , watchdogs , guards , etc .",crime,"compound(expense-8, crime-6) ",NN,,,,,,,,,,,,,,,expense,,,,,,,,,,,,,singular,,[],unknown,unknown
"Additionally , we would like to include the medical costs of those people injured in drug-related crimes , but measures of these costs were not available .",crimes,"case(crimes-17, in-15) amod(crimes-17, drug-related-16) nmod:in(injured-14, crimes-17) ",NNS,,,,,,,,in injured,in,injured,,,,,,,,,,,,,,,,,,plural,,[],unknown,unknown
"Over the long term , he hopes that , if a sufficient number of officials can be removed , it will serve as a significant deterrent to official crime .",crime,"case(crime-29, to-27) amod(crime-29, official-28) nmod:to(serve-22, crime-29) ",NN,,,,,,,,to serve,to,serve,,,,,,official,,,,,,,,,,,,singular,,[],unknown,unknown
"These police arrested sinners and backsliders and brought them to church headquarters , where they were tried and sentenced for their crimes in newly established Christian courts .",crimes,"case(crimes-22, for-20) nmod:poss(crimes-22, their-21) nmod:in(crimes-22, courts-27) nmod:for(tried-17, crimes-22) ",NNS,,,,,,,,"in courts, for tried","in, for",tried,courts,,,,,,,their,,,,,,,,,,plural,,[],unknown,unknown
"However , this same group reacts differently when one of its members commits a crime which brings benefit to himself alone .",crime,"det(crime-15, a-14) ref(crime-15, which-16) acl:relcl(crime-15, brings-17) dobj(commits-13, crime-15) nsubj(brings-17, crime-15) ",NN,,VBZ,brings,bring,,,,,,,,a,,,,,,,,,,,,,,a,unit,singular,singular,['A+N'],countable,unknown
"When such a man is killed at the scene of the crime , his group demands no diya ( blood money ) ( Hassanin 1967 ) .",crime,"case(crime-12, of-10) det(crime-12, the-11) nmod:of(scene-9, crime-12) ",NN,,,,,,,,of scene,of,scene,,the,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"Anecdotal reports of steroid-induced psychoses are often embreiled in legal cases where steroid abuse is used as a defense in violent crimes ( Lubell , 1989 ) .",crimes,"case(crimes-22, in-20) amod(crimes-22, violent-21) appos(crimes-22, Lubell-24) nmod:in(defense-19, crimes-22) ",NNS,,,,,,,,in defense,in,defense,,,,,,violent,,,,,"modified, lubell",,lubell,,,,,plural,,[],unknown,unknown
"We felt that , with them as our leaders , we were struggling against a religious and moral code of cant and hypocrisy which produced and condoned such social crimes and judicial murders as the condemnation of Dreyfus.",crimes,"dep(crimes-30, such-28) amod(crimes-30, social-29) cc(crimes-30, and-31) conj:and(crimes-30, murders-33) dobj(condoned-27, crimes-30) ",NNS,,VBD,,,condoned,condone,,,,,,,and,murders,,social,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"The scandal obsessed Washington for two years ; never before had a "" crime "" story so displaced normal political life .",crime,"compound(story-16, crime-14) ",NN,,,,,,,,,,,,,,,story,,,,,,,,,,,,,singular,,[],unknown,unknown
"Walsh , moreover , maintains that if an investigation finds "" probable cause that a crime has been committed , it is the duty of the independent counsel to prosecute "" -- a policy at odds with the prevailing Justice Department standard , which holds that fundamental fairness requires an indictment only if the prosecutor believes that an unbiased jury would convict .",crime,"det(crime-16, a-15) nsubjpass(committed-19, crime-16) ",NN,,VBN,committed,commit,,,,,,,,a,,,,,,,,,,,,,,a,unit,singular,ambiguous,['A+N'],countable,unknown
"<p> Whatever else may be said about the executive branch over the past dozen years , it has not experienced a crime wave on any conventional reckoning .",crime,"compound(wave-23, crime-22) ",NN,,VBN,,,experienced,experience,not,,,,,,,,wave,,,,,,,,,,,,,singular,ambiguous,[],unknown,verdical
"In the meantime , as Attorney General Thornburgh has recently complained , the department was forbidden to reorganize its strike force against organized crime .",crime,"case(crime-24, against-22) amod(crime-24, organized-23) nmod:against(reorganize-18, crime-24) ",NN,,,,,,,,against reorganize,against,reorganize,,,,,,organized,,,,,,,,,,,,singular,,[],unknown,unknown
"They differ in earnings ; they differ in wealth , even after taking account of the difference in earnings ; they differ in the quality of their housing ; they differ in schooling and in the amount learned in school ; they differ in their rates of committing crimes and of being victimized by them ; they differ in life expectancy , susceptibility to disease and accident , and infant mortality .",crimes,"dobj(committing-48, crimes-49) ",NNS,,VBG,,,committing,commit,,,,,,,,,,,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
<p> The chapter on crime simply does not consider evidence that may support the distributional model 's analysis of the racial difference in crime rates .,crime,"case(crime-5, on-4) nmod:on(chapter-3, crime-5) ",NN,,,,,,,,on chapter,on,chapter,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> The chapter on crime simply does not consider evidence that may support the distributional model 's analysis of the racial difference in crime rates .,crime,"compound(rates-25, crime-24) ",NN,,,,,,,,,,,,,,,rates,,,,,,,,,,,,,singular,,[],unknown,unknown
11 <p> Scholars can not yet explain why the rise in crime rates seems to be concentrated among those with particular individual traits .,crime,"compound(rates-13, crime-12) ",NN,,,,,,,,,,,,,,,rates,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> Among the obvious reasons for whites ' rejection of quotas , and for their refusal to see discrimination as the bugbear described by civil-rights advocates , is the fact that blacks -- even very poor blacks -- who hew to "" middle-class "" mores by postponing parenthood , finishing school , and avoiding drugs and crime are doing quite well ; by contrast , those in the underclass , whose behavior violates those mores , fare badly .",crime,"dobj(avoiding-54, crime-57) conj:and(drugs-55, crime-57) ",NN,,VBG,,,avoiding,avoid,,,,,,,and,drugs,,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> 
##4006986 Section : Brief Reports <p> This paper reports on preliminary efforts to study at the census tract level the reciprocal relationships between AIDS and street crime , particularly prostitution and drug offenses and the prevalence of AIDS .",crime,"compound(crime-29, street-28) conj:and(crime-29, prostitution-32) cc(crime-29, and-33) conj:and(crime-29, offenses-35) cc(crime-29, and-36) conj:and(crime-29, prevalence-38) dobj(study-16, crime-29) conj:and(relationships-24, crime-29) ",NN,,VB,,,study,study,,,,,,,"and, and, and, and","prostitution, offenses, prevalence, relationships",street,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"The data on reported crimes and arrests , organized by reporting districts , came primarily from the Los Angeles County Sheriff 's Department and the Los Angeles City Police Department .",crimes,"case(crimes-5, on-3) amod(crimes-5, reported-4) cc(crimes-5, and-6) conj:and(crimes-5, arrests-7) nmod:on(data-2, crimes-5) ",NNS,,,,,,,,on data,on,data,,,and,arrests,,reported,,,,,,,,,,,,plural,,[],unknown,unknown
Introduction <p> This paper reports on preliminary efforts to study at the census tract level the reciprocal relationships between AIDS and street crime .,crime,"compound(crime-23, street-22) nmod:between(relationships-18, crime-23) conj:and(AIDS-20, crime-23) ",NN,,,,,,,,between relationships,between,relationships,,,and,aids,street,,,,,,,,,,,,,singular,,[],unknown,unknown
"For reasons described later , data are not yet available to explore the "" feedback "" impact of AIDS on drug use , prostitution , and other kinds of street crime .",crime,"case(crime-31, of-29) compound(crime-31, street-30) nmod:of(kinds-28, crime-31) ",NN,,,,,,,,of kinds,of,kinds,,,,,street,,,,,,,,,,,,,singular,,[],unknown,unknown
"( n2 ) Drug users experiencing AIDS symptoms also will be less capable of committing crimes to support their habits , and excess mortality may simply reduce the pool of prospective robbers and burglars .",crimes,"dobj(committing-15, crimes-16) ",NNS,,VBG,,,committing,commit,,,,,,,,,,,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"In short , there is some justification for predicting that property crimes linked to intravenous drug use will decline .",crimes,"compound(crimes-12, property-11) acl(crimes-12, linked-13) nsubj(decline-19, crimes-12) ",NNS,,VB,decline,decline,,,,,,,,,,,property,,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"<p> But the crime rate is affected not just by the activities of experienced offenders , but by the number of new recruits ( Blumstein et al.",crime,"compound(rate-5, crime-4) ",NN,,VBN,affected,affect,,,,,,,,,,,rate,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
<p> What about violent crime ?,crime,"case(crime-5, about-3) amod(crime-5, violent-4) nmod:about(<p>-1, crime-5) ",NN,,,,,,,,,,,,,,,,violent,,,,,,,,,,,,singular,,[],unknown,unknown
There is ample evidence that a large portion of violent crime is committed by young men from less affluent urban neighborhoods ( e.g.,crime,"case(crime-11, of-9) amod(crime-11, violent-10) nmod:of(portion-8, crime-11) ",NN,,,,,,,,of portion,of,portion,,,,,,violent,,,,,,,,,,,,singular,,[],unknown,unknown
Trends in violent crimes will depend in part on the balance over time between these two processes .,crimes,"case(crimes-4, in-2) amod(crimes-4, violent-3) nmod:in(Trends-1, crimes-4) ",NNS,,,,,,,,in Trends,in,trends,,,,,,violent,,,,,,,,,,,,plural,,[],unknown,unknown
"<p> To summarize , there is ample reason to suspect that AIDS and certain kinds of street crime are reciprocally related .",crime,"case(crime-18, of-16) compound(crime-18, street-17) nmod:of(kinds-15, crime-18) ",NN,,,,,,,,of kinds,of,kinds,,,,,street,,,,,,,,,,,,,singular,,[],unknown,unknown
"The ways in which AIDS and street crime are related , therefore , becomes an empirical question .",crime,"compound(crime-8, street-7) conj:and(AIDS-5, crime-8) nsubjpass(related-10, crime-8) ",NN,,VBN,related,relate,,,,,,,,,and,aids,street,,,,,,,,,,,,,singular,ambiguous,[],unknown,unknown
"<p> For jurisdictions within the state of California , two kinds of crime measures are generally readily available : crimes reported and arrests .",crime,"compound(measures-14, crime-13) ",NN,,,,,,,,,,,,,,,measures,,,,,,,,,,,,,singular,,[],unknown,unknown
"<p> For jurisdictions within the state of California , two kinds of crime measures are generally readily available : crimes reported and arrests .",crimes,"nsubj(reported-21, crimes-20) nsubj(arrests-23, crimes-20) ",NNS,,VBD,reported,report,,,,,,,,,,,,,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
Los Angeles County has obvious relevance ; there is a large number of census tracts coupled with significant variation in crime and AIDS across tracts .,crime,"case(crime-21, in-20) nmod:in(variation-19, crime-21) ",NN,,,,,,,,in variation,in,variation,,,,,,,,,,,,,,,,,,singular,,[],unknown,unknown
"As an empirical matter , moreover , criminologists typically do a far better job identifying regularities in crime data for geographical areas than in crime data for individuals .",crime,"compound(data-19, crime-18) ",NN,,,,,,,,,,,,,,,data,,,,,,,,,,,,,singular,,[],unknown,unknown
"As an empirical matter , moreover , criminologists typically do a far better job identifying regularities in crime data for geographical areas than in crime data for individuals .",crime,"compound(data-26, crime-25) ",NN,,,,,,,,,,,,,,,data,,,,,,,,,,,,,singular,,[],unknown,unknown
<p> The crime data present a somewhat different mix of opportunities and problems.,crime,"compound(data-4, crime-3) ",NN,,VBP,present,present,,,,,,,,,,,data,,,,,,,,,,,,,singular,plural,['EX-PL'],countable,unknown
"( n5 ) on the one hand , it was possible to consider both reported crimes and arrests , organized into a large number of different crime categories .",crimes,"cc:preconj(crimes-16, both-14) amod(crimes-16, reported-15) cc(crimes-16, and-17) conj:and(crimes-16, arrests-18) dobj(consider-13, crimes-16) ",NNS,,VB,,,consider,consider,,,,,,,", and","both, arrests",,reported,,,,,,,,,,,,plural,ambiguous,[],unknown,unknown
"( n5 ) on the one hand , it was possible to consider both reported crimes and arrests , organized into a large number of different crime categories .",crime,"compound(categories-28, crime-27) ",NN,,,,,,,,,,,,,,,categories,,,,,,,,,,,,,singular,,[],unknown,unknown
