sent,Noun,Relevant Dependencies,Noun Tag,Negation,Verb Tag,Verb Subject,Verb Subject Lemma,Verb Object,Verb Object Lemma,Verb Negation,Prepositional Phrases,Prepositions,Prepositional Subjects,Prepositional Objects,Determiners,Determiner Type,Conjunctions,Conjoined,Compounds,Adjectival Modifiers,AdjType: Behavior,AdjType: Body,AdjType: Feeling,AdjType: Mind,AdjType: Miscellaneous,AdjType: Motion,AdjType: Perception,AdjType: Quantity,AdjType: Social,AdjType: Spatial,AdjType: Substance,AdjType: Temporal,AdjType: Weather,Possesed owned by noun,Possesive owner of noun,Numeric Modifiers,Adverbial Modifiers,Appositionals,Appositional Modifiers,Modified Appositives,Modality,Conditional,Denumerator,Type of Denumerator,Plurality of Noun,Bareness of Noun,Plurality of Verb,Allan Tests Passed,Countability,Verdicality
Suffolk County Superior Court Judge Sandra Hamlin interpreted the law not to allow sole reliance on spiritual healing if a child is in danger of serious bodily harm or death .,harm,"case(harm-28, of-25) amod(harm-28, serious-26) compound(harm-28, bodily-27) cc(harm-28, or-29) conj:or(harm-28, death-30) nmod:of(danger-24, harm-28) ",NN,,,,,,,,of danger,of,danger,,,,or,death,bodily,serious,[0.12041666666666666],[0.05],[0.015416666666666667],[0.1535],[0.05208333333333333],[0.06354166666666666],[0.15520833333333334],[0.03],[0.10041666666666668],[0.09441666666666666],[0.04],[0.06],[0.065],,,,,,,,,,,,singular,linked,,,unknown,unknown
"At present Oxford surely does more good than harm .... <p> I go further than a mere tolerance of Oxford ; as I have said , I wish to suffer the Church of England .",harm,"case(harm-9, than-8) nmod:than(good-7, harm-9) ",NN,,,,,,,,than good,than,good,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Mort 's feet , summoned by awe , trod without harm on the amber grit .",harm,"case(harm-11, without-10) nmod:without(trod-9, harm-11) ",NN,,,,,,,,without trod,without,trod,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The United States discovered in the 1970s that , quite independent of its Soviet adversary , other nations , such as Libya or faraway Iran , could inflict considerable harm on American prestige and citizens .",harm,"amod(harm-30, considerable-29) dobj(inflict-28, harm-30) ",NN,,VB,,,inflict,inflict,,,,,,,,,,,considerable,[0.045],[0.008125],[0.005],[0.13416666666666666],[0.04],[0.09113095238095237],[0.10636904761904763],[0.01],[0.045208333333333336],[0.1255],[0.1275],[0.16699999999999998],[0.095],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
Neither alternative could be achieved without inflicting serious harm to Japan 's standing in the region and without diminishing Japan 's security .,harm,"amod(harm-9, serious-8) dobj(inflicting-7, harm-9) ",NN,,VBG,,,inflicting,inflict,,,,,,,,,,,serious,[0.12041666666666666],[0.05],[0.015416666666666667],[0.1535],[0.05208333333333333],[0.06354166666666666],[0.15520833333333334],[0.03],[0.10041666666666668],[0.09441666666666666],[0.04],[0.06],[0.065],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
His suggestion at the start of the crisis was that Washington send the Palestinians a message reassuring them America meant them no harm .,harm,"nsubj(harm-23, them-21) neg(harm-23, no-22) xcomp(meant-20, harm-23) ",NN,no,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,verdical
"His suggestion was that stiff notes be sent to the major Arab governments , warning them that no harm should come to the American hostages.",harm,"neg(harm-19, no-18) nsubj(come-21, harm-19) ",NN,no,VB,come,come,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,verdical
"Gordon Taylor describes The Quiet American as a nostalgic relic , something to be taken down from the shelf and dusted down occasionally , then returned to where it belongs out of harm 's way .",harm,"case(harm-33, 's-34) nmod:poss(way-35, harm-33) ",NN,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],way,,,,,,,,,,,singular,linked,,,unknown,unknown
It wright do harm to oneself and one 's dependents .,harm,"dobj(do-3, harm-4) ",NN,,VB,,,do,do,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"And should such individuals simply organize and meet regularly , no perceptible harm would necessarily result .",harm,"neg(harm-13, no-11) amod(harm-13, perceptible-12) nsubj(result-16, harm-13) ",NN,no,VB,result,result,,,,,,,,,,,,,perceptible,[0.04625],[0.161875],[0.029404761904761902],[0.1725],[0.07375],[0.019375],[0.06875],[0.028333333333333335],[0.23226190476190478],[0.0275],[0.035],[0.065],[0.04],,,,,,,,,,,,singular,linked,ambiguous,,unknown,verdical
The fact that he has the opportunity to inflict greater harm on the violators reflects society 's keen interest in suppressing blood conflict .,harm,"amod(harm-11, greater-10) dobj(inflict-9, harm-11) ",NN,,VB,,,inflict,inflict,,,,,,,,,,,greater,[0.0775],[0.04625],[0.005],[0.07541666666666667],[0.05866666666666667],[0.05716666666666667],[0.09083333333333332],[0.0225],[0.05416666666666667],[0.13],[0.165],[0.1],[0.1175],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
The child believes its aggressive wishes can magically bring harm to the object .,harm,"dobj(bring-9, harm-10) ",NN,,VB,,,bring,bring,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
<p> Those who suspect that foreign aid does more harm to the supposed beneficiaries than good will be amused by what happened when President Bush tried to streamline the foreign-aid process to benefit Nicaragua and Panama .,harm,"amod(harm-10, more-9) dobj(does-8, harm-10) ",NN,,VBZ,,,does,do,,,,,,,,,,,more,[0.053125],[0.12375],[0.01375],[0.09625],[0.133125],[0.011875],[0.086],[0.0475],[0.10337500000000001],[0.025],[0.04875],[0.0225],[0.235],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"Second , it seems probable that the instability of present currencies has done more harm to most members of the public than would follow from the abolishment of the respective regulations .",harm,"amod(harm-15, more-14) dobj(done-13, harm-15) ",NN,,VBN,,,done,do,,,,,,,,,,,more,[0.053125],[0.12375],[0.01375],[0.09625],[0.133125],[0.011875],[0.086],[0.0475],[0.10337500000000001],[0.025],[0.04875],[0.0225],[0.235],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
One needs a relationship which is relatively free from the threat of harm in order to risk the process of coming to know another intimately and allow oneself to be known .,harm,"case(harm-13, of-12) nmod:of(threat-11, harm-13) ",NN,,,,,,,,of threat,of,threat,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Although it is impossible to accurately assess the degree of harm caused to patients by lack of compliance , there is agreement that the damage may be considerable and that finding ways of improving compliance is a major goal of behavioral medicine ( Stuart , 1982 ) .",harm,"case(harm-11, of-10) acl(harm-11, caused-12) nmod:of(degree-9, harm-11) ",NN,,,,,,,,of degree,of,degree,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
The destructive force unleashed during the Enlightenment finally brought the German universities to great harm in the 1930s and now has badly damaged American universities as well .,harm,"case(harm-15, to-13) amod(harm-15, great-14) nmod:to(brought-9, harm-15) ",NN,,,,,,,,to brought,to,brought,,,,,,,great,[0.01],[0.034041666666666665],[0.0034999999999999996],[0.0275],[0.675],[0.0025],[0.05],[0.01],[0.031208333333333334],[0.015],[0.02375],[0.02],[0.0975],,,,,,,,,,,,singular,linked,,,unknown,unknown
"First , there are externalities or side effects of activities that impose harm or bestow benefits on third parties .",harm,"cc(harm-13, or-14) conj:or(harm-13, bestow-15) compound(benefits-16, harm-13) ",NN,,VB,,,impose,impose,,,,,,,,or,bestow,benefits,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,ambiguous,,unknown,unknown
"128 To establish divisibility under the Fourth Circuit Court of Appeals ' approach , however , such a defendant would need to establish that proportionate volumes are "" probative of contributory harm . """,harm,"case(harm-32, of-30) amod(harm-32, contributory-31) nmod:of(probative-29, harm-32) ",NN,,,,,,,,of probative,of,probative,,,,,,,contributory,[0.055625],[0.0225],[0.02354166666666667],[0.1075],[0.059375],[0.04625],[0.12333333333333332],[0.035],[0.07645833333333334],[0.13291666666666668],[0.15],[0.11],[0.0575],,,,,,,,,,,,singular,linked,,,unknown,unknown
"129 The court explained that "" volumetric contributions provide a reasonable basis for apportioning liability only if it can be reasonably assumed , or it has been demonstrated , that independent factors had no substantial effect on the harm to the environment . """,harm,"case(harm-39, on-37) det(harm-39, the-38) nmod:on(effect-36, harm-39) ",NN,,,,,,,,on effect,on,effect,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"As to liability , the government viewed SARA as clarifying and confirming the standard of strict , joint and several , retroactive liability without proof of causation , no matter how minimal a defendant 's contribution to the harm .",harm,"case(harm-39, to-37) det(harm-39, the-38) nmod:to(contribution-36, harm-39) ",NN,,,,,,,,to contribution,to,contribution,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"Now , joint and several liability must be applied except when a defendant can prove that the harm and threat of harm caused by that particular defendant was clearly separate from the harm caused by other defendants .",harm,"det(harm-18, the-17) cc(harm-18, and-19) conj:and(harm-18, threat-20) nmod:of(harm-18, harm-22) nsubj(separate-30, harm-18) ",NN,,VBD,was,be,,,,of harm,of,,harm,the,definite article,and,threat,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"Now , joint and several liability must be applied except when a defendant can prove that the harm and threat of harm caused by that particular defendant was clearly separate from the harm caused by other defendants .",harm,"case(harm-22, of-21) acl(harm-22, caused-23) nmod:of(harm-18, harm-22) ",NN,,,,,,,,of harm,of,harm,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"Now , joint and several liability must be applied except when a defendant can prove that the harm and threat of harm caused by that particular defendant was clearly separate from the harm caused by other defendants .",harm,"case(harm-33, from-31) det(harm-33, the-32) acl(harm-33, caused-34) nmod:from(separate-30, harm-33) ",NN,,,,,,,,from separate,from,separate,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
"In the South Carolina Recycling district court opinion drafted by the government , the court misread Restatement ( Second ) of Torts section 443A to state that joint and several liability may be avoided only "" if the harm is divisible and there is a reasonable basis for apportionment . """,harm,"det(harm-39, the-38) nsubj(divisible-41, harm-39) ",NN,,VBZ,is,be,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"181 The Restatement section uses the disjunctive "" or , "" not the conjunctive "" and , "" which negates joint and several liability where the harm is not "" single "" or where there is a "" reasonable basis for apportionment of a single harm . """,harm,"det(harm-27, the-26) nsubj(single-31, harm-27) ",NN,,VBZ,is,be,,,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"181 The Restatement section uses the disjunctive "" or , "" not the conjunctive "" and , "" which negates joint and several liability where the harm is not "" single "" or where there is a "" reasonable basis for apportionment of a single harm . """,harm,"case(harm-46, of-43) det(harm-46, a-44) amod(harm-46, single-45) nmod:of(apportionment-42, harm-46) ",NN,,,,,,,,of apportionment,of,apportionment,,a,indefinite article,,,,single,[0.02791666666666667],[0.0125],[0.0034999999999999996],[0.0325],[0.09083333333333332],[0.005],[0.0275],[0.0225],[0.07025],[0.0025],[0.0325],[0.0],[0.6725],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"182 <p> Only when pressed on the point in the South Carolina Recycling appeal did the government abandon its prior position that Chem-Dyne required both physically separate harms and a "" reasonable basis "" to avoid joint and several liability in any context .",harms,"det(harms-28, both-25) advmod(harms-28, physically-26) amod(harms-28, separate-27) cc(harms-28, and-29) conj:and(harms-28, a-30) dobj(required-24, harms-28) ",NNS,,VBD,,,required,require,,,,,,both,other,and,a,,separate,[0.0925],[0.06208333333333333],[0.0175],[0.075875],[0.055],[0.0375],[0.18375],[0.055],[0.12079166666666666],[0.0475],[0.0875],[0.08],[0.085],,,,physically,,,,,,both,other,plural,linked,ambiguous,O-DEN,countable,unknown
"183 <p> Again , as demonstrated in the Fourth Circuit 's and First Circuit 's affirmances of their respective district courts ' grants of partial summary judgment on liability , 184 such strained construction of the Restatement was unnecessary because of the difficulty of any defendant 's showing that a simple indicator such as volume can serve as a reasonable basis for apportionment of a single harm .",harm,"case(harm-67, of-64) det(harm-67, a-65) amod(harm-67, single-66) nmod:of(apportionment-63, harm-67) ",NN,,,,,,,,of apportionment,of,apportionment,,a,indefinite article,,,,single,[0.02791666666666667],[0.0125],[0.0034999999999999996],[0.0325],[0.09083333333333332],[0.005],[0.0275],[0.0225],[0.07025],[0.0025],[0.0325],[0.0],[0.6725],,,,,,,,,,a,unit,singular,linked,,A+N,countable,unknown
"In Monsanto , generator defendants had not even attempted a showing that their advocated volumetric apportionment was a reasonable basis for apportionment of the harm.",harm,"case(harm-25, of-23) det(harm-25, the-24) nmod:of(apportionment-22, harm-25) ",NN,,,,,,,,of apportionment,of,apportionment,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
128 It held that the defendant railway possessed knowledge of the risk of harm in its activities sufficient to impose a duty of due care to avoid causing economic damages to those it knew might be injured.,harm,"case(harm-14, of-13) nmod:of(risk-12, harm-14) ",NN,,,,,,,,of risk,of,risk,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
129 The court noted that general or simple foreseeability of some harm from the defendant 's act would be insufficient to create liability.,harm,"case(harm-12, of-10) det(harm-12, some-11) nmod:of(foreseeability-9, harm-12) ",NN,,,,,,,,of foreseeability,of,foreseeability,,some,indefinite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,,,unknown,unknown
130 Both the specific risk of harm and the specific plaintiff or class of plaintiffs had to be foreseeable.,harm,"case(harm-7, of-6) nmod:of(risk-5, harm-7) ",NN,,,,,,,,of risk,of,risk,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"142 <p> If whole communities suffer the same type of harm , the injury is a public wrong and individual plaintiffs can not recover.",harm,"case(harm-11, of-10) nmod:of(type-9, harm-11) ",NN,,,,,,,,of type,of,type,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"153 The court opined , however , that the defendant 's action might give rise to a public nuisance if the plaintiff could show special pecuniary harm.",harm,"amod(harm-27, special-25) compound(harm-27, pecuniary-26) dobj(show-24, harm-27) ",NN,,VB,,,show,show,,,,,,,,,,pecuniary,special,[0.07908333333333334],[0.044895833333333336],[0.011354166666666665],[0.15516666666666667],[0.12241666666666666],[0.02],[0.090625],[0.0225],[0.08875],[0.03291666666666667],[0.12291666666666666],[0.03125],[0.178125],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"155 <p> The Massachusetts court found that special damages must be evaluated on a case-by-case basis , looking at both the severity of the financial harm to a plaintiff and the losses suffered by the rest of the community.",harm,"case(harm-26, of-23) det(harm-26, the-24) amod(harm-26, financial-25) nmod:of(severity-22, harm-26) ",NN,,,,,,,,of severity,of,severity,,the,definite article,,,,financial,[0.03812499999999999],[0.02625],[0.003333333333333333],[0.12425000000000001],[0.1375],[0.0175],[0.159375],[0.055],[0.14604166666666668],[0.033375],[0.155],[0.029249999999999998],[0.075],,,,,,,,,,,,singular,linked,,,unknown,unknown
"157 As a limit to the defendant 's liability , the court held that , absent physical injury , relief in public nuisance would be warranted if the plaintiff had suffered "" special pecuniary harm "" and impairment of access.",harm,"amod(harm-35, special-33) compound(harm-35, pecuniary-34) dobj(suffered-31, harm-35) ",NN,,VBN,,,suffered,suffer,,,,,,,,,,pecuniary,special,[0.07908333333333334],[0.044895833333333336],[0.011354166666666665],[0.15516666666666667],[0.12241666666666666],[0.02],[0.090625],[0.0225],[0.08875],[0.03291666666666667],[0.12291666666666666],[0.03125],[0.178125],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
"A threshold standard of review for pure economic losses in marine pollution must be broad enough to cover a wide range of harms , yet be restrictive enough to prohibit speculative , fraudulent , or unlimited claims .",harms,"case(harms-23, of-22) nmod:of(range-21, harms-23) ",NNS,,,,,,,,of range,of,range,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,plural,bare plural,,,unknown,unknown
The imposition of liability that truly reflects the degree of a defendant 's fault should help prevent future harms by creating incentives to cut down risks.,harms,"amod(harms-19, future-18) dobj(prevent-17, harms-19) ",NNS,,VB,,,prevent,prevent,,,,,,,,,,,future,[0.031083333333333334],[0.051625000000000004],[0.004],[0.16975],[0.10583333333333332],[0.03833333333333334],[0.10916666666666666],[0.0575],[0.06145833333333333],[0.04125],[0.14],[0.0275],[0.1625],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
This part of the test serves as a method to define the foreseeable harms .,harms,"det(harms-14, the-12) amod(harms-14, foreseeable-13) dobj(define-11, harms-14) ",NNS,,VB,,,define,define,,,,,,the,definite article,,,,foreseeable,[0.025],[0.0225],[0.01],[0.23375],[0.0525],[0.03375],[0.20125],[0.005],[0.09625],[0.08275],[0.09],[0.07725],[0.07],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
235 The Restatement ( Second ) of Torts dictates that an injured party can not recover damages for negligent harms that could have been avoided by taking some action.,harms,"case(harms-20, for-18) amod(harms-20, negligent-19) ref(harms-20, that-21) acl:relcl(harms-20, avoided-25) nmod:for(recover-16, harms-20) nsubjpass(avoided-25, harms-20) ",NNS,,VBN,avoided,avoid,,,,for recover,for,recover,,,,,,,negligent,[0.07875],[0.0425],[0.0025],[0.0725],[0.02125],[0.0225],[0.0675],[0.0175],[0.05],[0.14875],[0.2525],[0.18375],[0.04],,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
In a class action the liability potentially will be much greater than the cost of preventing the harm .,harm,"det(harm-18, the-17) dobj(preventing-16, harm-18) ",NN,,VBG,,,preventing,prevent,,,,,,the,definite article,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
A defendant 's greater burden of liability in an area heavily dependent on the waters is in keeping with the existence of a greater risk of harm in conducting business there .,harm,"case(harm-27, of-26) nmod:of(risk-25, harm-27) ",NN,,,,,,,,of risk,of,risk,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The traditional elements of mitigation for damage claims , which include a showing both that the efforts were reasonable and that no action was taken to aggravate the economic harm , 247 would be applied as a threshold test in marine pollution cases .",harm,"det(harm-30, the-28) amod(harm-30, economic-29) dobj(aggravate-27, harm-30) ",NN,,VB,,,aggravate,aggravate,,,,,,the,definite article,,,,economic,[0.017708333333333333],[0.04625],[0.00625],[0.071875],[0.11458333333333334],[0.014583333333333332],[0.1758333333333333],[0.0575],[0.08791666666666668],[0.028333333333333335],[0.23],[0.01],[0.13916666666666666],,,,,,,,,,,,singular,linked,ambiguous,,unknown,unknown
250 Moral blame and public sentiment against harm to the environment heavily favor greater recovery for losses in all pollution actions.,harm,"case(harm-8, against-7) nmod:to(harm-8, environment-11) nmod:against(sentiment-6, harm-8) ",NN,,,,,,,,"to environment, against sentiment","to, against",sentiment,environment,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,singular,bare singular,,,unknown,unknown
"The shared use also increases the foreseeability of the potential harms , and accurately defines the group of particularly foreseeable plaintiffs .",harms,"case(harms-11, of-8) det(harms-11, the-9) amod(harms-11, potential-10) nmod:of(foreseeability-7, harms-11) ",NNS,,,,,,,,of foreseeability,of,foreseeability,,the,definite article,,,,potential,[0.0175],[0.01875],[0.01],[0.05583333333333333],[0.0325],[0.01875],[0.7125],[0.005],[0.02291666666666667],[0.03875],[0.0175],[0.035],[0.015],,,,,,,,,,,,plural,linked,,,unknown,unknown
"Even when the physical harm is quite small and the economic losses enormous , the claims will be legally cognizable .",harm,"det(harm-5, the-3) amod(harm-5, physical-4) nsubj(small-8, harm-5) nsubj(enormous-13, harm-5) ",NN,,VBZ,is,be,,,,,,,,the,definite article,,,,physical,[0.09333333333333332],[0.060041666666666674],[0.008125],[0.14345833333333333],[0.06291666666666666],[0.08604166666666666],[0.1625],[0.040625],[0.11245833333333331],[0.0805],[0.04],[0.0775],[0.0325],,,,,,,,,,,,singular,linked,singular,,unknown,unknown
"But if there is no showing of physical harm , recovery is much less certain .",harm,"case(harm-9, of-7) amod(harm-9, physical-8) nmod:of(showing-6, harm-9) ",NN,,,,,,,,of showing,of,showing,,,,,,,physical,[0.09333333333333332],[0.060041666666666674],[0.008125],[0.14345833333333333],[0.06291666666666666],[0.08604166666666666],[0.1625],[0.040625],[0.11245833333333331],[0.0805],[0.04],[0.0775],[0.0325],,,,,,,,,,,,singular,linked,,,unknown,unknown
"For example , courts have struggled with the issue of how many pure economic harms should be included in assessing the sum of damages from a pollution incident .",harms,"amod(harms-15, pure-13) amod(harms-15, economic-14) nsubjpass(included-18, harms-15) ",NNS,,VBN,included,include,,,,,,,,,,,,,"pure, economic","[0.029583333333333336, 0.017708333333333333]","[0.018333333333333333, 0.04625]","[0.0025, 0.00625]","[0.0375, 0.071875]","[0.035, 0.11458333333333334]","[0.0075, 0.014583333333333332]","[0.055, 0.1758333333333333]","[0.03, 0.0575]","[0.7020833333333333, 0.08791666666666668]","[0.0175, 0.028333333333333335]","[0.015, 0.23]","[0.015, 0.01]","[0.035, 0.13916666666666666]",,,,,,,,,,,,plural,linked,ambiguous,,unknown,unknown
